Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Ferroseed,LV24.5,0,0,9,520
Ferroseed,LV25,0,1,3,520
Ferroseed,LV24.5,0,1,8,520
Ferroseed,LV24,0,1,14,520
Ferroseed,LV25,0,2,2,520
Ferroseed,LV24.5,0,2,7,520
Ferroseed,LV24,0,2,13,520
Ferroseed,LV25,0,3,1,520
Ferroseed,LV24,0,3,12,520
Ferroseed,LV24,0,4,11,520
Ferroseed,LV24.5,0,6,4,520
Ferroseed,LV24.5,0,7,3,520
Ferroseed,LV24,0,8,8,520
Ferroseed,LV24,0,9,7,520
Ferroseed,LV24,0,10,6,520
Ferroseed,LV23.5,0,10,12,520
Ferroseed,LV24.5,0,11,0,520
Ferroseed,LV23.5,0,11,11,520
Ferroseed,LV23.5,0,12,10,520
Ferroseed,LV24,0,14,3,520
Ferroseed,LV24,0,15,2,520
Ferroseed,LV23.5,0,15,8,520
Ferroseed,LV24.5,1,1,5,520
Ferroseed,LV24.5,1,2,4,520
Ferroseed,LV24.5,1,3,3,520
Ferroseed,LV24,1,4,8,520
Ferroseed,LV24,1,5,7,520
Ferroseed,LV23.5,1,5,13,520
Ferroseed,LV24.5,1,6,1,520
Ferroseed,LV24,1,6,6,520
Ferroseed,LV23.5,1,6,12,520
Ferroseed,LV24.5,1,7,0,520
Ferroseed,LV23.5,1,7,11,520
Ferroseed,LV23.5,1,8,10,520
Ferroseed,LV24,1,10,3,520
Ferroseed,LV24,1,11,2,520
Ferroseed,LV23.5,1,12,7,520
Ferroseed,LV23,1,12,13,520
Ferroseed,LV23.5,1,13,6,520
Ferroseed,LV23,1,13,12,520
Ferroseed,LV24,1,14,0,520
Ferroseed,LV23,1,14,11,520
Ferroseed,LV24,2,0,8,520
Ferroseed,LV23.5,2,0,14,520
Ferroseed,LV24.5,2,1,2,520
Ferroseed,LV24,2,1,7,520
Ferroseed,LV23.5,2,1,13,520
Ferroseed,LV24.5,2,2,1,520
Ferroseed,LV23.5,2,2,12,520
Ferroseed,LV24.5,2,3,0,520
Ferroseed,LV23.5,2,3,11,520
Ferroseed,LV24,2,5,4,520
Ferroseed,LV24,2,6,3,520
Ferroseed,LV24,2,7,2,520
Ferroseed,LV23.5,2,7,8,520
Ferroseed,LV23.5,2,8,7,520
Ferroseed,LV23,2,8,13,520
Ferroseed,LV23.5,2,9,6,520
Ferroseed,LV23,2,9,12,520
Ferroseed,LV24,2,10,0,520
Ferroseed,LV23,2,10,11,520
Ferroseed,LV23.5,2,13,3,520
Ferroseed,LV22.5,2,13,15,520
Ferroseed,LV23.5,2,14,2,520
Ferroseed,LV23,2,14,8,520
Ferroseed,LV22.5,2,14,14,520
Ferroseed,LV23,2,15,7,520
Ferroseed,LV22.5,2,15,13,520
Ferroseed,LV24,3,0,5,520
Ferroseed,LV24,3,1,4,520
Ferroseed,LV24,3,2,3,520
Ferroseed,LV23.5,3,2,9,520
Ferroseed,LV23,3,2,15,520
Ferroseed,LV23.5,3,3,8,520
Ferroseed,LV23,3,3,14,520
Ferroseed,LV23.5,3,4,7,520
Ferroseed,LV23,3,4,13,520
Ferroseed,LV24,3,5,1,520
Ferroseed,LV23,3,5,12,520
Ferroseed,LV24,3,6,0,520
Ferroseed,LV23,3,6,11,520
Ferroseed,LV23.5,3,8,4,520
Ferroseed,LV23.5,3,9,3,520
Ferroseed,LV22.5,3,9,15,520
Ferroseed,LV23.5,3,10,2,520
Ferroseed,LV23,3,10,8,520
Ferroseed,LV22.5,3,10,14,520
Ferroseed,LV23,3,11,7,520
Ferroseed,LV22.5,3,11,13,520
Ferroseed,LV23.5,3,13,0,520
Ferroseed,LV23,3,15,4,520
Ferroseed,LV22.5,3,15,10,520
Ferroseed,LV24,4,0,2,520
Ferroseed,LV24,4,1,1,520
Ferroseed,LV24,4,2,0,520
Ferroseed,LV23.5,4,3,5,520
Ferroseed,LV23.5,4,4,4,520
Ferroseed,LV23,4,4,10,520
Ferroseed,LV23.5,4,5,3,520
Ferroseed,LV23,4,5,9,520
Ferroseed,LV22.5,4,5,15,520
Ferroseed,LV23,4,6,8,520
Ferroseed,LV22.5,4,6,14,520
Ferroseed,LV23,4,7,7,520
Ferroseed,LV22.5,4,7,13,520
Ferroseed,LV23.5,4,8,1,520
Ferroseed,LV23.5,4,9,0,520
Ferroseed,LV23,4,10,5,520
Ferroseed,LV23,4,11,4,520
Ferroseed,LV22.5,4,11,10,520
Ferroseed,LV23,4,12,3,520
Ferroseed,LV22.5,4,12,9,520
Ferroseed,LV22.5,4,13,8,520
Ferroseed,LV23,4,15,1,520
Ferroseed,LV22,4,15,13,520
Ferroseed,LV23,5,0,10,520
Ferroseed,LV23,5,1,9,520
Ferroseed,LV23.5,5,3,2,520
Ferroseed,LV23.5,5,4,1,520
Ferroseed,LV23.5,5,5,0,520
Ferroseed,LV23,5,5,6,520
Ferroseed,LV22.5,5,5,12,520
Ferroseed,LV23,5,6,5,520
Ferroseed,LV22.5,5,6,11,520
Ferroseed,LV23,5,7,4,520
Ferroseed,LV22.5,5,7,10,520
Ferroseed,LV22.5,5,8,9,520
Ferroseed,LV23,5,10,2,520
Ferroseed,LV22,5,10,14,520
Ferroseed,LV23,5,11,1,520
Ferroseed,LV22.5,5,11,7,520
Ferroseed,LV22,5,11,13,520
Ferroseed,LV23,5,12,0,520
Ferroseed,LV22.5,5,12,6,520
Ferroseed,LV22,5,12,12,520
Ferroseed,LV22.5,5,13,5,520
Ferroseed,LV22,5,13,11,520
Ferroseed,LV23,6,0,7,520
Ferroseed,LV22.5,6,0,13,520
Ferroseed,LV23,6,1,6,520
Ferroseed,LV22.5,6,1,12,520
Ferroseed,LV22.5,6,2,11,520
Ferroseed,LV23,6,5,3,520
Ferroseed,LV22,6,5,15,520
Ferroseed,LV23,6,6,2,520
Ferroseed,LV22.5,6,6,8,520
Ferroseed,LV22,6,6,14,520
Ferroseed,LV23,6,7,1,520
Ferroseed,LV22.5,6,7,7,520
Ferroseed,LV22,6,7,13,520
Ferroseed,LV22.5,6,8,6,520
Ferroseed,LV22,6,8,12,520
Ferroseed,LV22,6,11,10,520
Ferroseed,LV22.5,6,12,3,520
Ferroseed,LV22,6,12,9,520
Ferroseed,LV22.5,6,13,2,520
Ferroseed,LV22,6,13,8,520
Ferroseed,LV21.5,6,15,13,520
Ferroseed,LV23,7,0,4,520
Ferroseed,LV22.5,7,0,10,520
Ferroseed,LV23,7,1,3,520
Ferroseed,LV22.5,7,1,9,520
Ferroseed,LV22,7,1,15,520
Ferroseed,LV22.5,7,2,8,520
Ferroseed,LV23,7,5,0,520
Ferroseed,LV22.5,7,6,5,520
Ferroseed,LV22,7,6,11,520
Ferroseed,LV22.5,7,7,4,520
Ferroseed,LV22,7,7,10,520
Ferroseed,LV22.5,7,8,3,520
Ferroseed,LV22,7,8,9,520
Ferroseed,LV21.5,7,10,14,520
Ferroseed,LV22.5,7,11,1,520
Ferroseed,LV21.5,7,11,13,520
Ferroseed,LV22.5,7,12,0,520
Ferroseed,LV22,7,12,6,520
Ferroseed,LV21.5,7,12,12,520
Ferroseed,LV22,7,13,5,520
Ferroseed,LV23,8,0,1,520
Ferroseed,LV22.5,8,0,7,520
Ferroseed,LV22,8,0,13,520
Ferroseed,LV22.5,8,1,6,520
Ferroseed,LV22,8,1,12,520
Ferroseed,LV22.5,8,2,5,520
Ferroseed,LV22,8,2,11,520
Ferroseed,LV21.5,8,5,15,520
Ferroseed,LV22.5,8,6,2,520
Ferroseed,LV22,8,6,8,520
Ferroseed,LV21.5,8,6,14,520
Ferroseed,LV22.5,8,7,1,520
Ferroseed,LV22,8,7,7,520
Ferroseed,LV21.5,8,7,13,520
Ferroseed,LV22,8,8,6,520
Ferroseed,LV21.5,8,11,10,520
Ferroseed,LV22,8,12,3,520
Ferroseed,LV21.5,8,12,9,520
Ferroseed,LV22,8,13,2,520
Ferroseed,LV21.5,8,13,8,520
Ferroseed,LV21,8,13,15,520
Ferroseed,LV21,8,14,14,520
Ferroseed,LV21,8,15,13,520
Ferroseed,LV22.5,9,0,4,520
Ferroseed,LV22,9,0,10,520
Ferroseed,LV22.5,9,1,3,520
Ferroseed,LV22,9,1,9,520
Ferroseed,LV22,9,2,8,520
Ferroseed,LV21.5,9,4,13,520
Ferroseed,LV22.5,9,5,0,520
Ferroseed,LV21.5,9,5,12,520
Ferroseed,LV22,9,6,5,520
Ferroseed,LV21.5,9,6,11,520
Ferroseed,LV22,9,7,4,520
Ferroseed,LV21.5,9,7,10,520
Ferroseed,LV22,9,8,3,520
Ferroseed,LV21,9,9,15,520
Ferroseed,LV21,9,10,14,520
Ferroseed,LV22,9,11,1,520
Ferroseed,LV21.5,9,11,7,520
Ferroseed,LV22,9,12,0,520
Ferroseed,LV21.5,9,12,6,520
Ferroseed,LV21,9,14,11,520
Ferroseed,LV21,9,15,10,520
Ferroseed,LV22.5,10,0,1,520
Ferroseed,LV22,10,0,7,520
Ferroseed,LV22,10,1,6,520
Ferroseed,LV21.5,10,4,10,520
Ferroseed,LV22,10,5,3,520
Ferroseed,LV21.5,10,5,9,520
Ferroseed,LV22,10,6,2,520
Ferroseed,LV21.5,10,6,8,520
Ferroseed,LV22,10,7,1,520
Ferroseed,LV21.5,10,7,7,520
Ferroseed,LV21,10,8,13,520
Ferroseed,LV21,10,9,12,520
Ferroseed,LV21.5,10,10,5,520
Ferroseed,LV21,10,10,11,520
Ferroseed,LV21.5,10,11,4,520
Ferroseed,LV21.5,10,12,3,520
Ferroseed,LV21,10,14,8,520
Ferroseed,LV21.5,10,15,1,520
