Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Flapple,LV8.5,0,0,10,520
Flapple,LV8.5,0,1,9,520
Flapple,LV8.5,0,3,6,520
Flapple,LV8.5,0,4,5,520
Flapple,LV8.5,0,5,4,520
Flapple,LV8.5,0,6,3,520
Flapple,LV8.5,1,0,8,520
Flapple,LV8.5,1,1,7,520
Flapple,LV8.5,1,2,6,520
Flapple,LV8.5,1,3,5,520
Flapple,LV8.5,1,5,2,520
Flapple,LV8.5,1,6,1,520
Flapple,LV8.5,1,7,0,520
Flapple,LV8,1,14,15,520
Flapple,LV8,1,15,14,520
Flapple,LV8.5,2,0,7,520
Flapple,LV8.5,2,2,4,520
Flapple,LV8.5,2,3,3,520
Flapple,LV8.5,2,4,2,520
Flapple,LV8.5,2,5,1,520
Flapple,LV8,2,15,12,520
Flapple,LV8.5,3,0,5,520
Flapple,LV8.5,3,1,4,520
Flapple,LV8.5,3,4,0,520
Flapple,LV8,3,11,15,520
Flapple,LV8,3,12,14,520
Flapple,LV8,3,13,13,520
Flapple,LV8,3,14,12,520
Flapple,LV8.5,4,1,2,520
Flapple,LV8.5,4,2,1,520
Flapple,LV8.5,4,3,0,520
Flapple,LV8,4,10,15,520
Flapple,LV8,4,12,12,520
Flapple,LV8,4,13,11,520
Flapple,LV8,4,14,10,520
Flapple,LV8,4,15,9,520
Flapple,LV8.5,5,0,2,520
Flapple,LV8,5,9,14,520
Flapple,LV8,5,10,13,520
Flapple,LV8,5,11,12,520
Flapple,LV8,5,14,8,520
Flapple,LV8,5,15,7,520
Flapple,LV8.5,6,0,0,520
Flapple,LV8,6,7,15,520
Flapple,LV8,6,8,14,520
Flapple,LV8,6,10,11,520
Flapple,LV8,6,11,10,520
Flapple,LV8,6,12,9,520
Flapple,LV8,6,13,8,520
Flapple,LV8,6,14,7,520
Flapple,LV8,7,7,13,520
Flapple,LV8,7,8,12,520
Flapple,LV8,7,9,11,520
Flapple,LV8,7,10,10,520
Flapple,LV8,7,13,6,520
Flapple,LV8,7,14,5,520
Flapple,LV8,7,15,4,520
Flapple,LV8,8,4,15,520
Flapple,LV8,8,5,14,520
Flapple,LV8,8,6,13,520
Flapple,LV8,8,9,9,520
Flapple,LV8,8,10,8,520
Flapple,LV8,8,11,7,520
Flapple,LV8,8,12,6,520
Flapple,LV8,9,3,15,520
Flapple,LV8,9,4,14,520
Flapple,LV8,9,6,11,520
Flapple,LV8,9,7,10,520
Flapple,LV8,9,8,9,520
Flapple,LV8,9,11,5,520
Flapple,LV8,9,12,4,520
Flapple,LV8,9,13,3,520
Flapple,LV8,9,14,2,520
Flapple,LV8,9,15,1,520
Flapple,LV8,10,3,13,520
Flapple,LV8,10,4,12,520
Flapple,LV8,10,5,11,520
Flapple,LV8,10,8,7,520
Flapple,LV8,10,9,6,520
Flapple,LV8,10,10,5,520
Flapple,LV8,10,11,4,520
Flapple,LV8,11,1,14,520
Flapple,LV8,11,2,13,520
Flapple,LV8,11,5,9,520
Flapple,LV8,11,6,8,520
Flapple,LV8,11,7,7,520
Flapple,LV8,11,10,3,520
Flapple,LV8,11,11,2,520
Flapple,LV8,11,12,1,520
Flapple,LV8,11,13,0,520
Flapple,LV8,12,0,14,520
Flapple,LV8,12,2,11,520
Flapple,LV8,12,3,10,520
Flapple,LV8,12,4,9,520
Flapple,LV8,12,7,5,520
Flapple,LV8,12,8,4,520
Flapple,LV8,12,9,3,520
Flapple,LV8,12,10,2,520
Flapple,LV8,13,0,12,520
Flapple,LV8,13,1,11,520
Flapple,LV8,13,4,7,520
Flapple,LV8,13,5,6,520
Flapple,LV8,13,6,5,520
Flapple,LV8,13,10,0,520
Flapple,LV8,14,1,9,520
Flapple,LV8,14,2,8,520
Flapple,LV8,14,3,7,520
Flapple,LV8,14,6,3,520
Flapple,LV8,14,7,2,520
Flapple,LV8,14,8,1,520
Flapple,LV8,14,9,0,520
Flapple,LV8,15,0,9,520
Flapple,LV8,15,1,8,520
Flapple,LV8,15,3,5,520
Flapple,LV8,15,4,4,520
Flapple,LV8,15,5,3,520
Flapple,LV8,15,6,2,520
