Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Flareon,LV7,0,0,5,520
Flareon,LV7,0,1,4,520
Flareon,LV7,0,2,3,520
Flareon,LV7,0,6,0,520
Flareon,LV7,1,0,4,520
Flareon,LV7,1,1,3,520
Flareon,LV7,1,2,2,520
Flareon,LV7,1,3,1,520
Flareon,LV7,1,4,0,520
Flareon,LV7,2,3,0,520
Flareon,LV7,3,0,1,520
Flareon,LV7,3,1,0,520
Flareon,LV6.5,3,15,15,520
Flareon,LV7,4,0,0,520
Flareon,LV6.5,4,13,15,520
Flareon,LV6.5,5,12,15,520
Flareon,LV6.5,5,13,14,520
Flareon,LV6.5,5,14,13,520
Flareon,LV6.5,5,15,12,520
Flareon,LV6.5,6,10,15,520
Flareon,LV6.5,6,11,14,520
Flareon,LV6.5,6,15,11,520
Flareon,LV6.5,7,9,15,520
Flareon,LV6.5,7,10,14,520
Flareon,LV6.5,7,11,13,520
Flareon,LV6.5,7,12,12,520
Flareon,LV6.5,7,13,11,520
Flareon,LV6.5,7,14,10,520
Flareon,LV6.5,7,15,9,520
Flareon,LV6.5,8,7,15,520
Flareon,LV6.5,8,13,10,520
Flareon,LV6.5,8,14,9,520
Flareon,LV6.5,8,15,8,520
Flareon,LV6.5,9,6,15,520
Flareon,LV6.5,9,7,14,520
Flareon,LV6.5,9,8,13,520
Flareon,LV6.5,9,9,12,520
Flareon,LV6.5,9,10,11,520
Flareon,LV6.5,9,11,10,520
Flareon,LV6.5,9,12,9,520
Flareon,LV6.5,10,9,11,520
Flareon,LV6.5,10,10,10,520
Flareon,LV6.5,10,11,9,520
Flareon,LV6.5,10,12,8,520
Flareon,LV6.5,10,13,7,520
Flareon,LV6.5,10,14,6,520
Flareon,LV6.5,10,15,5,520
Flareon,LV6.5,11,3,15,520
Flareon,LV6.5,11,4,14,520
Flareon,LV6.5,11,5,13,520
Flareon,LV6.5,11,6,12,520
Flareon,LV6.5,11,7,11,520
Flareon,LV6.5,11,8,10,520
Flareon,LV6.5,11,9,9,520
Flareon,LV6.5,11,13,6,520
Flareon,LV6.5,11,14,5,520
Flareon,LV6.5,11,15,4,520
Flareon,LV6.5,12,5,12,520
Flareon,LV6.5,12,6,11,520
Flareon,LV6.5,12,7,10,520
Flareon,LV6.5,12,8,9,520
Flareon,LV6.5,12,9,8,520
Flareon,LV6.5,12,10,7,520
Flareon,LV6.5,12,11,6,520
Flareon,LV6.5,12,12,5,520
Flareon,LV6.5,12,15,3,520
Flareon,LV6.5,13,0,15,520
Flareon,LV6.5,13,1,14,520
Flareon,LV6.5,13,2,13,520
Flareon,LV6.5,13,3,12,520
Flareon,LV6.5,13,4,11,520
Flareon,LV6.5,13,10,6,520
Flareon,LV6.5,13,11,5,520
Flareon,LV6.5,13,12,4,520
Flareon,LV6.5,13,13,3,520
Flareon,LV6.5,13,14,2,520
Flareon,LV6.5,14,0,14,520
Flareon,LV6.5,14,1,13,520
Flareon,LV6.5,14,2,12,520
Flareon,LV6.5,14,3,11,520
Flareon,LV6.5,14,4,10,520
Flareon,LV6.5,14,5,9,520
Flareon,LV6.5,14,6,8,520
Flareon,LV6.5,14,7,7,520
Flareon,LV6.5,14,8,6,520
Flareon,LV6.5,14,12,3,520
Flareon,LV6.5,14,13,2,520
Flareon,LV6.5,14,14,1,520
Flareon,LV6.5,14,15,0,520
Flareon,LV6.5,15,5,8,520
Flareon,LV6.5,15,6,7,520
Flareon,LV6.5,15,7,6,520
Flareon,LV6.5,15,8,5,520
Flareon,LV6.5,15,9,4,520
Flareon,LV6.5,15,10,3,520
Flareon,LV6.5,15,14,0,520
