Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Fletchinder,LV15,0,1,4,520
Fletchinder,LV14.5,0,2,14,520
Fletchinder,LV15,0,3,1,520
Fletchinder,LV14.5,0,3,12,520
Fletchinder,LV15,0,4,0,520
Fletchinder,LV14.5,0,4,11,520
Fletchinder,LV14.5,0,6,8,520
Fletchinder,LV14.5,0,8,5,520
Fletchinder,LV14.5,0,9,4,520
Fletchinder,LV14,0,10,14,520
Fletchinder,LV14.5,0,11,1,520
Fletchinder,LV14.5,0,12,0,520
Fletchinder,LV14,0,12,11,520
Fletchinder,LV14,0,13,10,520
Fletchinder,LV14,0,15,7,520
Fletchinder,LV15,1,0,3,520
Fletchinder,LV15,1,1,2,520
Fletchinder,LV14.5,1,1,13,520
Fletchinder,LV14.5,1,3,10,520
Fletchinder,LV14.5,1,5,7,520
Fletchinder,LV14.5,1,7,4,520
Fletchinder,LV14.5,1,8,3,520
Fletchinder,LV14,1,9,13,520
Fletchinder,LV14.5,1,10,0,520
Fletchinder,LV14,1,11,10,520
Fletchinder,LV14,1,12,9,520
Fletchinder,LV14,1,14,6,520
Fletchinder,LV14,1,15,5,520
Fletchinder,LV15,2,0,1,520
Fletchinder,LV14.5,2,0,12,520
Fletchinder,LV14.5,2,2,9,520
Fletchinder,LV14.5,2,3,8,520
Fletchinder,LV14.5,2,4,6,520
Fletchinder,LV14.5,2,5,5,520
Fletchinder,LV14,2,6,15,520
Fletchinder,LV14.5,2,7,2,520
Fletchinder,LV14,2,8,12,520
Fletchinder,LV14,2,9,11,520
Fletchinder,LV14,2,11,8,520
Fletchinder,LV14,2,13,5,520
Fletchinder,LV14,2,14,4,520
Fletchinder,LV13.5,2,15,15,520
Fletchinder,LV14.5,3,0,10,520
Fletchinder,LV14.5,3,2,7,520
Fletchinder,LV14.5,3,4,4,520
Fletchinder,LV14,3,5,14,520
Fletchinder,LV14.5,3,6,1,520
Fletchinder,LV14,3,6,13,520
Fletchinder,LV14.5,3,7,0,520
Fletchinder,LV14,3,8,10,520
Fletchinder,LV14,3,10,7,520
Fletchinder,LV14,3,11,6,520
Fletchinder,LV14,3,13,3,520
Fletchinder,LV13.5,3,13,15,520
Fletchinder,LV14,3,14,2,520
Fletchinder,LV13.5,3,14,14,520
Fletchinder,LV14.5,4,1,6,520
Fletchinder,LV14.5,4,2,5,520
Fletchinder,LV14.5,4,3,3,520
Fletchinder,LV14,4,3,15,520
Fletchinder,LV14.5,4,4,2,520
Fletchinder,LV14,4,5,12,520
Fletchinder,LV14,4,7,9,520
Fletchinder,LV14,4,9,6,520
Fletchinder,LV14,4,10,5,520
Fletchinder,LV14,4,12,2,520
Fletchinder,LV13.5,4,12,14,520
Fletchinder,LV14,4,13,1,520
Fletchinder,LV13.5,4,13,13,520
Fletchinder,LV13.5,4,15,10,520
Fletchinder,LV14.5,5,1,4,520
Fletchinder,LV14,5,2,14,520
Fletchinder,LV14.5,5,3,1,520
Fletchinder,LV14,5,3,13,520
Fletchinder,LV14.5,5,4,0,520
Fletchinder,LV14,5,4,11,520
Fletchinder,LV14,5,5,10,520
Fletchinder,LV14,5,6,8,520
Fletchinder,LV14,5,7,7,520
Fletchinder,LV14,5,9,4,520
Fletchinder,LV14,5,10,3,520
Fletchinder,LV13.5,5,10,15,520
Fletchinder,LV14,5,12,0,520
Fletchinder,LV13.5,5,12,12,520
Fletchinder,LV13.5,5,14,9,520
Fletchinder,LV13.5,5,15,8,520
Fletchinder,LV14.5,6,0,3,520
Fletchinder,LV14,6,0,15,520
Fletchinder,LV14.5,6,1,2,520
Fletchinder,LV14,6,2,12,520
Fletchinder,LV14,6,4,9,520
Fletchinder,LV14,6,6,6,520
Fletchinder,LV14,6,8,3,520
Fletchinder,LV14,6,9,2,520
Fletchinder,LV13.5,6,9,14,520
Fletchinder,LV13.5,6,11,11,520
Fletchinder,LV13.5,6,12,10,520
Fletchinder,LV13.5,6,14,7,520
Fletchinder,LV13.5,6,15,6,520
Fletchinder,LV14.5,7,0,1,520
Fletchinder,LV14,7,0,13,520
Fletchinder,LV14.5,7,1,0,520
Fletchinder,LV14,7,1,11,520
Fletchinder,LV14,7,2,10,520
Fletchinder,LV14,7,3,8,520
Fletchinder,LV14,7,4,7,520
Fletchinder,LV14,7,6,4,520
Fletchinder,LV14,7,8,1,520
Fletchinder,LV13.5,7,8,13,520
Fletchinder,LV14,7,9,0,520
Fletchinder,LV13.5,7,9,12,520
Fletchinder,LV13.5,7,11,9,520
Fletchinder,LV13.5,7,13,6,520
Fletchinder,LV13.5,7,14,5,520
Fletchinder,LV14,8,1,9,520
Fletchinder,LV14,8,3,6,520
Fletchinder,LV14,8,5,3,520
Fletchinder,LV14,8,6,2,520
Fletchinder,LV13.5,8,6,14,520
Fletchinder,LV13.5,8,8,11,520
Fletchinder,LV13.5,8,10,8,520
Fletchinder,LV13.5,8,11,7,520
Fletchinder,LV13.5,8,13,4,520
Fletchinder,LV13.5,8,14,3,520
Fletchinder,LV13,8,15,14,520
Fletchinder,LV14,9,1,7,520
Fletchinder,LV14,9,3,4,520
Fletchinder,LV14,9,5,1,520
Fletchinder,LV13.5,9,5,13,520
Fletchinder,LV14,9,6,0,520
Fletchinder,LV13.5,9,7,10,520
Fletchinder,LV13.5,9,8,9,520
Fletchinder,LV13.5,9,10,6,520
Fletchinder,LV13.5,9,12,3,520
Fletchinder,LV13.5,9,13,2,520
Fletchinder,LV13,9,14,13,520
Fletchinder,LV13,9,15,12,520
Fletchinder,LV14,10,0,6,520
Fletchinder,LV14,10,1,5,520
Fletchinder,LV14,10,2,3,520
Fletchinder,LV14,10,3,2,520
Fletchinder,LV13.5,10,3,14,520
Fletchinder,LV13.5,10,5,11,520
Fletchinder,LV13.5,10,7,8,520
Fletchinder,LV13.5,10,9,5,520
Fletchinder,LV13.5,10,10,4,520
Fletchinder,LV13,10,11,15,520
Fletchinder,LV13.5,10,12,1,520
Fletchinder,LV13,10,12,14,520
Fletchinder,LV13.5,10,13,0,520
Fletchinder,LV13,10,13,12,520
Fletchinder,LV13,10,14,11,520
Fletchinder,LV14,11,0,4,520
Fletchinder,LV13.5,11,1,15,520
Fletchinder,LV14,11,2,1,520
Fletchinder,LV13.5,11,2,13,520
Fletchinder,LV14,11,3,0,520
Fletchinder,LV13.5,11,3,12,520
Fletchinder,LV13.5,11,4,10,520
Fletchinder,LV13.5,11,5,9,520
Fletchinder,LV13.5,11,6,7,520
Fletchinder,LV13.5,11,7,6,520
Fletchinder,LV13.5,11,9,3,520
Fletchinder,LV13.5,11,10,2,520
Fletchinder,LV13,11,10,14,520
Fletchinder,LV13,11,11,13,520
Fletchinder,LV13,11,13,10,520
Fletchinder,LV13,11,14,9,520
Fletchinder,LV14,12,0,2,520
Fletchinder,LV13.5,12,0,14,520
Fletchinder,LV13.5,12,2,11,520
Fletchinder,LV13.5,12,4,8,520
Fletchinder,LV13.5,12,6,5,520
Fletchinder,LV13.5,12,7,4,520
Fletchinder,LV13,12,8,15,520
Fletchinder,LV13.5,12,9,1,520
Fletchinder,LV13.5,12,10,0,520
Fletchinder,LV13,12,10,12,520
Fletchinder,LV13,12,11,11,520
Fletchinder,LV13,12,13,8,520
Fletchinder,LV14,13,0,0,520
Fletchinder,LV13.5,13,0,12,520
Fletchinder,LV13.5,13,2,9,520
Fletchinder,LV13.5,13,4,6,520
Fletchinder,LV13.5,13,6,3,520
Fletchinder,LV13.5,13,7,2,520
Fletchinder,LV13,13,7,14,520
Fletchinder,LV13,13,8,13,520
Fletchinder,LV13,13,10,10,520
Fletchinder,LV13,13,12,7,520
Fletchinder,LV13,13,13,6,520
Fletchinder,LV13,13,15,3,520
Fletchinder,LV13.5,14,0,10,520
Fletchinder,LV13.5,14,1,8,520
Fletchinder,LV13.5,14,2,7,520
Fletchinder,LV13.5,14,4,4,520
Fletchinder,LV13,14,5,15,520
Fletchinder,LV13.5,14,6,1,520
Fletchinder,LV13.5,14,7,0,520
Fletchinder,LV13,14,7,12,520
Fletchinder,LV13,14,8,11,520
Fletchinder,LV13,14,9,9,520
Fletchinder,LV13,14,10,8,520
Fletchinder,LV13,14,12,5,520
Fletchinder,LV13,14,13,4,520
Fletchinder,LV13,14,15,1,520
Fletchinder,LV12.5,14,15,14,520
Fletchinder,LV13.5,15,0,8,520
Fletchinder,LV13.5,15,1,6,520
Fletchinder,LV13.5,15,2,5,520
Fletchinder,LV13.5,15,4,2,520
Fletchinder,LV13,15,5,13,520
Fletchinder,LV13,15,7,10,520
Fletchinder,LV13,15,9,7,520
Fletchinder,LV13,15,10,6,520
Fletchinder,LV13,15,12,3,520
Fletchinder,LV13,15,13,2,520
Fletchinder,LV12.5,15,13,15,520
Fletchinder,LV12.5,15,15,12,520
