Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Fletchling,LV30.5,0,0,1,520
Fletchling,LV30,0,0,3,520
Fletchling,LV29,0,0,12,520
Fletchling,LV28.5,0,1,15,520
Fletchling,LV29.5,0,2,4,520
Fletchling,LV29,0,3,7,520
Fletchling,LV28.5,0,3,12,520
Fletchling,LV29.5,0,4,1,520
Fletchling,LV28.5,0,4,10,520
Fletchling,LV28,0,4,15,520
Fletchling,LV29,0,5,4,520
Fletchling,LV28.5,0,6,7,520
Fletchling,LV28,0,6,12,520
Fletchling,LV29,0,7,1,520
Fletchling,LV28,0,7,10,520
Fletchling,LV27.5,0,7,15,520
Fletchling,LV28.5,0,8,4,520
Fletchling,LV28,0,9,7,520
Fletchling,LV27.5,0,9,12,520
Fletchling,LV28.5,0,10,1,520
Fletchling,LV28,0,11,4,520
Fletchling,LV27.5,0,11,9,520
Fletchling,LV27,0,11,14,520
Fletchling,LV27.5,0,13,6,520
Fletchling,LV27,0,13,11,520
Fletchling,LV28,0,14,0,520
Fletchling,LV26.5,0,14,15,520
Fletchling,LV27.5,0,15,3,520
Fletchling,LV27,0,15,8,520
Fletchling,LV30,1,0,0,520
Fletchling,LV29,1,0,9,520
Fletchling,LV28.5,1,0,14,520
Fletchling,LV29.5,1,1,3,520
Fletchling,LV29,1,2,6,520
Fletchling,LV29.5,1,3,0,520
Fletchling,LV29,1,3,4,520
Fletchling,LV28.5,1,3,9,520
Fletchling,LV28,1,3,14,520
Fletchling,LV28,1,4,12,520
Fletchling,LV29,1,5,1,520
Fletchling,LV28.5,1,6,4,520
Fletchling,LV28,1,6,9,520
Fletchling,LV27.5,1,6,14,520
Fletchling,LV28.5,1,8,1,520
Fletchling,LV28,1,8,6,520
Fletchling,LV27.5,1,9,9,520
Fletchling,LV27,1,9,14,520
Fletchling,LV28,1,10,3,520
Fletchling,LV27.5,1,11,6,520
Fletchling,LV27,1,11,11,520
Fletchling,LV28,1,12,0,520
Fletchling,LV26.5,1,12,15,520
Fletchling,LV27.5,1,13,3,520
Fletchling,LV27,1,13,8,520
Fletchling,LV27.5,1,14,2,520
Fletchling,LV26.5,1,14,12,520
Fletchling,LV29.5,2,0,2,520
Fletchling,LV28.5,2,0,11,520
Fletchling,LV29,2,2,3,520
Fletchling,LV28.5,2,2,8,520
Fletchling,LV28.5,2,3,6,520
Fletchling,LV28,2,3,11,520
Fletchling,LV29,2,4,0,520
Fletchling,LV28.5,2,5,3,520
Fletchling,LV28,2,6,6,520
Fletchling,LV27.5,2,6,11,520
Fletchling,LV28.5,2,7,0,520
Fletchling,LV28,2,8,3,520
Fletchling,LV27.5,2,8,8,520
Fletchling,LV27,2,8,13,520
Fletchling,LV28,2,10,0,520
Fletchling,LV27.5,2,10,5,520
Fletchling,LV27,2,10,10,520
Fletchling,LV26.5,2,10,15,520
Fletchling,LV27.5,2,12,2,520
Fletchling,LV27,2,12,7,520
Fletchling,LV26.5,2,12,12,520
Fletchling,LV27,2,14,4,520
Fletchling,LV26.5,2,14,9,520
Fletchling,LV26,2,15,13,520
Fletchling,LV28,3,0,13,520
Fletchling,LV29,3,1,2,520
Fletchling,LV28.5,3,2,5,520
Fletchling,LV28,3,2,10,520
Fletchling,LV27.5,3,2,15,520
Fletchling,LV28,3,3,8,520
Fletchling,LV27.5,3,3,13,520
Fletchling,LV28.5,3,4,2,520
Fletchling,LV28,3,5,5,520
Fletchling,LV27.5,3,5,10,520
Fletchling,LV27,3,5,15,520
Fletchling,LV27.5,3,6,8,520
Fletchling,LV28,3,7,2,520
Fletchling,LV27.5,3,8,5,520
Fletchling,LV27,3,8,10,520
Fletchling,LV27.5,3,10,2,520
Fletchling,LV27,3,10,7,520
Fletchling,LV26.5,3,10,12,520
Fletchling,LV27,3,12,4,520
Fletchling,LV26.5,3,12,9,520
Fletchling,LV26,3,13,13,520
Fletchling,LV26.5,3,14,6,520
Fletchling,LV27,3,15,0,520
Fletchling,LV26.5,3,15,5,520
Fletchling,LV26,3,15,10,520
Fletchling,LV29,4,0,1,520
Fletchling,LV28.5,4,1,4,520
Fletchling,LV28,4,2,7,520
Fletchling,LV27.5,4,2,12,520
Fletchling,LV28,4,4,4,520
Fletchling,LV27,4,4,14,520
Fletchling,LV28,4,5,2,520
Fletchling,LV27.5,4,5,7,520
Fletchling,LV27,4,5,12,520
Fletchling,LV27.5,4,7,4,520
Fletchling,LV27,4,7,9,520
Fletchling,LV26.5,4,7,14,520
Fletchling,LV27.5,4,9,1,520
Fletchling,LV27,4,9,6,520
Fletchling,LV26.5,4,9,11,520
Fletchling,LV27,4,11,3,520
Fletchling,LV26.5,4,11,8,520
Fletchling,LV26,4,11,13,520
Fletchling,LV27,4,13,0,520
Fletchling,LV26.5,4,13,5,520
Fletchling,LV26,4,13,10,520
Fletchling,LV25.5,4,14,14,520
Fletchling,LV26.5,4,15,2,520
Fletchling,LV26,4,15,7,520
Fletchling,LV28.5,5,0,3,520
Fletchling,LV28,5,1,6,520
Fletchling,LV27.5,5,1,11,520
Fletchling,LV27.5,5,2,9,520
Fletchling,LV28,5,4,1,520
Fletchling,LV27.5,5,4,6,520
Fletchling,LV27,5,4,11,520
Fletchling,LV27.5,5,6,3,520
Fletchling,LV26.5,5,6,13,520
Fletchling,LV27,5,7,6,520
Fletchling,LV26.5,5,7,11,520
Fletchling,LV27.5,5,8,0,520
Fletchling,LV26,5,8,15,520
Fletchling,LV27,5,9,3,520
Fletchling,LV26.5,5,9,8,520
Fletchling,LV26,5,10,12,520
Fletchling,LV27,5,11,0,520
Fletchling,LV26.5,5,11,5,520
Fletchling,LV26,5,12,9,520
Fletchling,LV25.5,5,12,14,520
Fletchling,LV26.5,5,14,1,520
Fletchling,LV26,5,14,6,520
Fletchling,LV25.5,5,14,11,520
Fletchling,LV28,6,0,5,520
Fletchling,LV27.5,6,0,10,520
Fletchling,LV27,6,0,15,520
Fletchling,LV27.5,6,1,8,520
Fletchling,LV27,6,1,13,520
Fletchling,LV28,6,3,0,520
Fletchling,LV27.5,6,3,5,520
Fletchling,LV27,6,3,10,520
Fletchling,LV26.5,6,3,15,520
Fletchling,LV27,6,4,8,520
Fletchling,LV27.5,6,6,0,520
Fletchling,LV27,6,6,5,520
Fletchling,LV26.5,6,6,10,520
Fletchling,LV26,6,7,14,520
Fletchling,LV27,6,8,2,520
Fletchling,LV26.5,6,8,7,520
Fletchling,LV26,6,8,12,520
Fletchling,LV26.5,6,10,4,520
Fletchling,LV26,6,10,9,520
Fletchling,LV25.5,6,11,13,520
Fletchling,LV26.5,6,12,1,520
Fletchling,LV26,6,12,6,520
Fletchling,LV25.5,6,13,10,520
Fletchling,LV26,6,14,3,520
Fletchling,LV25,6,14,14,520
Fletchling,LV26,6,15,2,520
Fletchling,LV25.5,6,15,7,520
Fletchling,LV27.5,7,0,7,520
Fletchling,LV27,7,0,12,520
Fletchling,LV28,7,1,1,520
Fletchling,LV27.5,7,2,4,520
Fletchling,LV27,7,2,9,520
Fletchling,LV26.5,7,2,14,520
Fletchling,LV27,7,3,7,520
Fletchling,LV27,7,5,4,520
Fletchling,LV26.5,7,5,9,520
Fletchling,LV27,7,7,1,520
Fletchling,LV26.5,7,7,6,520
Fletchling,LV26,7,7,11,520
Fletchling,LV25.5,7,8,15,520
Fletchling,LV26.5,7,9,3,520
Fletchling,LV26,7,9,8,520
Fletchling,LV26.5,7,11,0,520
Fletchling,LV26,7,11,5,520
Fletchling,LV25.5,7,11,10,520
Fletchling,LV25,7,12,14,520
Fletchling,LV26,7,13,2,520
Fletchling,LV25.5,7,13,7,520
Fletchling,LV25.5,7,14,6,520
Fletchling,LV25,7,14,11,520
Fletchling,LV28,8,0,0,520
Fletchling,LV26.5,8,0,15,520
Fletchling,LV27.5,8,1,3,520
Fletchling,LV27,8,1,8,520
Fletchling,LV26.5,8,1,13,520
Fletchling,LV27,8,2,6,520
Fletchling,LV26.5,8,2,11,520
Fletchling,LV26,8,3,15,520
Fletchling,LV27,8,4,3,520
Fletchling,LV26.5,8,4,8,520
Fletchling,LV26,8,4,13,520
Fletchling,LV27,8,6,0,520
Fletchling,LV26.5,8,6,5,520
Fletchling,LV26,8,6,10,520
Fletchling,LV26.5,8,7,3,520
Fletchling,LV25.5,8,7,14,520
Fletchling,LV26.5,8,8,2,520
Fletchling,LV26,8,8,7,520
Fletchling,LV25.5,8,8,12,520
Fletchling,LV26,8,10,4,520
Fletchling,LV25.5,8,10,9,520
Fletchling,LV25,8,11,13,520
Fletchling,LV26,8,12,1,520
Fletchling,LV25.5,8,12,6,520
Fletchling,LV25,8,13,10,520
Fletchling,LV25.5,8,14,3,520
Fletchling,LV24.5,8,14,14,520
Fletchling,LV25.5,8,15,2,520
Fletchling,LV25,8,15,7,520
Fletchling,LV27.5,9,0,2,520
Fletchling,LV27,9,0,7,520
Fletchling,LV26.5,9,0,12,520
Fletchling,LV27,9,1,5,520
Fletchling,LV26,9,2,14,520
Fletchling,LV27,9,3,2,520
Fletchling,LV26.5,9,3,7,520
Fletchling,LV26,9,3,12,520
Fletchling,LV26.5,9,5,4,520
Fletchling,LV26,9,5,9,520
Fletchling,LV26.5,9,6,2,520
Fletchling,LV25.5,9,7,11,520
Fletchling,LV26,9,8,4,520
Fletchling,LV25,9,8,15,520
Fletchling,LV25.5,9,9,8,520
Fletchling,LV25,9,10,12,520
Fletchling,LV26,9,11,0,520
Fletchling,LV25.5,9,11,5,520
