Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Florges,LV6.5,0,0,9,520
Florges,LV6.5,0,1,8,520
Florges,LV6.5,0,3,7,520
Florges,LV6.5,0,4,6,520
Florges,LV6.5,0,5,5,520
Florges,LV6.5,0,7,4,520
Florges,LV6.5,0,8,3,520
Florges,LV6.5,0,9,2,520
Florges,LV6.5,0,11,1,520
Florges,LV6.5,0,12,0,520
Florges,LV6.5,1,0,7,520
Florges,LV6.5,1,2,6,520
Florges,LV6.5,1,3,5,520
Florges,LV6.5,1,4,4,520
Florges,LV6.5,1,6,3,520
Florges,LV6.5,1,7,2,520
Florges,LV6.5,1,8,1,520
Florges,LV6.5,1,10,0,520
Florges,LV6.5,2,1,5,520
Florges,LV6.5,2,2,4,520
Florges,LV6.5,2,3,3,520
Florges,LV6.5,2,5,2,520
Florges,LV6.5,2,6,1,520
Florges,LV6.5,2,7,0,520
Florges,LV6.5,3,0,4,520
Florges,LV6.5,3,1,3,520
Florges,LV6.5,3,2,2,520
Florges,LV6.5,3,4,1,520
Florges,LV6.5,3,5,0,520
Florges,LV6.5,4,0,2,520
Florges,LV6.5,4,1,1,520
Florges,LV6.5,4,3,0,520
Florges,LV6.5,5,0,0,520
Florges,LV6,10,13,15,520
Florges,LV6,10,15,14,520
Florges,LV6,11,11,15,520
Florges,LV6,11,12,14,520
Florges,LV6,11,14,13,520
Florges,LV6,11,15,12,520
Florges,LV6,12,9,15,520
Florges,LV6,12,10,14,520
Florges,LV6,12,11,13,520
Florges,LV6,12,13,12,520
Florges,LV6,12,14,11,520
Florges,LV6,12,15,10,520
Florges,LV6,13,8,14,520
Florges,LV6,13,9,13,520
Florges,LV6,13,10,12,520
Florges,LV6,13,12,11,520
Florges,LV6,13,13,10,520
Florges,LV6,13,14,9,520
Florges,LV6,14,4,15,520
Florges,LV6,14,7,13,520
Florges,LV6,14,8,12,520
Florges,LV6,14,9,11,520
Florges,LV6,14,11,10,520
Florges,LV6,14,12,9,520
Florges,LV6,14,13,8,520
Florges,LV6,14,15,7,520
Florges,LV6,15,2,15,520
Florges,LV6,15,3,14,520
Florges,LV6,15,5,13,520
Florges,LV6,15,6,12,520
Florges,LV6,15,7,11,520
Florges,LV6,15,8,10,520
Florges,LV6,15,10,9,520
Florges,LV6,15,11,8,520
Florges,LV6,15,12,7,520
Florges,LV6,15,14,6,520
Florges,LV6,15,15,5,520
