Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Foongus,LV23.5,0,0,10,520
Foongus,LV23.5,0,1,8,520
Foongus,LV23.5,0,2,6,520
Foongus,LV23,0,2,14,520
Foongus,LV23.5,0,3,4,520
Foongus,LV23,0,3,12,520
Foongus,LV23,0,4,10,520
Foongus,LV23,0,5,8,520
Foongus,LV23,0,6,6,520
Foongus,LV22.5,0,6,14,520
Foongus,LV22.5,0,7,12,520
Foongus,LV23,0,9,1,520
Foongus,LV22.5,0,10,7,520
Foongus,LV22,0,10,15,520
Foongus,LV22.5,0,11,5,520
Foongus,LV22,0,11,13,520
Foongus,LV22.5,0,13,2,520
Foongus,LV22.5,0,14,0,520
Foongus,LV22,0,14,8,520
Foongus,LV22,0,15,6,520
Foongus,LV23.5,1,0,6,520
Foongus,LV23,1,0,14,520
Foongus,LV23,1,1,12,520
Foongus,LV23,1,2,10,520
Foongus,LV23,1,3,8,520
Foongus,LV23,1,4,6,520
Foongus,LV22.5,1,4,14,520
Foongus,LV22.5,1,5,12,520
Foongus,LV23,1,7,1,520
Foongus,LV22.5,1,8,7,520
Foongus,LV22,1,8,15,520
Foongus,LV22.5,1,9,5,520
Foongus,LV22,1,9,13,520
Foongus,LV22.5,1,10,3,520
Foongus,LV22,1,10,11,520
Foongus,LV22.5,1,12,0,520
Foongus,LV22,1,12,8,520
Foongus,LV22,1,13,6,520
Foongus,LV21.5,1,13,14,520
Foongus,LV22,1,14,4,520
Foongus,LV22,1,15,3,520
Foongus,LV21.5,1,15,11,520
Foongus,LV23.5,2,0,3,520
Foongus,LV23,2,0,10,520
Foongus,LV23.5,2,1,1,520
Foongus,LV23,2,4,3,520
Foongus,LV23,2,5,1,520
Foongus,LV22.5,2,6,7,520
Foongus,LV22,2,6,15,520
Foongus,LV22.5,2,7,5,520
Foongus,LV22,2,7,13,520
Foongus,LV22.5,2,8,3,520
Foongus,LV22,2,8,11,520
Foongus,LV22.5,2,10,0,520
Foongus,LV22,2,11,6,520
Foongus,LV21.5,2,11,14,520
Foongus,LV22,2,12,4,520
Foongus,LV21.5,2,12,12,520
Foongus,LV22,2,14,1,520
Foongus,LV21.5,2,14,9,520
Foongus,LV21.5,2,15,7,520
Foongus,LV23,3,0,7,520
Foongus,LV22.5,3,0,15,520
Foongus,LV23,3,1,5,520
Foongus,LV22.5,3,1,13,520
Foongus,LV23,3,2,3,520
Foongus,LV22.5,3,2,11,520
Foongus,LV23,3,3,1,520
Foongus,LV22.5,3,3,9,520
Foongus,LV22.5,3,4,7,520
Foongus,LV22,3,4,15,520
Foongus,LV22.5,3,5,5,520
Foongus,LV22,3,5,13,520
Foongus,LV22.5,3,6,3,520
Foongus,LV22,3,6,11,520
Foongus,LV22.5,3,8,0,520
Foongus,LV22,3,9,6,520
Foongus,LV21.5,3,9,14,520
Foongus,LV22,3,10,4,520
Foongus,LV21.5,3,10,12,520
Foongus,LV21.5,3,12,9,520
Foongus,LV21.5,3,13,7,520
Foongus,LV21.5,3,14,5,520
Foongus,LV21,3,14,14,520
Foongus,LV21,3,15,12,520
Foongus,LV23,4,0,3,520
Foongus,LV22.5,4,0,11,520
Foongus,LV22.5,4,1,9,520
Foongus,LV22.5,4,2,7,520
Foongus,LV22,4,2,15,520
Foongus,LV22.5,4,3,5,520
Foongus,LV22,4,3,13,520
Foongus,LV22.5,4,6,0,520
Foongus,LV22,4,7,6,520
Foongus,LV21.5,4,7,14,520
Foongus,LV22,4,8,4,520
Foongus,LV21.5,4,8,12,520
Foongus,LV22,4,9,2,520
Foongus,LV21.5,4,11,7,520
Foongus,LV21.5,4,12,5,520
Foongus,LV21,4,13,12,520
Foongus,LV21.5,4,14,2,520
Foongus,LV21,4,14,10,520
Foongus,LV21.5,4,15,0,520
Foongus,LV23,5,0,0,520
Foongus,LV22.5,5,2,4,520
Foongus,LV22,5,2,12,520
Foongus,LV22.5,5,3,2,520
Foongus,LV22,5,3,10,520
Foongus,LV22.5,5,4,0,520
Foongus,LV22,5,4,8,520
Foongus,LV22,5,5,6,520
Foongus,LV21.5,5,5,14,520
Foongus,LV22,5,6,4,520
Foongus,LV21.5,5,8,9,520
Foongus,LV21.5,5,9,7,520
Foongus,LV21.5,5,10,5,520
Foongus,LV21,5,11,12,520
Foongus,LV21.5,5,12,2,520
Foongus,LV21,5,12,10,520
Foongus,LV21.5,5,13,0,520
Foongus,LV21,5,13,8,520
Foongus,LV20.5,5,14,15,520
Foongus,LV21,5,15,5,520
Foongus,LV22.5,6,0,4,520
Foongus,LV22,6,0,12,520
Foongus,LV22.5,6,1,2,520
Foongus,LV22,6,1,10,520
Foongus,LV22,6,2,8,520
Foongus,LV22,6,3,6,520
Foongus,LV21.5,6,5,11,520
Foongus,LV22,6,6,1,520
Foongus,LV21.5,6,6,9,520
Foongus,LV21.5,6,7,7,520
Foongus,LV21.5,6,8,5,520
Foongus,LV21,6,8,14,520
Foongus,LV21,6,9,12,520
Foongus,LV21.5,6,10,2,520
Foongus,LV21,6,10,10,520
Foongus,LV21.5,6,11,0,520
Foongus,LV21,6,11,8,520
Foongus,LV20.5,6,12,15,520
Foongus,LV21,6,13,5,520
Foongus,LV21,6,14,3,520
Foongus,LV20.5,6,14,12,520
Foongus,LV20.5,6,15,10,520
Foongus,LV22.5,7,0,1,520
Foongus,LV21.5,7,1,15,520
Foongus,LV22,7,2,5,520
Foongus,LV21.5,7,2,13,520
Foongus,LV22,7,3,3,520
Foongus,LV21.5,7,3,11,520
Foongus,LV22,7,4,1,520
Foongus,LV21.5,7,4,9,520
Foongus,LV21.5,7,5,7,520
Foongus,LV21,7,6,14,520
Foongus,LV21,7,7,12,520
Foongus,LV21.5,7,8,2,520
Foongus,LV21,7,8,10,520
Foongus,LV21.5,7,9,0,520
Foongus,LV20.5,7,10,15,520
Foongus,LV21,7,11,5,520
Foongus,LV21,7,12,3,520
Foongus,LV20.5,7,12,12,520
Foongus,LV20.5,7,13,10,520
Foongus,LV21,7,14,0,520
Foongus,LV20.5,7,14,8,520
Foongus,LV22,8,0,5,520
Foongus,LV22,8,1,3,520
Foongus,LV21.5,8,4,6,520
Foongus,LV21,8,4,14,520
Foongus,LV21.5,8,5,4,520
Foongus,LV21,8,5,12,520
Foongus,LV21.5,8,6,2,520
Foongus,LV21,8,8,7,520
Foongus,LV21,8,9,5,520
Foongus,LV21,8,10,3,520
Foongus,LV20.5,8,10,12,520
Foongus,LV20.5,8,11,10,520
Foongus,LV21,8,12,0,520
Foongus,LV20.5,8,12,8,520
Foongus,LV20.5,8,14,5,520
Foongus,LV20,8,14,14,520
Foongus,LV20.5,8,15,3,520
Foongus,LV20,8,15,12,520
Foongus,LV22,9,0,2,520
Foongus,LV21.5,9,0,10,520
Foongus,LV22,9,1,0,520
Foongus,LV21.5,9,1,8,520
Foongus,LV21.5,9,2,6,520
Foongus,LV21.5,9,3,4,520
Foongus,LV21,9,3,13,520
Foongus,LV21,9,4,11,520
Foongus,LV21,9,5,9,520
Foongus,LV21,9,6,7,520
Foongus,LV21,9,7,5,520
Foongus,LV20.5,9,7,14,520
Foongus,LV20.5,9,8,12,520
Foongus,LV21,9,9,2,520
Foongus,LV20.5,9,9,10,520
Foongus,LV21,9,10,0,520
Foongus,LV20.5,9,12,5,520
Foongus,LV20,9,12,14,520
Foongus,LV20.5,9,13,3,520
Foongus,LV20,9,13,12,520
Foongus,LV20,9,14,10,520
Foongus,LV20.5,9,15,0,520
Foongus,LV21,10,0,15,520
Foongus,LV21.5,10,1,5,520
Foongus,LV21,10,1,13,520
Foongus,LV21.5,10,2,3,520
Foongus,LV21,10,2,11,520
Foongus,LV21.5,10,3,1,520
Foongus,LV21,10,3,9,520
Foongus,LV20.5,10,5,14,520
Foongus,LV21,10,6,4,520
Foongus,LV20.5,10,6,12,520
Foongus,LV21,10,7,2,520
Foongus,LV21,10,8,0,520
Foongus,LV20.5,10,9,7,520
Foongus,LV20.5,10,10,5,520
Foongus,LV20,10,10,14,520
Foongus,LV20,10,11,12,520
Foongus,LV20.5,10,12,2,520
Foongus,LV20.5,10,13,0,520
Foongus,LV20,10,14,7,520
Foongus,LV20,10,15,5,520
Foongus,LV21,11,0,12,520
Foongus,LV21,11,1,10,520
Foongus,LV21,11,2,8,520
Foongus,LV21,11,3,6,520
Foongus,LV20.5,11,3,15,520
Foongus,LV21,11,4,4,520
Foongus,LV20.5,11,4,13,520
Foongus,LV21,11,5,2,520
Foongus,LV20.5,11,5,11,520
Foongus,LV20.5,11,6,9,520
Foongus,LV20.5,11,7,7,520
Foongus,LV20.5,11,8,5,520
Foongus,LV20,11,8,14,520
Foongus,LV20.5,11,10,2,520
Foongus,LV20.5,11,11,0,520
Foongus,LV20,11,11,9,520
Foongus,LV20,11,12,7,520
