Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Frigibax,LV18,0,0,7,520
Frigibax,LV18,0,1,5,520
Frigibax,LV17.5,0,1,15,520
Frigibax,LV18,0,2,3,520
Frigibax,LV17.5,0,2,13,520
Frigibax,LV18,0,3,1,520
Frigibax,LV17.5,0,3,11,520
Frigibax,LV17.5,0,4,9,520
Frigibax,LV17.5,0,5,7,520
Frigibax,LV17.5,0,6,5,520
Frigibax,LV17,0,6,15,520
Frigibax,LV17,0,7,13,520
Frigibax,LV17.5,0,9,0,520
Frigibax,LV17,0,10,8,520
Frigibax,LV17,0,11,6,520
Frigibax,LV17,0,12,4,520
Frigibax,LV16.5,0,13,13,520
Frigibax,LV17,0,14,1,520
Frigibax,LV16.5,0,14,11,520
Frigibax,LV16.5,0,15,9,520
Frigibax,LV17.5,1,0,14,520
Frigibax,LV17.5,1,1,12,520
Frigibax,LV18,1,2,1,520
Frigibax,LV17.5,1,2,10,520
Frigibax,LV17.5,1,3,8,520
Frigibax,LV17.5,1,7,1,520
Frigibax,LV17,1,7,11,520
Frigibax,LV17,1,8,9,520
Frigibax,LV17,1,9,7,520
Frigibax,LV17,1,10,5,520
Frigibax,LV16.5,1,11,14,520
Frigibax,LV17,1,12,2,520
Frigibax,LV16.5,1,12,12,520
Frigibax,LV17,1,13,0,520
Frigibax,LV16.5,1,13,10,520
Frigibax,LV16.5,1,15,7,520
Frigibax,LV18,2,0,2,520
Frigibax,LV18,2,1,0,520
Frigibax,LV17.5,2,3,6,520
Frigibax,LV17.5,2,4,4,520
Frigibax,LV17,2,4,14,520
Frigibax,LV17.5,2,5,2,520
Frigibax,LV17,2,5,12,520
Frigibax,LV17.5,2,6,0,520
Frigibax,LV17,2,6,10,520
Frigibax,LV17,2,7,8,520
Frigibax,LV17,2,8,6,520
Frigibax,LV16.5,2,9,15,520
Frigibax,LV17,2,10,3,520
Frigibax,LV16.5,2,10,13,520
Frigibax,LV17,2,11,1,520
Frigibax,LV16.5,2,11,11,520
Frigibax,LV16.5,2,14,6,520
Frigibax,LV16.5,2,15,4,520
Frigibax,LV16,2,15,15,520
Frigibax,LV17.5,3,0,9,520
Frigibax,LV17.5,3,1,7,520
Frigibax,LV17.5,3,2,5,520
Frigibax,LV17,3,2,15,520
Frigibax,LV17.5,3,3,3,520
Frigibax,LV17,3,3,13,520
Frigibax,LV17,3,4,11,520
Frigibax,LV17,3,8,4,520
Frigibax,LV16.5,3,8,14,520
Frigibax,LV17,3,9,2,520
Frigibax,LV16.5,3,9,12,520
Frigibax,LV16.5,3,12,7,520
Frigibax,LV16.5,3,13,5,520
Frigibax,LV16,3,14,14,520
Frigibax,LV16.5,3,15,2,520
Frigibax,LV16,3,15,12,520
Frigibax,LV17,4,1,15,520
Frigibax,LV17.5,4,2,3,520
Frigibax,LV17.5,4,3,1,520
Frigibax,LV17,4,3,11,520
Frigibax,LV17,4,4,9,520
Frigibax,LV17,4,5,7,520
Frigibax,LV17,4,6,5,520
