Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Froakie,LV23.5,0,0,2,520
Froakie,LV23.5,0,1,1,520
Froakie,LV23,0,1,6,520
Froakie,LV22.5,0,1,12,520
Froakie,LV23,0,3,3,520
Froakie,LV22.5,0,3,9,520
Froakie,LV22,0,3,15,520
Froakie,LV23,0,4,2,520
Froakie,LV22,0,4,13,520
Froakie,LV22.5,0,5,6,520
Froakie,LV22,0,6,10,520
Froakie,LV22.5,0,7,3,520
Froakie,LV22,0,7,9,520
Froakie,LV21.5,0,7,15,520
Froakie,LV22,0,9,6,520
Froakie,LV21.5,0,9,12,520
Froakie,LV21.5,0,11,9,520
Froakie,LV22,0,12,2,520
Froakie,LV21.5,0,12,8,520
Froakie,LV21,0,12,14,520
Froakie,LV21.5,0,14,5,520
Froakie,LV21.5,0,15,4,520
Froakie,LV21,0,15,10,520
Froakie,LV23.5,1,0,0,520
Froakie,LV22.5,1,0,11,520
Froakie,LV23,1,1,4,520
Froakie,LV22.5,1,2,8,520
Froakie,LV22,1,2,14,520
Froakie,LV23,1,3,1,520
Froakie,LV23,1,4,0,520
Froakie,LV22.5,1,4,5,520
Froakie,LV22,1,4,11,520
Froakie,LV22.5,1,5,4,520
Froakie,LV22,1,6,8,520
Froakie,LV21.5,1,6,14,520
Froakie,LV22.5,1,7,1,520
Froakie,LV21.5,1,8,11,520
Froakie,LV22,1,9,4,520
Froakie,LV21.5,1,9,10,520
Froakie,LV21.5,1,11,7,520
Froakie,LV21,1,11,13,520
Froakie,LV22,1,12,0,520
Froakie,LV21,1,12,12,520
Froakie,LV21.5,1,14,3,520
Froakie,LV21,1,14,9,520
Froakie,LV21.5,1,15,2,520
Froakie,LV21,1,15,8,520
Froakie,LV20.5,1,15,14,520
Froakie,LV22.5,2,0,9,520
Froakie,LV22,2,0,15,520
Froakie,LV23,2,1,2,520
Froakie,LV22.5,2,2,6,520
Froakie,LV22,2,2,12,520
Froakie,LV22.5,2,4,3,520
Froakie,LV22,2,4,9,520
Froakie,LV21.5,2,4,15,520
Froakie,LV22.5,2,5,2,520
Froakie,LV22,2,6,6,520
Froakie,LV21.5,2,6,12,520
Froakie,LV21.5,2,8,9,520
Froakie,LV22,2,9,2,520
Froakie,LV21,2,9,14,520
Froakie,LV21.5,2,11,5,520
Froakie,LV21,2,11,11,520
Froakie,LV20.5,2,13,15,520
Froakie,LV21.5,2,14,1,520
Froakie,LV21,2,14,7,520
Froakie,LV21.5,2,15,0,520
Froakie,LV20.5,2,15,12,520
Froakie,LV22.5,3,0,7,520
Froakie,LV22,3,0,13,520
Froakie,LV23,3,1,0,520
Froakie,LV22.5,3,2,4,520
Froakie,LV22,3,2,10,520
Froakie,LV22.5,3,4,1,520
Froakie,LV22,3,4,7,520
Froakie,LV21.5,3,4,13,520
Froakie,LV22.5,3,5,0,520
Froakie,LV22,3,6,4,520
Froakie,LV21.5,3,6,10,520
Froakie,LV21.5,3,8,7,520
Froakie,LV21,3,8,13,520
Froakie,LV22,3,9,0,520
Froakie,LV21,3,9,12,520
Froakie,LV21.5,3,11,3,520
Froakie,LV21,3,11,9,520
Froakie,LV20.5,3,12,14,520
Froakie,LV21,3,14,5,520
Froakie,LV20.5,3,14,11,520
Froakie,LV20.5,3,15,10,520
Froakie,LV22.5,4,0,5,520
Froakie,LV22,4,0,11,520
Froakie,LV22.5,4,2,2,520
Froakie,LV21.5,4,2,14,520
Froakie,LV21.5,4,3,12,520
Froakie,LV22,4,4,5,520
Froakie,LV22,4,6,2,520
Froakie,LV21.5,4,6,8,520
Froakie,LV21,4,6,14,520
Froakie,LV21.5,4,8,5,520
Froakie,LV21,4,8,11,520
Froakie,LV21.5,4,11,1,520
