Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Frogadier,LV13.5,0,0,1,520
Frogadier,LV13.5,0,1,0,520
Frogadier,LV13,0,1,11,520
Frogadier,LV13,0,2,10,520
Frogadier,LV13,0,4,7,520
Frogadier,LV13,0,5,6,520
Frogadier,LV13,0,8,2,520
Frogadier,LV12.5,0,8,14,520
Frogadier,LV13,0,9,1,520
Frogadier,LV12.5,0,9,13,520
Frogadier,LV13,0,10,0,520
Frogadier,LV12.5,0,11,10,520
Frogadier,LV12.5,0,12,9,520
Frogadier,LV12.5,0,13,8,520
Frogadier,LV13,1,1,9,520
Frogadier,LV13,1,2,8,520
Frogadier,LV13,1,5,4,520
Frogadier,LV13,1,6,3,520
Frogadier,LV12.5,1,6,15,520
Frogadier,LV12.5,1,8,12,520
Frogadier,LV12.5,1,9,11,520
Frogadier,LV12.5,1,12,7,520
Frogadier,LV12.5,1,13,6,520
Frogadier,LV12.5,1,14,5,520
Frogadier,LV12.5,1,15,4,520
Frogadier,LV13,2,0,9,520
Frogadier,LV13,2,2,6,520
Frogadier,LV13,2,3,5,520
Frogadier,LV12.5,2,5,14,520
Frogadier,LV13,2,6,1,520
Frogadier,LV12.5,2,6,13,520
Frogadier,LV13,2,7,0,520
Frogadier,LV12.5,2,9,9,520
Frogadier,LV12.5,2,10,8,520
Frogadier,LV12.5,2,14,3,520
Frogadier,LV12.5,2,15,2,520
Frogadier,LV13,3,0,7,520
Frogadier,LV13,3,3,3,520
Frogadier,LV12.5,3,3,15,520
Frogadier,LV13,3,4,2,520
Frogadier,LV12.5,3,4,14,520
Frogadier,LV12.5,3,6,11,520
Frogadier,LV12.5,3,7,10,520
Frogadier,LV12.5,3,10,6,520
Frogadier,LV12.5,3,11,5,520
Frogadier,LV12.5,3,12,4,520
Frogadier,LV12,3,13,15,520
Frogadier,LV12,3,14,14,520
Frogadier,LV13,4,0,5,520
Frogadier,LV13,4,1,4,520
Frogadier,LV12.5,4,3,13,520
Frogadier,LV13,4,4,0,520
Frogadier,LV12.5,4,4,12,520
Frogadier,LV12.5,4,7,8,520
Frogadier,LV12.5,4,8,7,520
Frogadier,LV12.5,4,11,3,520
Frogadier,LV12.5,4,12,2,520
Frogadier,LV12.5,4,13,1,520
Frogadier,LV12,4,13,13,520
Frogadier,LV12.5,4,14,0,520
Frogadier,LV12,4,14,12,520
Frogadier,LV12,4,15,11,520
Frogadier,LV13,5,1,2,520
Frogadier,LV12.5,5,1,14,520
Frogadier,LV13,5,2,1,520
Frogadier,LV12.5,5,2,13,520
Frogadier,LV12.5,5,4,10,520
Frogadier,LV12.5,5,5,9,520
Frogadier,LV12.5,5,8,5,520
Frogadier,LV12.5,5,9,4,520
Frogadier,LV12,5,10,15,520
Frogadier,LV12,5,11,14,520
Frogadier,LV12,5,14,10,520
Frogadier,LV12,5,15,9,520
Frogadier,LV13,6,0,2,520
Frogadier,LV12.5,6,0,14,520
Frogadier,LV12.5,6,2,11,520
Frogadier,LV12.5,6,5,7,520
Frogadier,LV12.5,6,6,6,520
Frogadier,LV12.5,6,9,2,520
Frogadier,LV12.5,6,10,1,520
Frogadier,LV12.5,6,11,0,520
Frogadier,LV12,6,11,12,520
Frogadier,LV12,6,12,11,520
Frogadier,LV12,6,15,7,520
Frogadier,LV13,7,0,0,520
Frogadier,LV12.5,7,0,12,520
Frogadier,LV12.5,7,2,9,520
Frogadier,LV12.5,7,3,8,520
Frogadier,LV12.5,7,6,4,520
Frogadier,LV12.5,7,7,3,520
Frogadier,LV12,7,8,14,520
Frogadier,LV12,7,9,13,520
Frogadier,LV12,7,11,10,520
Frogadier,LV12,7,12,9,520
Frogadier,LV12,7,13,8,520
Frogadier,LV12.5,8,0,10,520
Frogadier,LV12.5,8,1,9,520
Frogadier,LV12.5,8,3,6,520
Frogadier,LV12.5,8,4,5,520
Frogadier,LV12,8,6,15,520
Frogadier,LV12.5,8,7,1,520
Frogadier,LV12.5,8,8,0,520
Frogadier,LV12,8,8,12,520
Frogadier,LV12,8,9,11,520
Frogadier,LV12,8,10,10,520
Frogadier,LV12,8,13,6,520
Frogadier,LV12,8,14,5,520
Frogadier,LV12,8,15,4,520
Frogadier,LV12.5,9,1,7,520
Frogadier,LV12.5,9,2,6,520
Frogadier,LV12.5,9,4,3,520
Frogadier,LV12.5,9,5,2,520
Frogadier,LV12.5,9,6,1,520
Frogadier,LV12,9,6,13,520
Frogadier,LV12,9,7,12,520
Frogadier,LV12,9,9,9,520
Frogadier,LV12,9,10,8,520
