Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Frosmoth,LV7.5,0,6,12,520
Frosmoth,LV7.5,0,7,11,520
Frosmoth,LV7.5,0,8,10,520
Frosmoth,LV7.5,0,9,9,520
Frosmoth,LV7.5,0,10,8,520
Frosmoth,LV7.5,0,11,7,520
Frosmoth,LV7.5,0,12,6,520
Frosmoth,LV7.5,1,3,14,520
Frosmoth,LV7.5,1,4,13,520
Frosmoth,LV7.5,1,5,12,520
Frosmoth,LV7.5,1,6,11,520
Frosmoth,LV7.5,1,10,6,520
Frosmoth,LV7.5,1,11,5,520
Frosmoth,LV7.5,1,12,4,520
Frosmoth,LV7.5,1,13,3,520
Frosmoth,LV7.5,1,14,2,520
Frosmoth,LV7.5,1,15,1,520
Frosmoth,LV7.5,2,1,15,520
Frosmoth,LV7.5,2,2,14,520
Frosmoth,LV7.5,2,5,10,520
Frosmoth,LV7.5,2,6,9,520
Frosmoth,LV7.5,2,7,8,520
Frosmoth,LV7.5,2,8,7,520
Frosmoth,LV7.5,2,9,6,520
Frosmoth,LV7.5,2,10,5,520
Frosmoth,LV7.5,2,11,4,520
Frosmoth,LV7.5,3,1,13,520
Frosmoth,LV7.5,3,2,12,520
Frosmoth,LV7.5,3,3,11,520
Frosmoth,LV7.5,3,4,10,520
Frosmoth,LV7.5,3,5,9,520
Frosmoth,LV7.5,3,9,4,520
Frosmoth,LV7.5,3,10,3,520
Frosmoth,LV7.5,3,11,2,520
Frosmoth,LV7.5,3,12,1,520
Frosmoth,LV7.5,3,13,0,520
Frosmoth,LV7.5,4,0,13,520
Frosmoth,LV7.5,4,1,12,520
Frosmoth,LV7.5,4,4,8,520
Frosmoth,LV7.5,4,5,7,520
Frosmoth,LV7.5,4,6,6,520
Frosmoth,LV7.5,4,7,5,520
Frosmoth,LV7.5,4,8,4,520
Frosmoth,LV7.5,4,9,3,520
Frosmoth,LV7.5,4,10,2,520
Frosmoth,LV7.5,4,11,1,520
Frosmoth,LV7.5,5,1,10,520
Frosmoth,LV7.5,5,2,9,520
Frosmoth,LV7.5,5,3,8,520
Frosmoth,LV7.5,5,4,7,520
Frosmoth,LV7.5,5,9,1,520
Frosmoth,LV7.5,5,10,0,520
Frosmoth,LV7.5,6,0,10,520
Frosmoth,LV7.5,6,1,9,520
Frosmoth,LV7.5,6,4,5,520
Frosmoth,LV7.5,6,5,4,520
Frosmoth,LV7.5,6,6,3,520
Frosmoth,LV7.5,6,7,2,520
Frosmoth,LV7.5,6,8,1,520
Frosmoth,LV7.5,6,9,0,520
Frosmoth,LV7.5,7,0,8,520
Frosmoth,LV7.5,7,1,7,520
Frosmoth,LV7.5,7,2,6,520
Frosmoth,LV7.5,7,3,5,520
Frosmoth,LV7.5,7,4,4,520
Frosmoth,LV7.5,8,0,7,520
Frosmoth,LV7.5,8,4,2,520
Frosmoth,LV7.5,8,5,1,520
Frosmoth,LV7.5,8,6,0,520
Frosmoth,LV7.5,9,0,5,520
Frosmoth,LV7.5,9,1,4,520
Frosmoth,LV7.5,9,2,3,520
Frosmoth,LV7.5,9,3,2,520
Frosmoth,LV7.5,9,4,1,520
Frosmoth,LV7.5,9,5,0,520
Frosmoth,LV7.5,10,0,4,520
Frosmoth,LV7.5,10,1,3,520
Frosmoth,LV7,10,14,15,520
Frosmoth,LV7,10,15,14,520
Frosmoth,LV7.5,11,1,1,520
Frosmoth,LV7.5,11,2,0,520
Frosmoth,LV7,11,13,15,520
Frosmoth,LV7.5,12,0,1,520
Frosmoth,LV7.5,12,1,0,520
Frosmoth,LV7,12,12,14,520
Frosmoth,LV7,12,13,13,520
Frosmoth,LV7,12,14,12,520
Frosmoth,LV7,12,15,11,520
Frosmoth,LV7,13,10,15,520
Frosmoth,LV7,13,11,14,520
Frosmoth,LV7,13,12,13,520
Frosmoth,LV7,14,11,12,520
Frosmoth,LV7,14,12,11,520
Frosmoth,LV7,14,13,10,520
Frosmoth,LV7,14,14,9,520
Frosmoth,LV7,14,15,8,520
Frosmoth,LV7,15,7,15,520
Frosmoth,LV7,15,8,14,520
Frosmoth,LV7,15,9,13,520
Frosmoth,LV7,15,10,12,520
Frosmoth,LV7,15,11,11,520
Frosmoth,LV7,15,12,10,520
