Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gengar,LV7,0,9,14,520
Gengar,LV7,0,10,13,520
Gengar,LV7,0,11,12,520
Gengar,LV7,0,12,11,520
Gengar,LV7,0,13,10,520
Gengar,LV7,0,14,9,520
Gengar,LV7,0,15,8,520
Gengar,LV7,1,7,15,520
Gengar,LV7,1,8,14,520
Gengar,LV7,1,9,13,520
Gengar,LV7,1,10,12,520
Gengar,LV7,1,11,11,520
Gengar,LV7,1,12,10,520
Gengar,LV7,1,13,9,520
Gengar,LV7,1,14,8,520
Gengar,LV7,1,15,7,520
Gengar,LV7,2,6,15,520
Gengar,LV7,2,7,14,520
Gengar,LV7,2,8,13,520
Gengar,LV7,2,9,12,520
Gengar,LV7,3,5,15,520
Gengar,LV7,4,7,11,520
Gengar,LV7,4,8,10,520
Gengar,LV7,4,9,9,520
Gengar,LV7,4,10,8,520
Gengar,LV7,4,11,7,520
Gengar,LV7,4,12,6,520
Gengar,LV7,4,13,5,520
Gengar,LV7,4,14,4,520
Gengar,LV7,4,15,3,520
Gengar,LV7,5,4,13,520
Gengar,LV7,5,5,12,520
Gengar,LV7,5,6,11,520
Gengar,LV7,5,7,10,520
Gengar,LV7,5,8,9,520
Gengar,LV7,5,9,8,520
Gengar,LV7,5,10,7,520
Gengar,LV7,5,11,6,520
Gengar,LV7,5,12,5,520
Gengar,LV7,5,13,4,520
Gengar,LV7,5,14,3,520
Gengar,LV7,5,15,2,520
Gengar,LV7,6,2,14,520
Gengar,LV7,6,3,13,520
Gengar,LV7,6,4,12,520
Gengar,LV7,6,5,11,520
Gengar,LV7,6,6,10,520
Gengar,LV7,6,7,9,520
Gengar,LV7,6,8,8,520
Gengar,LV7,6,9,7,520
Gengar,LV7,6,10,6,520
Gengar,LV7,6,11,5,520
Gengar,LV7,6,12,4,520
Gengar,LV7,6,13,3,520
Gengar,LV7,6,14,2,520
Gengar,LV7,6,15,1,520
Gengar,LV7,7,0,15,520
Gengar,LV7,7,1,14,520
Gengar,LV7,7,2,13,520
Gengar,LV7,7,3,12,520
Gengar,LV7,7,4,11,520
Gengar,LV7,7,5,10,520
Gengar,LV7,8,0,14,520
Gengar,LV7,8,1,13,520
Gengar,LV7,8,2,12,520
Gengar,LV7,9,0,13,520
Gengar,LV7,9,5,7,520
Gengar,LV7,9,6,6,520
Gengar,LV7,9,7,5,520
Gengar,LV7,9,8,4,520
Gengar,LV7,9,9,3,520
Gengar,LV7,9,10,2,520
Gengar,LV7,9,11,1,520
Gengar,LV7,9,12,0,520
Gengar,LV7,10,2,9,520
Gengar,LV7,10,3,8,520
Gengar,LV7,10,4,7,520
Gengar,LV7,10,5,6,520
Gengar,LV7,10,6,5,520
Gengar,LV7,10,7,4,520
Gengar,LV7,10,8,3,520
Gengar,LV7,10,9,2,520
Gengar,LV7,10,10,1,520
Gengar,LV7,10,11,0,520
Gengar,LV7,11,0,10,520
Gengar,LV7,11,1,9,520
Gengar,LV7,11,2,8,520
Gengar,LV7,11,3,7,520
Gengar,LV7,11,4,6,520
Gengar,LV7,11,5,5,520
Gengar,LV7,11,6,4,520
Gengar,LV7,11,7,3,520
Gengar,LV7,11,8,2,520
Gengar,LV7,11,9,1,520
Gengar,LV7,11,10,0,520
Gengar,LV7,12,0,9,520
Gengar,LV7,12,1,8,520
Gengar,LV7,12,2,7,520
Gengar,LV7,12,3,6,520
Gengar,LV7,12,4,5,520
Gengar,LV7,12,5,4,520
Gengar,LV7,12,6,3,520
Gengar,LV7,12,9,0,520
Gengar,LV7,13,0,8,520
Gengar,LV7,13,1,7,520
Gengar,LV7,13,2,6,520
Gengar,LV7,15,5,0,520
