Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Geodude,LV17.5,0,0,1,520
Geodude,LV17,0,0,8,520
Geodude,LV17.5,0,1,0,520
Geodude,LV17,0,1,7,520
Geodude,LV16.5,0,1,15,520
Geodude,LV17,0,2,6,520
Geodude,LV16.5,0,2,14,520
Geodude,LV17,0,3,5,520
Geodude,LV16.5,0,3,13,520
Geodude,LV17,0,4,4,520
Geodude,LV16.5,0,4,12,520
Geodude,LV16.5,0,5,11,520
Geodude,LV16.5,0,6,10,520
Geodude,LV16.5,0,7,9,520
Geodude,LV16.5,0,8,8,520
Geodude,LV17,0,9,0,520
Geodude,LV16.5,0,9,7,520
Geodude,LV16,0,9,15,520
Geodude,LV16.5,0,14,3,520
Geodude,LV16.5,0,15,2,520
Geodude,LV17,1,0,6,520
Geodude,LV16.5,1,0,14,520
Geodude,LV17,1,1,5,520
Geodude,LV16.5,1,1,13,520
Geodude,LV17,1,2,4,520
Geodude,LV16.5,1,2,12,520
Geodude,LV16.5,1,3,11,520
Geodude,LV16.5,1,4,10,520
Geodude,LV16.5,1,5,9,520
Geodude,LV16.5,1,6,8,520
Geodude,LV16.5,1,7,7,520
Geodude,LV16,1,7,15,520
Geodude,LV16.5,1,8,6,520
Geodude,LV16,1,8,14,520
Geodude,LV16,1,9,13,520
Geodude,LV16.5,1,13,2,520
Geodude,LV16.5,1,14,1,520
Geodude,LV16.5,1,15,0,520
Geodude,LV16,1,15,8,520
Geodude,LV17,2,0,4,520
Geodude,LV16.5,2,0,12,520
Geodude,LV16.5,2,1,11,520
Geodude,LV16.5,2,2,10,520
Geodude,LV16.5,2,3,9,520
Geodude,LV16.5,2,4,8,520
Geodude,LV16.5,2,5,7,520
Geodude,LV16,2,5,15,520
Geodude,LV16.5,2,6,6,520
Geodude,LV16,2,6,14,520
Geodude,LV16.5,2,7,5,520
Geodude,LV16,2,7,13,520
Geodude,LV16,2,8,12,520
Geodude,LV16,2,9,11,520
Geodude,LV16.5,2,12,1,520
Geodude,LV16.5,2,13,0,520
Geodude,LV15.5,2,14,15,520
Geodude,LV16,2,15,6,520
Geodude,LV15.5,2,15,14,520
Geodude,LV16.5,3,0,10,520
Geodude,LV16.5,3,1,9,520
Geodude,LV16.5,3,2,8,520
Geodude,LV16.5,3,3,7,520
Geodude,LV16,3,3,15,520
Geodude,LV16.5,3,4,6,520
Geodude,LV16,3,4,14,520
Geodude,LV16.5,3,5,5,520
Geodude,LV16,3,5,13,520
Geodude,LV16,3,6,12,520
Geodude,LV16,3,7,11,520
Geodude,LV16,3,8,10,520
Geodude,LV16.5,3,11,0,520
Geodude,LV15.5,3,12,15,520
Geodude,LV15.5,3,13,14,520
