Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gligar,LV11.5,0,0,8,520
Gligar,LV11.5,0,1,7,520
Gligar,LV11.5,0,2,6,520
Gligar,LV11.5,0,3,5,520
Gligar,LV11.5,0,4,4,520
Gligar,LV11.5,0,8,1,520
Gligar,LV11.5,0,9,0,520
Gligar,LV11,0,9,15,520
Gligar,LV11,0,10,14,520
Gligar,LV11,0,11,13,520
Gligar,LV11,0,15,10,520
Gligar,LV11.5,1,2,4,520
Gligar,LV11.5,1,3,3,520
Gligar,LV11.5,1,4,2,520
Gligar,LV11.5,1,5,1,520
Gligar,LV11.5,1,6,0,520
Gligar,LV11,1,10,12,520
Gligar,LV11,1,11,11,520
Gligar,LV11,1,12,10,520
Gligar,LV11,1,13,9,520
Gligar,LV11,1,14,8,520
Gligar,LV11,1,15,7,520
Gligar,LV11.5,2,0,3,520
Gligar,LV11.5,2,1,2,520
Gligar,LV11,2,4,15,520
Gligar,LV11,2,5,14,520
Gligar,LV11,2,6,13,520
Gligar,LV11,2,7,12,520
Gligar,LV11,2,8,11,520
Gligar,LV11,2,9,10,520
Gligar,LV11,2,10,9,520
Gligar,LV11,2,14,6,520
Gligar,LV11,2,15,5,520
Gligar,LV11.5,3,0,1,520
Gligar,LV11.5,3,1,0,520
Gligar,LV11,3,1,15,520
Gligar,LV11,3,2,14,520
Gligar,LV11,3,3,13,520
Gligar,LV11,3,8,9,520
Gligar,LV11,3,9,8,520
Gligar,LV11,3,10,7,520
Gligar,LV11,3,11,6,520
Gligar,LV11,3,12,5,520
Gligar,LV11,4,0,14,520
Gligar,LV11,4,1,13,520
Gligar,LV11,4,2,12,520
Gligar,LV11,4,3,11,520
Gligar,LV11,4,4,10,520
Gligar,LV11,4,5,9,520
Gligar,LV11,4,6,8,520
Gligar,LV11,4,7,7,520
Gligar,LV11,4,11,4,520
Gligar,LV11,4,12,3,520
Gligar,LV11,4,13,2,520
Gligar,LV11,4,14,1,520
Gligar,LV11,5,5,7,520
Gligar,LV11,5,6,6,520
Gligar,LV11,5,7,5,520
Gligar,LV11,5,8,4,520
Gligar,LV11,5,9,3,520
Gligar,LV11,5,12,1,520
Gligar,LV11,5,13,0,520
Gligar,LV10.5,5,14,15,520
Gligar,LV10.5,5,15,14,520
Gligar,LV11,6,0,9,520
Gligar,LV11,6,1,8,520
Gligar,LV11,6,2,7,520
Gligar,LV11,6,3,6,520
Gligar,LV11,6,7,3,520
Gligar,LV11,6,8,2,520
Gligar,LV11,6,9,1,520
Gligar,LV11,6,10,0,520
Gligar,LV10.5,6,11,15,520
Gligar,LV10.5,6,12,14,520
Gligar,LV10.5,6,13,13,520
Gligar,LV11,7,0,7,520
Gligar,LV11,7,1,6,520
Gligar,LV11,7,2,5,520
Gligar,LV11,7,3,4,520
Gligar,LV11,7,4,3,520
Gligar,LV11,7,5,2,520
Gligar,LV10.5,7,10,14,520
Gligar,LV10.5,7,11,13,520
Gligar,LV10.5,7,12,12,520
Gligar,LV10.5,7,13,11,520
Gligar,LV10.5,7,14,10,520
Gligar,LV10.5,7,15,9,520
Gligar,LV11,8,2,3,520
Gligar,LV11,8,3,2,520
Gligar,LV11,8,4,1,520
Gligar,LV11,8,5,0,520
Gligar,LV10.5,8,6,15,520
Gligar,LV10.5,8,7,14,520
Gligar,LV10.5,8,8,13,520
Gligar,LV10.5,8,9,12,520
Gligar,LV10.5,8,13,9,520
Gligar,LV10.5,8,14,8,520
Gligar,LV10.5,8,15,7,520
Gligar,LV11,9,0,2,520
Gligar,LV10.5,9,6,13,520
Gligar,LV10.5,9,7,12,520
Gligar,LV10.5,9,8,11,520
Gligar,LV10.5,9,9,10,520
Gligar,LV10.5,9,10,9,520
Gligar,LV10.5,9,11,8,520
Gligar,LV10.5,9,12,7,520
Gligar,LV10.5,9,15,5,520
Gligar,LV11,10,0,0,520
Gligar,LV10.5,10,1,15,520
Gligar,LV10.5,10,2,14,520
Gligar,LV10.5,10,3,13,520
Gligar,LV10.5,10,4,12,520
Gligar,LV10.5,10,5,11,520
Gligar,LV10.5,10,9,8,520
Gligar,LV10.5,10,10,7,520
Gligar,LV10.5,10,11,6,520
Gligar,LV10.5,10,12,5,520
Gligar,LV10.5,10,13,4,520
Gligar,LV10.5,11,0,14,520
Gligar,LV10.5,11,1,13,520
Gligar,LV10.5,11,2,12,520
Gligar,LV10.5,11,3,11,520
Gligar,LV10.5,11,4,10,520
Gligar,LV10.5,11,5,9,520
Gligar,LV10.5,11,6,8,520
Gligar,LV10.5,11,7,7,520
Gligar,LV10.5,11,11,4,520
Gligar,LV10.5,11,12,3,520
Gligar,LV10.5,11,13,2,520
Gligar,LV10.5,11,14,1,520
Gligar,LV10.5,12,4,8,520
Gligar,LV10.5,12,5,7,520
Gligar,LV10.5,12,6,6,520
Gligar,LV10.5,12,7,5,520
Gligar,LV10.5,12,8,4,520
Gligar,LV10.5,12,12,1,520
Gligar,LV10.5,12,13,0,520
Gligar,LV10,12,15,15,520
Gligar,LV10.5,13,0,9,520
Gligar,LV10.5,13,1,8,520
Gligar,LV10.5,13,6,4,520
Gligar,LV10.5,13,7,3,520
Gligar,LV10.5,13,8,2,520
Gligar,LV10.5,13,9,1,520
Gligar,LV10,13,12,15,520
Gligar,LV10.5,14,0,7,520
Gligar,LV10.5,14,1,6,520
Gligar,LV10.5,14,2,5,520
Gligar,LV10.5,14,3,4,520
Gligar,LV10.5,14,7,1,520
Gligar,LV10.5,14,8,0,520
Gligar,LV10,14,10,15,520
Gligar,LV10,14,11,14,520
Gligar,LV10,14,12,13,520
Gligar,LV10,14,13,12,520
Gligar,LV10,14,14,11,520
Gligar,LV10.5,15,0,5,520
Gligar,LV10.5,15,1,4,520
Gligar,LV10.5,15,2,3,520
Gligar,LV10.5,15,3,2,520
Gligar,LV10,15,7,15,520
Gligar,LV10,15,12,11,520
Gligar,LV10,15,13,10,520
Gligar,LV10,15,14,9,520
Gligar,LV10,15,15,8,520
