Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gloom,LV13,0,0,3,520
Gloom,LV13,0,1,2,520
Gloom,LV12.5,0,1,15,520
Gloom,LV13,0,2,1,520
Gloom,LV12.5,0,3,12,520
Gloom,LV12.5,0,4,11,520
Gloom,LV12.5,0,5,10,520
Gloom,LV12.5,0,6,9,520
Gloom,LV12.5,0,10,4,520
Gloom,LV12.5,0,11,3,520
Gloom,LV12.5,0,12,2,520
Gloom,LV12.5,0,13,1,520
Gloom,LV12,0,13,14,520
Gloom,LV12.5,0,14,0,520
Gloom,LV12,0,14,13,520
Gloom,LV12,0,15,12,520
Gloom,LV13,1,0,1,520
Gloom,LV12.5,1,0,14,520
Gloom,LV13,1,1,0,520
Gloom,LV12.5,1,2,11,520
Gloom,LV12.5,1,3,10,520
Gloom,LV12.5,1,4,9,520
Gloom,LV12.5,1,5,8,520
Gloom,LV12.5,1,9,3,520
Gloom,LV12.5,1,10,2,520
Gloom,LV12.5,1,11,1,520
Gloom,LV12.5,1,12,0,520
Gloom,LV12,1,12,13,520
Gloom,LV12,1,13,12,520
Gloom,LV12,1,14,11,520
Gloom,LV12,1,15,10,520
Gloom,LV12.5,2,2,9,520
Gloom,LV12.5,2,3,8,520
Gloom,LV12.5,2,4,7,520
Gloom,LV12.5,2,9,1,520
Gloom,LV12.5,2,10,0,520
Gloom,LV12,2,11,12,520
Gloom,LV12,2,12,11,520
Gloom,LV12,2,13,10,520
Gloom,LV12,2,14,9,520
Gloom,LV12,2,15,8,520
Gloom,LV12.5,3,1,8,520
Gloom,LV12.5,3,2,7,520
Gloom,LV12.5,3,3,6,520
Gloom,LV12.5,3,4,5,520
Gloom,LV12,3,7,15,520
Gloom,LV12,3,10,11,520
Gloom,LV12,3,11,10,520
Gloom,LV12,3,12,9,520
Gloom,LV12,3,13,8,520
Gloom,LV12,3,14,7,520
Gloom,LV12,3,15,6,520
Gloom,LV12.5,4,1,6,520
Gloom,LV12.5,4,2,5,520
Gloom,LV12.5,4,3,4,520
Gloom,LV12.5,4,4,3,520
Gloom,LV12,4,5,15,520
Gloom,LV12,4,6,14,520
Gloom,LV12,4,9,10,520
Gloom,LV12,4,10,9,520
Gloom,LV12,4,11,8,520
Gloom,LV12,4,12,7,520
Gloom,LV12,4,13,6,520
Gloom,LV12,4,14,5,520
Gloom,LV12.5,5,1,4,520
Gloom,LV12.5,5,2,3,520
Gloom,LV12.5,5,3,2,520
Gloom,LV12,5,3,15,520
Gloom,LV12.5,5,4,1,520
Gloom,LV12,5,4,14,520
Gloom,LV12,5,5,13,520
Gloom,LV12,5,8,9,520
Gloom,LV12,5,9,8,520
Gloom,LV12,5,10,7,520
Gloom,LV12,5,11,6,520
Gloom,LV12,5,12,5,520
Gloom,LV12,5,13,4,520
Gloom,LV12,5,14,3,520
Gloom,LV12.5,6,1,2,520
Gloom,LV12.5,6,2,1,520
Gloom,LV12,6,2,14,520
Gloom,LV12.5,6,3,0,520
Gloom,LV12,6,3,13,520
Gloom,LV12,6,4,12,520
Gloom,LV12,6,8,7,520
Gloom,LV12,6,9,6,520
Gloom,LV12,6,10,5,520
Gloom,LV12,6,11,4,520
Gloom,LV12,6,12,3,520
Gloom,LV12,6,13,2,520
Gloom,LV12,6,14,1,520
Gloom,LV12,6,15,0,520
Gloom,LV12.5,7,1,0,520
Gloom,LV12,7,2,12,520
Gloom,LV12,7,3,11,520
Gloom,LV12,7,4,10,520
Gloom,LV12,7,8,5,520
Gloom,LV12,7,9,4,520
Gloom,LV12,7,10,3,520
Gloom,LV12,7,11,2,520
Gloom,LV12,7,12,1,520
Gloom,LV11.5,7,12,15,520
Gloom,LV12,7,13,0,520
Gloom,LV12,8,1,11,520
Gloom,LV12,8,2,10,520
Gloom,LV12,8,3,9,520
Gloom,LV12,8,4,8,520
Gloom,LV12,8,8,3,520
Gloom,LV12,8,9,2,520
Gloom,LV12,8,10,1,520
Gloom,LV11.5,8,10,15,520
Gloom,LV12,8,11,0,520
Gloom,LV11.5,8,11,14,520
Gloom,LV11.5,8,15,9,520
Gloom,LV12,9,1,9,520
Gloom,LV12,9,2,8,520
Gloom,LV12,9,3,7,520
Gloom,LV12,9,4,6,520
Gloom,LV12,9,8,1,520
Gloom,LV11.5,9,8,15,520
Gloom,LV12,9,9,0,520
Gloom,LV11.5,9,9,14,520
Gloom,LV11.5,9,10,13,520
Gloom,LV11.5,9,15,7,520
Gloom,LV12,10,1,7,520
Gloom,LV12,10,2,6,520
Gloom,LV12,10,3,5,520
Gloom,LV12,10,4,4,520
Gloom,LV11.5,10,7,14,520
Gloom,LV11.5,10,8,13,520
Gloom,LV11.5,10,9,12,520
Gloom,LV11.5,10,10,11,520
Gloom,LV11.5,10,15,5,520
Gloom,LV12,11,1,5,520
Gloom,LV12,11,2,4,520
Gloom,LV12,11,3,3,520
Gloom,LV12,11,4,2,520
Gloom,LV12,11,5,1,520
Gloom,LV11.5,11,7,12,520
Gloom,LV11.5,11,8,11,520
Gloom,LV11.5,11,9,10,520
Gloom,LV11.5,11,10,9,520
Gloom,LV12,12,2,2,520
Gloom,LV12,12,3,1,520
Gloom,LV11.5,12,3,15,520
Gloom,LV12,12,4,0,520
Gloom,LV11.5,12,4,14,520
Gloom,LV11.5,12,7,10,520
Gloom,LV11.5,12,8,9,520
Gloom,LV11.5,12,9,8,520
Gloom,LV11.5,12,10,7,520
Gloom,LV11.5,13,1,15,520
Gloom,LV11.5,13,2,14,520
Gloom,LV11.5,13,3,13,520
Gloom,LV11.5,13,7,8,520
