Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gogoat,LV7.5,0,0,15,520
Gogoat,LV7.5,0,1,13,520
Gogoat,LV7.5,0,2,11,520
Gogoat,LV7.5,0,3,9,520
Gogoat,LV7.5,0,4,7,520
Gogoat,LV7.5,0,5,6,520
Gogoat,LV7.5,0,6,4,520
Gogoat,LV7.5,0,7,2,520
Gogoat,LV7.5,0,8,0,520
Gogoat,LV7.5,1,0,12,520
Gogoat,LV7.5,1,1,10,520
Gogoat,LV7.5,1,2,8,520
Gogoat,LV7.5,1,3,6,520
Gogoat,LV7.5,1,4,5,520
Gogoat,LV7.5,1,5,3,520
Gogoat,LV7.5,1,6,1,520
Gogoat,LV7.5,2,0,9,520
Gogoat,LV7.5,2,1,7,520
Gogoat,LV7.5,2,2,6,520
Gogoat,LV7.5,2,3,4,520
Gogoat,LV7.5,2,4,2,520
Gogoat,LV7.5,2,5,0,520
Gogoat,LV7.5,3,0,6,520
Gogoat,LV7.5,3,0,7,520
Gogoat,LV7.5,3,1,5,520
Gogoat,LV7.5,3,2,3,520
Gogoat,LV7.5,3,3,1,520
Gogoat,LV7.5,4,0,4,520
Gogoat,LV7.5,4,1,2,520
Gogoat,LV7.5,4,2,0,520
Gogoat,LV7.5,5,0,1,520
Gogoat,LV7,5,15,15,520
Gogoat,LV7,6,14,14,520
Gogoat,LV7,6,15,12,520
Gogoat,LV7,7,12,15,520
Gogoat,LV7,7,13,13,520
Gogoat,LV7,7,14,11,520
Gogoat,LV7,7,15,10,520
Gogoat,LV7,8,11,14,520
Gogoat,LV7,8,12,12,520
Gogoat,LV7,8,13,10,520
Gogoat,LV7,8,14,9,520
Gogoat,LV7,8,15,7,520
Gogoat,LV7,9,9,15,520
Gogoat,LV7,9,10,13,520
Gogoat,LV7,9,11,11,520
Gogoat,LV7,9,12,9,520
Gogoat,LV7,9,13,8,520
Gogoat,LV7,9,14,6,520
Gogoat,LV7,9,15,4,520
Gogoat,LV7,10,8,14,520
Gogoat,LV7,10,9,12,520
Gogoat,LV7,10,10,10,520
Gogoat,LV7,10,11,8,520
Gogoat,LV7,10,12,7,520
Gogoat,LV7,10,13,5,520
Gogoat,LV7,10,14,3,520
Gogoat,LV7,10,15,2,520
Gogoat,LV7,11,6,15,520
Gogoat,LV7,11,7,13,520
Gogoat,LV7,11,8,11,520
Gogoat,LV7,11,9,9,520
Gogoat,LV7,11,10,8,520
Gogoat,LV7,11,11,6,520
Gogoat,LV7,11,12,4,520
Gogoat,LV7,11,13,2,520
Gogoat,LV7,11,14,1,520
Gogoat,LV7,12,5,14,520
Gogoat,LV7,12,6,12,520
Gogoat,LV7,12,7,10,520
Gogoat,LV7,12,8,8,520
Gogoat,LV7,12,9,7,520
Gogoat,LV7,12,10,5,520
Gogoat,LV7,12,11,3,520
Gogoat,LV7,12,12,1,520
Gogoat,LV7,12,12,2,520
Gogoat,LV7,12,13,0,520
Gogoat,LV7,13,3,15,520
Gogoat,LV7,13,4,13,520
Gogoat,LV7,13,5,11,520
Gogoat,LV7,13,6,9,520
Gogoat,LV7,13,7,8,520
Gogoat,LV7,13,8,6,520
Gogoat,LV7,13,9,4,520
Gogoat,LV7,13,10,2,520
Gogoat,LV7,13,11,1,520
Gogoat,LV7,14,2,14,520
Gogoat,LV7,14,3,12,520
Gogoat,LV7,14,4,10,520
Gogoat,LV7,14,5,9,520
Gogoat,LV7,14,6,7,520
Gogoat,LV7,14,7,5,520
Gogoat,LV7,14,8,3,520
Gogoat,LV7,14,9,1,520
Gogoat,LV7,14,9,2,520
Gogoat,LV7,14,10,0,520
Gogoat,LV7,15,0,15,520
Gogoat,LV7,15,1,13,520
Gogoat,LV7,15,2,11,520
Gogoat,LV7,15,2,12,520
Gogoat,LV7,15,3,10,520
Gogoat,LV7,15,4,8,520
Gogoat,LV7,15,5,6,520
Gogoat,LV7,15,6,4,520
Gogoat,LV7,15,7,2,520
Gogoat,LV7,15,8,1,520
