Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Golbat,LV11,0,0,0,520
Golbat,LV10.5,0,2,15,520
Golbat,LV10.5,0,4,12,520
Golbat,LV10.5,0,5,11,520
Golbat,LV10.5,0,6,10,520
Golbat,LV10.5,0,8,7,520
Golbat,LV10.5,0,9,6,520
Golbat,LV10.5,0,10,5,520
Golbat,LV10.5,0,11,4,520
Golbat,LV10.5,0,12,3,520
Golbat,LV10.5,1,0,15,520
Golbat,LV10.5,1,2,12,520
Golbat,LV10.5,1,3,11,520
Golbat,LV10.5,1,4,10,520
Golbat,LV10.5,1,7,6,520
Golbat,LV10.5,1,8,5,520
Golbat,LV10.5,1,9,4,520
Golbat,LV10.5,1,10,3,520
Golbat,LV10,1,15,15,520
Golbat,LV10.5,2,1,11,520
Golbat,LV10.5,2,2,10,520
Golbat,LV10.5,2,3,9,520
Golbat,LV10.5,2,5,6,520
Golbat,LV10.5,2,6,5,520
Golbat,LV10.5,2,7,4,520
Golbat,LV10.5,2,8,3,520
Golbat,LV10,2,13,15,520
Golbat,LV10,2,14,14,520
Golbat,LV10,2,15,13,520
Golbat,LV10.5,3,0,10,520
Golbat,LV10.5,3,1,9,520
Golbat,LV10.5,3,2,8,520
Golbat,LV10.5,3,4,5,520
Golbat,LV10.5,3,5,4,520
Golbat,LV10.5,3,6,3,520
Golbat,LV10,3,11,15,520
Golbat,LV10,3,12,14,520
Golbat,LV10,3,13,13,520
Golbat,LV10,3,14,12,520
Golbat,LV10.5,4,0,8,520
Golbat,LV10.5,4,3,4,520
Golbat,LV10.5,4,4,3,520
Golbat,LV10.5,4,5,2,520
Golbat,LV10,4,10,14,520
Golbat,LV10,4,11,13,520
Golbat,LV10,4,12,12,520
Golbat,LV10,4,15,8,520
Golbat,LV10.5,5,1,4,520
Golbat,LV10.5,5,2,3,520
Golbat,LV10.5,5,3,2,520
Golbat,LV10.5,5,4,1,520
Golbat,LV10,5,8,14,520
Golbat,LV10,5,9,13,520
Golbat,LV10,5,10,12,520
Golbat,LV10,5,11,11,520
Golbat,LV10,5,13,8,520
Golbat,LV10,5,14,7,520
Golbat,LV10,5,15,6,520
Golbat,LV10.5,6,1,2,520
Golbat,LV10.5,6,2,1,520
Golbat,LV10.5,6,3,0,520
Golbat,LV10,6,7,13,520
Golbat,LV10,6,8,12,520
Golbat,LV10,6,9,11,520
Golbat,LV10,6,11,8,520
Golbat,LV10,6,12,7,520
Golbat,LV10,6,13,6,520
Golbat,LV10,6,14,5,520
Golbat,LV10,6,15,4,520
Golbat,LV10.5,7,0,1,520
Golbat,LV10.5,7,1,0,520
Golbat,LV10,7,5,13,520
Golbat,LV10,7,6,12,520
Golbat,LV10,7,7,11,520
Golbat,LV10,7,8,10,520
Golbat,LV10,7,10,7,520
Golbat,LV10,7,11,6,520
Golbat,LV10,7,12,5,520
Golbat,LV10,7,13,4,520
Golbat,LV10,7,14,3,520
Golbat,LV10,8,2,15,520
Golbat,LV10,8,4,12,520
Golbat,LV10,8,5,11,520
Golbat,LV10,8,6,10,520
Golbat,LV10,8,9,6,520
Golbat,LV10,8,10,5,520
Golbat,LV10,8,11,4,520
Golbat,LV10,8,12,3,520
Golbat,LV10,9,0,15,520
Golbat,LV10,9,1,14,520
Golbat,LV10,9,3,11,520
Golbat,LV10,9,4,10,520
Golbat,LV10,9,5,9,520
Golbat,LV10,9,8,5,520
Golbat,LV10,9,9,4,520
Golbat,LV10,9,10,3,520
Golbat,LV10,9,11,2,520
Golbat,LV10,10,0,13,520
Golbat,LV10,10,2,10,520
Golbat,LV10,10,3,9,520
Golbat,LV10,10,4,8,520
Golbat,LV10,10,7,4,520
Golbat,LV10,10,8,3,520
Golbat,LV10,10,9,2,520
Golbat,LV10,10,10,1,520
Golbat,LV10,11,1,9,520
Golbat,LV10,11,2,8,520
Golbat,LV10,11,3,7,520
Golbat,LV10,11,6,3,520
Golbat,LV10,11,7,2,520
Golbat,LV10,11,8,1,520
Golbat,LV10,11,9,0,520
Golbat,LV9.5,11,14,14,520
Golbat,LV9.5,11,15,13,520
Golbat,LV10,12,1,7,520
Golbat,LV10,12,2,6,520
Golbat,LV10,12,3,5,520
Golbat,LV10,12,5,2,520
Golbat,LV10,12,6,1,520
Golbat,LV10,12,7,0,520
Golbat,LV9.5,12,13,13,520
Golbat,LV9.5,12,14,12,520
Golbat,LV9.5,12,15,11,520
Golbat,LV10,13,0,6,520
Golbat,LV10,13,1,5,520
Golbat,LV10,13,2,4,520
Golbat,LV10,13,5,0,520
Golbat,LV9.5,13,10,15,520
Golbat,LV9.5,13,12,12,520
Golbat,LV9.5,13,13,11,520
Golbat,LV9.5,13,14,10,520
Golbat,LV9.5,13,15,9,520
Golbat,LV10,14,0,4,520
Golbat,LV10,14,1,3,520
Golbat,LV9.5,14,8,15,520
Golbat,LV9.5,14,11,11,520
Golbat,LV9.5,14,12,10,520
Golbat,LV9.5,14,13,9,520
Golbat,LV9.5,14,14,8,520
Golbat,LV10,15,0,2,520
Golbat,LV10,15,1,1,520
Golbat,LV9.5,15,6,15,520
Golbat,LV9.5,15,7,14,520
Golbat,LV9.5,15,8,13,520
Golbat,LV9.5,15,10,10,520
Golbat,LV9.5,15,11,9,520
Golbat,LV9.5,15,12,8,520
Golbat,LV9.5,15,13,7,520
