Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gossifleur,LV44.5,0,0,2,520
Gossifleur,LV43.5,0,0,5,520
Gossifleur,LV42.5,0,0,8,520
Gossifleur,LV41.5,0,0,11,520
Gossifleur,LV41,0,0,13,520
Gossifleur,LV44,0,1,2,520
Gossifleur,LV43,0,1,5,520
Gossifleur,LV42.5,0,1,7,520
Gossifleur,LV41.5,0,1,10,520
Gossifleur,LV40,0,1,15,520
Gossifleur,LV44,0,2,1,520
Gossifleur,LV43,0,2,4,520
Gossifleur,LV42,0,2,7,520
Gossifleur,LV41.5,0,2,9,520
Gossifleur,LV40.5,0,2,12,520
Gossifleur,LV44,0,3,0,520
Gossifleur,LV43,0,3,3,520
Gossifleur,LV42,0,3,6,520
Gossifleur,LV41,0,3,9,520
Gossifleur,LV40.5,0,3,11,520
Gossifleur,LV43.5,0,4,0,520
Gossifleur,LV42,0,4,5,520
Gossifleur,LV41,0,4,8,520
Gossifleur,LV40,0,4,11,520
Gossifleur,LV39.5,0,4,13,520
Gossifleur,LV39,0,4,15,520
Gossifleur,LV42.5,0,5,2,520
Gossifleur,LV41.5,0,5,5,520
Gossifleur,LV41,0,5,7,520
Gossifleur,LV40,0,5,10,520
Gossifleur,LV39.5,0,5,12,520
Gossifleur,LV39,0,5,14,520
Gossifleur,LV42.5,0,6,1,520
Gossifleur,LV41.5,0,6,4,520
Gossifleur,LV40.5,0,6,7,520
Gossifleur,LV40,0,6,9,520
Gossifleur,LV42.5,0,7,0,520
Gossifleur,LV41.5,0,7,3,520
Gossifleur,LV40.5,0,7,6,520
Gossifleur,LV41.5,0,8,2,520
Gossifleur,LV40.5,0,8,5,520
Gossifleur,LV39,0,8,10,520
Gossifleur,LV38.5,0,8,12,520
Gossifleur,LV38,0,8,14,520
Gossifleur,LV41.5,0,9,1,520
Gossifleur,LV40.5,0,9,4,520
Gossifleur,LV39.5,0,9,7,520
Gossifleur,LV39,0,9,9,520
Gossifleur,LV38.5,0,9,11,520
Gossifleur,LV38,0,9,13,520
Gossifleur,LV37.5,0,9,15,520
Gossifleur,LV41,0,10,1,520
Gossifleur,LV40.5,0,10,3,520
Gossifleur,LV39.5,0,10,6,520
Gossifleur,LV39,0,10,8,520
Gossifleur,LV38.5,0,10,10,520
Gossifleur,LV38,0,10,12,520
Gossifleur,LV41,0,11,0,520
Gossifleur,LV39.5,0,11,5,520
Gossifleur,LV39,0,11,7,520
Gossifleur,LV40,0,12,2,520
Gossifleur,LV39.5,0,12,4,520
Gossifleur,LV40,0,13,1,520
Gossifleur,LV39.5,0,13,3,520
Gossifleur,LV37,0,13,12,520
Gossifleur,LV36.5,0,13,14,520
Gossifleur,LV40,0,14,0,520
Gossifleur,LV39.5,0,14,2,520
Gossifleur,LV37.5,0,14,9,520
Gossifleur,LV37,0,14,11,520
Gossifleur,LV36.5,0,14,13,520
Gossifleur,LV36,0,14,15,520
Gossifleur,LV39.5,0,15,1,520
Gossifleur,LV38,0,15,6,520
Gossifleur,LV37.5,0,15,8,520
Gossifleur,LV37,0,15,10,520
Gossifleur,LV36.5,0,15,12,520
Gossifleur,LV36,0,15,14,520
Gossifleur,LV44,1,0,0,520
Gossifleur,LV43,1,0,3,520
Gossifleur,LV42,1,0,6,520
Gossifleur,LV41,1,0,9,520
Gossifleur,LV40.5,1,0,11,520
Gossifleur,LV43.5,1,1,0,520
Gossifleur,LV42.5,1,1,3,520
Gossifleur,LV42,1,1,5,520
Gossifleur,LV41,1,1,8,520
Gossifleur,LV40,1,1,11,520
Gossifleur,LV39.5,1,1,13,520
Gossifleur,LV39,1,1,15,520
Gossifleur,LV42.5,1,2,2,520
Gossifleur,LV41.5,1,2,5,520
Gossifleur,LV40,1,2,10,520
Gossifleur,LV39.5,1,2,12,520
Gossifleur,LV39,1,2,14,520
Gossifleur,LV42.5,1,3,1,520
Gossifleur,LV41.5,1,3,4,520
Gossifleur,LV40.5,1,3,7,520
Gossifleur,LV40,1,3,9,520
Gossifleur,LV42.5,1,4,0,520
Gossifleur,LV41.5,1,4,3,520
Gossifleur,LV40.5,1,4,6,520
Gossifleur,LV38.5,1,4,13,520
Gossifleur,LV38,1,4,15,520
Gossifleur,LV42,1,5,0,520
Gossifleur,LV40.5,1,5,5,520
Gossifleur,LV39.5,1,5,8,520
Gossifleur,LV39,1,5,10,520
Gossifleur,LV38.5,1,5,12,520
Gossifleur,LV38,1,5,14,520
Gossifleur,LV41,1,6,2,520
Gossifleur,LV39.5,1,6,7,520
Gossifleur,LV39,1,6,9,520
Gossifleur,LV38.5,1,6,11,520
Gossifleur,LV41,1,7,1,520
Gossifleur,LV40,1,7,4,520
Gossifleur,LV39.5,1,7,6,520
Gossifleur,LV41,1,8,0,520
Gossifleur,LV40,1,8,3,520
Gossifleur,LV39.5,1,8,5,520
Gossifleur,LV40,1,9,2,520
Gossifleur,LV38,1,9,9,520
Gossifleur,LV37.5,1,9,11,520
Gossifleur,LV37,1,9,13,520
Gossifleur,LV36.5,1,9,15,520
Gossifleur,LV40,1,10,1,520
Gossifleur,LV38.5,1,10,6,520
Gossifleur,LV38,1,10,8,520
Gossifleur,LV37.5,1,10,10,520
Gossifleur,LV37,1,10,12,520
Gossifleur,LV36.5,1,10,14,520
Gossifleur,LV40,1,11,0,520
Gossifleur,LV38.5,1,11,5,520
Gossifleur,LV38,1,11,7,520
Gossifleur,LV37.5,1,11,9,520
Gossifleur,LV37,1,11,11,520
Gossifleur,LV36,1,11,15,520
Gossifleur,LV39,1,12,2,520
Gossifleur,LV38.5,1,12,4,520
Gossifleur,LV38,1,12,6,520
Gossifleur,LV39,1,13,1,520
Gossifleur,LV38.5,1,13,3,520
Gossifleur,LV38,1,13,5,520
Gossifleur,LV39,1,14,0,520
Gossifleur,LV38.5,1,14,2,520
Gossifleur,LV38.5,1,15,1,520
Gossifleur,LV36,1,15,10,520
Gossifleur,LV35.5,1,15,12,520
Gossifleur,LV42.5,2,0,1,520
Gossifleur,LV41.5,2,0,4,520
Gossifleur,LV40.5,2,0,7,520
Gossifleur,LV40,2,0,9,520
Gossifleur,LV42.5,2,1,0,520
Gossifleur,LV41.5,2,1,3,520
Gossifleur,LV40.5,2,1,6,520
Gossifleur,LV38.5,2,1,13,520
Gossifleur,LV38,2,1,15,520
Gossifleur,LV42,2,2,0,520
Gossifleur,LV40.5,2,2,5,520
Gossifleur,LV39.5,2,2,8,520
Gossifleur,LV39,2,2,10,520
Gossifleur,LV38.5,2,2,12,520
Gossifleur,LV38,2,2,14,520
Gossifleur,LV41,2,3,2,520
Gossifleur,LV40,2,3,5,520
Gossifleur,LV39.5,2,3,7,520
Gossifleur,LV39,2,3,9,520
Gossifleur,LV41,2,4,1,520
Gossifleur,LV40,2,4,4,520
Gossifleur,LV39.5,2,4,6,520
Gossifleur,LV41,2,5,0,520
Gossifleur,LV40,2,5,3,520
Gossifleur,LV38,2,5,10,520
Gossifleur,LV37.5,2,5,12,520
Gossifleur,LV37,2,5,14,520
Gossifleur,LV40,2,6,2,520
Gossifleur,LV38.5,2,6,7,520
Gossifleur,LV38,2,6,9,520
Gossifleur,LV37.5,2,6,11,520
Gossifleur,LV37,2,6,13,520
Gossifleur,LV36.5,2,6,15,520
Gossifleur,LV39,2,7,4,520
Gossifleur,LV38.5,2,7,6,520
Gossifleur,LV38,2,7,8,520
Gossifleur,LV37.5,2,7,10,520
Gossifleur,LV39,2,8,3,520
Gossifleur,LV38.5,2,8,5,520
Gossifleur,LV39,2,9,2,520
Gossifleur,LV38.5,2,9,4,520
Gossifleur,LV39,2,10,1,520
Gossifleur,LV36.5,2,10,10,520
Gossifleur,LV36,2,10,12,520
Gossifleur,LV35.5,2,10,14,520
Gossifleur,LV39,2,11,0,520
Gossifleur,LV37,2,11,7,520
Gossifleur,LV36.5,2,11,9,520
Gossifleur,LV36,2,11,11,520
Gossifleur,LV35.5,2,11,13,520
Gossifleur,LV35,2,11,15,520
Gossifleur,LV37.5,2,12,4,520
Gossifleur,LV37,2,12,6,520
Gossifleur,LV36.5,2,12,8,520
Gossifleur,LV36,2,12,10,520
Gossifleur,LV35.5,2,12,12,520
Gossifleur,LV35,2,12,14,520
Gossifleur,LV37.5,2,13,3,520
Gossifleur,LV37,2,13,5,520
Gossifleur,LV36.5,2,13,7,520
Gossifleur,LV36,2,13,9,520
Gossifleur,LV35.5,2,13,11,520
Gossifleur,LV35,2,13,13,520
Gossifleur,LV34.5,2,13,15,520
Gossifleur,LV37.5,2,14,2,520
Gossifleur,LV37,2,14,4,520
Gossifleur,LV36.5,2,14,6,520
Gossifleur,LV37.5,2,15,1,520
Gossifleur,LV37,2,15,3,520
Gossifleur,LV41,3,0,2,520
Gossifleur,LV39.5,3,0,7,520
Gossifleur,LV39,3,0,9,520
Gossifleur,LV38.5,3,0,11,520
Gossifleur,LV38,3,0,13,520
Gossifleur,LV37.5,3,0,15,520
Gossifleur,LV41,3,1,1,520
Gossifleur,LV40,3,1,4,520
Gossifleur,LV39.5,3,1,6,520
Gossifleur,LV41,3,2,0,520
Gossifleur,LV40,3,2,3,520
Gossifleur,LV37.5,3,2,12,520
Gossifleur,LV37,3,2,14,520
Gossifleur,LV40,3,3,2,520
Gossifleur,LV38.5,3,3,7,520
Gossifleur,LV38,3,3,9,520
Gossifleur,LV37.5,3,3,11,520
Gossifleur,LV37,3,3,13,520
Gossifleur,LV36.5,3,3,15,520
Gossifleur,LV39,3,4,4,520
Gossifleur,LV38.5,3,4,6,520
Gossifleur,LV38,3,4,8,520
Gossifleur,LV37.5,3,4,10,520
Gossifleur,LV39,3,5,3,520
Gossifleur,LV38.5,3,5,5,520
Gossifleur,LV39.5,3,6,0,520
Gossifleur,LV39,3,6,2,520
Gossifleur,LV39,3,7,1,520
Gossifleur,LV37,3,7,8,520
Gossifleur,LV36.5,3,7,10,520
Gossifleur,LV36,3,7,12,520
Gossifleur,LV35.5,3,7,14,520
Gossifleur,LV37.5,3,8,5,520
Gossifleur,LV37,3,8,7,520
Gossifleur,LV36.5,3,8,9,520
Gossifleur,LV36,3,8,11,520
Gossifleur,LV35.5,3,8,13,520
Gossifleur,LV35,3,8,15,520
Gossifleur,LV38,3,9,2,520
Gossifleur,LV37.5,3,9,4,520
Gossifleur,LV37,3,9,6,520
Gossifleur,LV36.5,3,9,8,520
Gossifleur,LV35,3,9,14,520
Gossifleur,LV38,3,10,1,520
Gossifleur,LV37.5,3,10,3,520
Gossifleur,LV37,3,10,5,520
Gossifleur,LV38,3,11,0,520
Gossifleur,LV37.5,3,11,2,520
Gossifleur,LV37.5,3,12,1,520
Gossifleur,LV37.5,3,13,0,520
Gossifleur,LV35.5,3,13,7,520
Gossifleur,LV35,3,13,9,520
Gossifleur,LV34.5,3,13,11,520
Gossifleur,LV34,3,13,13,520
Gossifleur,LV36,3,14,4,520
Gossifleur,LV35.5,3,14,6,520
Gossifleur,LV35,3,14,8,520
Gossifleur,LV34.5,3,14,10,520
Gossifleur,LV34,3,14,12,520
Gossifleur,LV33.5,3,14,14,520
Gossifleur,LV36,3,15,3,520
Gossifleur,LV35.5,3,15,5,520
Gossifleur,LV35,3,15,7,520
Gossifleur,LV34.5,3,15,9,520
Gossifleur,LV34,3,15,11,520
Gossifleur,LV33.5,3,15,13,520
Gossifleur,LV33,3,15,15,520
Gossifleur,LV40,4,0,2,520
Gossifleur,LV38,4,0,9,520
Gossifleur,LV37.5,4,0,11,520
Gossifleur,LV37,4,0,13,520
Gossifleur,LV36.5,4,0,15,520
Gossifleur,LV40,4,1,1,520
Gossifleur,LV38.5,4,1,6,520
Gossifleur,LV38,4,1,8,520
Gossifleur,LV37.5,4,1,10,520
Gossifleur,LV37,4,1,12,520
Gossifleur,LV36.5,4,1,14,520
Gossifleur,LV39,4,2,3,520
Gossifleur,LV38.5,4,2,5,520
Gossifleur,LV38,4,2,7,520
Gossifleur,LV39,4,3,2,520
Gossifleur,LV38.5,4,3,4,520
Gossifleur,LV39,4,4,1,520
Gossifleur,LV37,4,4,8,520
Gossifleur,LV36.5,4,4,10,520
Gossifleur,LV36,4,4,12,520
Gossifleur,LV35.5,4,4,14,520
Gossifleur,LV37.5,4,5,5,520
Gossifleur,LV37,4,5,7,520
Gossifleur,LV36.5,4,5,9,520
Gossifleur,LV36,4,5,11,520
Gossifleur,LV35.5,4,5,13,520
Gossifleur,LV35,4,5,15,520
Gossifleur,LV38,4,6,2,520
Gossifleur,LV37.5,4,6,4,520
Gossifleur,LV37,4,6,6,520
Gossifleur,LV38,4,7,1,520
Gossifleur,LV37.5,4,7,3,520
Gossifleur,LV38,4,8,0,520
Gossifleur,LV37.5,4,8,2,520
Gossifleur,LV35.5,4,9,8,520
Gossifleur,LV35,4,9,10,520
Gossifleur,LV34.5,4,9,12,520
Gossifleur,LV34,4,9,14,520
Gossifleur,LV36,4,10,5,520
Gossifleur,LV35.5,4,10,7,520
Gossifleur,LV35,4,10,9,520
Gossifleur,LV34.5,4,10,11,520
Gossifleur,LV34,4,10,13,520
Gossifleur,LV33.5,4,10,15,520
Gossifleur,LV36.5,4,11,2,520
Gossifleur,LV36,4,11,4,520
Gossifleur,LV35.5,4,11,6,520
Gossifleur,LV35,4,11,8,520
Gossifleur,LV34.5,4,11,10,520
Gossifleur,LV34,4,11,12,520
Gossifleur,LV33.5,4,11,14,520
Gossifleur,LV36.5,4,12,1,520
Gossifleur,LV36,4,12,3,520
Gossifleur,LV35.5,4,12,5,520
Gossifleur,LV35,4,12,7,520
Gossifleur,LV34.5,4,12,9,520
Gossifleur,LV34,4,12,11,520
Gossifleur,LV33.5,4,12,13,520
Gossifleur,LV33,4,12,15,520
Gossifleur,LV36.5,4,13,0,520
Gossifleur,LV36,4,13,2,520
