Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gothorita,LV13,0,5,15,520
Gothorita,LV13.5,1,0,5,520
Gothorita,LV13.5,1,1,4,520
Gothorita,LV13.5,1,2,3,520
Gothorita,LV13.5,1,3,2,520
Gothorita,LV13.5,1,4,1,520
Gothorita,LV13,1,4,13,520
Gothorita,LV13.5,1,5,0,520
Gothorita,LV13,1,5,12,520
Gothorita,LV13,1,6,11,520
Gothorita,LV13,1,7,10,520
Gothorita,LV13,1,8,9,520
Gothorita,LV13,1,9,8,520
Gothorita,LV13,1,10,7,520
Gothorita,LV13,1,11,6,520
Gothorita,LV13,1,12,5,520
Gothorita,LV13,1,13,4,520
Gothorita,LV13,1,14,3,520
Gothorita,LV13,1,15,2,520
Gothorita,LV12.5,1,15,15,520
Gothorita,LV13.5,2,0,3,520
Gothorita,LV13,2,0,15,520
Gothorita,LV13.5,2,1,2,520
Gothorita,LV13,2,1,14,520
Gothorita,LV13.5,2,2,1,520
Gothorita,LV13,2,2,13,520
Gothorita,LV13.5,2,3,0,520
Gothorita,LV13,2,3,12,520
Gothorita,LV13,2,4,11,520
Gothorita,LV13,2,5,10,520
Gothorita,LV13,2,6,9,520
Gothorita,LV13,2,7,8,520
Gothorita,LV13,2,8,7,520
Gothorita,LV13,2,9,6,520
Gothorita,LV13,2,10,5,520
Gothorita,LV13,2,11,4,520
Gothorita,LV13,2,12,3,520
Gothorita,LV13,2,13,2,520
Gothorita,LV12.5,2,13,15,520
Gothorita,LV13,2,14,1,520
Gothorita,LV12.5,2,14,14,520
Gothorita,LV13,2,15,0,520
Gothorita,LV12.5,2,15,13,520
Gothorita,LV13,3,0,13,520
Gothorita,LV13,3,1,12,520
Gothorita,LV12.5,3,12,13,520
Gothorita,LV12.5,3,13,12,520
Gothorita,LV12.5,3,14,11,520
Gothorita,LV12.5,3,15,10,520
Gothorita,LV13,4,2,8,520
Gothorita,LV13,4,3,7,520
Gothorita,LV13,4,4,6,520
Gothorita,LV13,4,5,5,520
Gothorita,LV13,4,6,4,520
Gothorita,LV13,4,7,3,520
Gothorita,LV13,4,8,2,520
Gothorita,LV12.5,4,8,15,520
Gothorita,LV13,4,9,1,520
Gothorita,LV12.5,4,9,14,520
Gothorita,LV13,4,10,0,520
Gothorita,LV12.5,4,10,13,520
Gothorita,LV12.5,4,11,12,520
Gothorita,LV12.5,4,12,11,520
Gothorita,LV12.5,4,13,10,520
Gothorita,LV12.5,4,14,9,520
Gothorita,LV12.5,4,15,8,520
Gothorita,LV13,5,0,8,520
Gothorita,LV13,5,1,7,520
Gothorita,LV13,5,2,6,520
Gothorita,LV13,5,3,5,520
Gothorita,LV13,5,4,4,520
Gothorita,LV13,5,5,3,520
Gothorita,LV13,5,6,2,520
Gothorita,LV12.5,5,6,15,520
Gothorita,LV13,5,7,1,520
Gothorita,LV12.5,5,7,14,520
Gothorita,LV13,5,8,0,520
Gothorita,LV13,6,0,6,520
Gothorita,LV13,6,1,5,520
Gothorita,LV13,6,2,4,520
Gothorita,LV13,6,3,3,520
Gothorita,LV13,6,4,2,520
Gothorita,LV13,6,5,1,520
Gothorita,LV13,6,6,0,520
Gothorita,LV12.5,6,9,9,520
Gothorita,LV12.5,6,10,8,520
Gothorita,LV12.5,6,11,7,520
Gothorita,LV12.5,7,3,13,520
Gothorita,LV12.5,7,4,12,520
Gothorita,LV12.5,7,5,11,520
Gothorita,LV12.5,7,6,10,520
Gothorita,LV12.5,7,7,9,520
Gothorita,LV12.5,7,8,8,520
Gothorita,LV12.5,7,9,7,520
Gothorita,LV12.5,7,10,6,520
Gothorita,LV12.5,7,11,5,520
Gothorita,LV12.5,7,12,4,520
Gothorita,LV12.5,7,13,3,520
Gothorita,LV12.5,7,14,2,520
Gothorita,LV12.5,7,15,1,520
Gothorita,LV12.5,8,0,14,520
Gothorita,LV12.5,8,1,13,520
Gothorita,LV12.5,8,2,12,520
Gothorita,LV12.5,8,3,11,520
Gothorita,LV12.5,8,4,10,520
Gothorita,LV12.5,8,5,9,520
Gothorita,LV12.5,8,6,8,520
Gothorita,LV12.5,8,7,7,520
Gothorita,LV12.5,8,8,6,520
