Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gourgeist Large Size,LV8.5,0,0,1,520
Gourgeist Large Size,LV8.5,0,1,0,520
Gourgeist Large Size,LV8,0,12,15,520
Gourgeist Large Size,LV8,0,13,14,520
Gourgeist Large Size,LV8,0,14,13,520
Gourgeist Large Size,LV8,0,15,12,520
Gourgeist Large Size,LV8,1,9,15,520
Gourgeist Large Size,LV8,1,10,14,520
Gourgeist Large Size,LV8,1,11,13,520
Gourgeist Large Size,LV8,1,14,11,520
Gourgeist Large Size,LV8,1,15,10,520
Gourgeist Large Size,LV8,2,7,15,520
Gourgeist Large Size,LV8,2,8,14,520
Gourgeist Large Size,LV8,2,9,13,520
Gourgeist Large Size,LV8,2,10,12,520
Gourgeist Large Size,LV8,2,11,11,520
Gourgeist Large Size,LV8,2,12,10,520
Gourgeist Large Size,LV8,2,15,8,520
Gourgeist Large Size,LV8,3,7,13,520
Gourgeist Large Size,LV8,3,8,12,520
Gourgeist Large Size,LV8,3,9,11,520
Gourgeist Large Size,LV8,3,10,10,520
Gourgeist Large Size,LV8,3,11,9,520
Gourgeist Large Size,LV8,3,12,8,520
Gourgeist Large Size,LV8,3,15,6,520
Gourgeist Large Size,LV8,4,2,15,520
Gourgeist Large Size,LV8,4,3,14,520
Gourgeist Large Size,LV8,4,4,13,520
Gourgeist Large Size,LV8,4,8,10,520
Gourgeist Large Size,LV8,4,9,9,520
Gourgeist Large Size,LV8,4,10,8,520
Gourgeist Large Size,LV8,4,11,7,520
Gourgeist Large Size,LV8,4,12,6,520
Gourgeist Large Size,LV8,4,13,5,520
Gourgeist Large Size,LV8,5,0,15,520
Gourgeist Large Size,LV8,5,1,14,520
Gourgeist Large Size,LV8,5,2,13,520
Gourgeist Large Size,LV8,5,3,12,520
Gourgeist Large Size,LV8,5,4,11,520
Gourgeist Large Size,LV8,5,5,10,520
Gourgeist Large Size,LV8,5,9,7,520
Gourgeist Large Size,LV8,5,10,6,520
Gourgeist Large Size,LV8,5,11,5,520
Gourgeist Large Size,LV8,5,12,4,520
Gourgeist Large Size,LV8,5,13,3,520
Gourgeist Large Size,LV8,6,0,13,520
Gourgeist Large Size,LV8,6,1,12,520
Gourgeist Large Size,LV8,6,2,11,520
Gourgeist Large Size,LV8,6,3,10,520
Gourgeist Large Size,LV8,6,4,9,520
Gourgeist Large Size,LV8,6,5,8,520
Gourgeist Large Size,LV8,6,6,7,520
Gourgeist Large Size,LV8,6,9,5,520
Gourgeist Large Size,LV8,6,10,4,520
Gourgeist Large Size,LV8,6,11,3,520
Gourgeist Large Size,LV8,6,12,2,520
Gourgeist Large Size,LV8,6,13,1,520
Gourgeist Large Size,LV8,6,15,0,520
Gourgeist Large Size,LV8,7,0,11,520
Gourgeist Large Size,LV8,7,1,10,520
Gourgeist Large Size,LV8,7,2,9,520
Gourgeist Large Size,LV8,7,3,8,520
Gourgeist Large Size,LV8,7,4,7,520
Gourgeist Large Size,LV8,7,5,6,520
Gourgeist Large Size,LV8,7,6,5,520
Gourgeist Large Size,LV8,7,9,3,520
Gourgeist Large Size,LV8,7,10,2,520
Gourgeist Large Size,LV8,7,11,1,520
Gourgeist Large Size,LV8,7,12,0,520
Gourgeist Large Size,LV8,8,0,9,520
Gourgeist Large Size,LV8,8,1,8,520
Gourgeist Large Size,LV8,8,2,7,520
Gourgeist Large Size,LV8,8,3,6,520
Gourgeist Large Size,LV8,8,4,5,520
Gourgeist Large Size,LV8,8,5,4,520
Gourgeist Large Size,LV8,8,6,3,520
Gourgeist Large Size,LV8,8,9,1,520
Gourgeist Large Size,LV8,8,10,0,520
Gourgeist Large Size,LV8,9,0,7,520
Gourgeist Large Size,LV8,9,1,6,520
Gourgeist Large Size,LV8,9,2,5,520
Gourgeist Large Size,LV8,9,3,4,520
Gourgeist Large Size,LV8,9,4,3,520
Gourgeist Large Size,LV8,9,5,2,520
Gourgeist Large Size,LV8,9,8,0,520
Gourgeist Large Size,LV8,10,0,5,520
Gourgeist Large Size,LV8,10,1,4,520
Gourgeist Large Size,LV8,10,2,3,520
Gourgeist Large Size,LV8,10,3,2,520
Gourgeist Large Size,LV8,10,4,1,520
Gourgeist Large Size,LV8,10,5,0,520
Gourgeist Large Size,LV8,11,0,3,520
Gourgeist Large Size,LV8,11,1,2,520
Gourgeist Large Size,LV8,11,2,1,520
Gourgeist Large Size,LV8,11,3,0,520
Gourgeist Large Size,LV8,12,0,1,520
Gourgeist Large Size,LV8,12,1,0,520
Gourgeist Large Size,LV7.5,12,15,14,520
Gourgeist Large Size,LV7.5,13,11,15,520
Gourgeist Large Size,LV7.5,13,12,14,520
Gourgeist Large Size,LV7.5,13,15,12,520
Gourgeist Large Size,LV7.5,14,9,15,520
Gourgeist Large Size,LV7.5,14,10,14,520
Gourgeist Large Size,LV7.5,14,11,13,520
Gourgeist Large Size,LV7.5,14,12,12,520
Gourgeist Large Size,LV7.5,14,15,10,520
Gourgeist Large Size,LV7.5,15,7,15,520
Gourgeist Large Size,LV7.5,15,8,14,520
Gourgeist Large Size,LV7.5,15,9,13,520
Gourgeist Large Size,LV7.5,15,10,12,520
Gourgeist Large Size,LV7.5,15,11,11,520
Gourgeist Large Size,LV7.5,15,12,10,520
Gourgeist Large Size,LV7.5,15,15,8,520
