Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Greedent,LV9,0,0,6,520
Greedent,LV9,0,1,4,520
Greedent,LV9,0,2,3,520
Greedent,LV9,0,3,1,520
Greedent,LV8.5,0,15,14,520
Greedent,LV9,1,0,3,520
Greedent,LV9,1,1,1,520
Greedent,LV9,1,2,0,520
Greedent,LV8.5,1,13,14,520
Greedent,LV8.5,1,14,12,520
Greedent,LV8.5,1,15,11,520
Greedent,LV9,2,0,0,520
Greedent,LV8.5,2,11,14,520
Greedent,LV8.5,2,12,12,520
Greedent,LV8.5,2,13,11,520
Greedent,LV8.5,2,14,9,520
Greedent,LV8.5,2,15,7,520
Greedent,LV8.5,2,15,8,520
Greedent,LV8.5,3,8,15,520
Greedent,LV8.5,3,9,14,520
Greedent,LV8.5,3,10,12,520
Greedent,LV8.5,3,11,11,520
Greedent,LV8.5,3,12,9,520
Greedent,LV8.5,3,13,7,520
Greedent,LV8.5,3,14,6,520
Greedent,LV8.5,3,15,4,520
Greedent,LV8.5,4,6,15,520
Greedent,LV8.5,4,7,14,520
Greedent,LV8.5,4,8,12,520
Greedent,LV8.5,4,9,10,520
Greedent,LV8.5,4,9,11,520
Greedent,LV8.5,4,10,9,520
Greedent,LV8.5,4,11,7,520
Greedent,LV8.5,4,12,6,520
Greedent,LV8.5,4,13,4,520
Greedent,LV8.5,4,14,3,520
Greedent,LV8.5,4,15,1,520
Greedent,LV8.5,5,5,14,520
Greedent,LV8.5,5,6,12,520
Greedent,LV8.5,5,7,10,520
Greedent,LV8.5,5,7,11,520
Greedent,LV8.5,5,8,9,520
Greedent,LV8.5,5,9,7,520
Greedent,LV8.5,5,10,6,520
Greedent,LV8.5,5,11,4,520
Greedent,LV8.5,5,12,2,520
Greedent,LV8.5,5,13,1,520
Greedent,LV8.5,6,3,14,520
Greedent,LV8.5,6,4,12,520
Greedent,LV8.5,6,5,11,520
Greedent,LV8.5,6,6,9,520
Greedent,LV8.5,6,7,7,520
Greedent,LV8.5,6,8,6,520
Greedent,LV8.5,6,9,4,520
Greedent,LV8.5,6,10,2,520
Greedent,LV8.5,6,11,1,520
Greedent,LV8.5,7,1,14,520
Greedent,LV8.5,7,2,12,520
Greedent,LV8.5,7,3,11,520
Greedent,LV8.5,7,4,9,520
Greedent,LV8.5,7,5,7,520
Greedent,LV8.5,7,6,6,520
Greedent,LV8.5,7,7,4,520
Greedent,LV8.5,7,8,2,520
Greedent,LV8.5,7,9,1,520
Greedent,LV8.5,8,0,13,520
Greedent,LV8.5,8,1,11,520
Greedent,LV8.5,8,2,9,520
Greedent,LV8.5,8,3,7,520
Greedent,LV8.5,8,3,8,520
Greedent,LV8.5,8,4,6,520
Greedent,LV8.5,8,5,4,520
Greedent,LV8.5,8,6,3,520
Greedent,LV8.5,8,7,1,520
Greedent,LV8.5,9,0,9,520
Greedent,LV8.5,9,1,8,520
Greedent,LV8.5,9,2,6,520
Greedent,LV8.5,9,3,4,520
Greedent,LV8.5,9,4,3,520
Greedent,LV8.5,9,5,1,520
Greedent,LV8.5,10,0,6,520
Greedent,LV8.5,10,1,5,520
Greedent,LV8.5,10,2,3,520
Greedent,LV8.5,10,3,1,520
Greedent,LV8.5,10,4,0,520
Greedent,LV8.5,11,0,3,520
Greedent,LV8.5,11,1,1,520
Greedent,LV8.5,11,2,0,520
Greedent,LV8,11,14,15,520
Greedent,LV8,11,15,13,520
Greedent,LV8.5,12,0,0,520
Greedent,LV8,12,12,15,520
Greedent,LV8,12,13,13,520
Greedent,LV8,12,14,12,520
Greedent,LV8,12,15,10,520
Greedent,LV8,13,10,15,520
Greedent,LV8,13,11,13,520
Greedent,LV8,13,12,12,520
Greedent,LV8,13,13,10,520
Greedent,LV8,13,14,9,520
Greedent,LV8,13,15,7,520
Greedent,LV8,14,8,15,520
Greedent,LV8,14,9,14,520
Greedent,LV8,14,10,12,520
Greedent,LV8,14,11,10,520
Greedent,LV8,14,12,9,520
Greedent,LV8,14,13,7,520
Greedent,LV8,14,14,5,520
Greedent,LV8,14,14,6,520
Greedent,LV8,14,15,4,520
Greedent,LV8,15,6,15,520
Greedent,LV8,15,7,14,520
Greedent,LV8,15,8,12,520
Greedent,LV8,15,9,10,520
Greedent,LV8,15,10,9,520
Greedent,LV8,15,11,7,520
Greedent,LV8,15,12,6,520
Greedent,LV8,15,13,4,520
Greedent,LV8,15,14,2,520
Greedent,LV8,15,15,1,520
