Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Greninja,LV8,0,0,5,520
Greninja,LV8,0,3,1,520
Greninja,LV8,0,4,0,520
Greninja,LV7.5,0,13,15,520
Greninja,LV7.5,0,14,14,520
Greninja,LV7.5,0,15,13,520
Greninja,LV8,1,0,3,520
Greninja,LV8,1,1,2,520
Greninja,LV8,1,2,1,520
Greninja,LV8,1,3,0,520
Greninja,LV7.5,1,12,15,520
Greninja,LV7.5,1,15,11,520
Greninja,LV7.5,2,11,14,520
Greninja,LV7.5,2,12,13,520
Greninja,LV7.5,2,13,12,520
Greninja,LV7.5,2,14,11,520
Greninja,LV7.5,2,15,10,520
Greninja,LV8,3,0,0,520
Greninja,LV7.5,3,9,15,520
Greninja,LV7.5,3,10,14,520
Greninja,LV7.5,3,13,10,520
Greninja,LV7.5,3,14,9,520
Greninja,LV7.5,3,15,8,520
Greninja,LV7.5,4,9,13,520
Greninja,LV7.5,4,10,12,520
Greninja,LV7.5,4,11,11,520
Greninja,LV7.5,4,12,10,520
Greninja,LV7.5,5,6,15,520
Greninja,LV7.5,5,7,14,520
Greninja,LV7.5,5,8,13,520
Greninja,LV7.5,5,11,9,520
Greninja,LV7.5,5,12,8,520
Greninja,LV7.5,5,13,7,520
Greninja,LV7.5,5,14,6,520
Greninja,LV7.5,5,15,5,520
Greninja,LV7.5,6,5,15,520
Greninja,LV7.5,6,7,12,520
Greninja,LV7.5,6,8,11,520
Greninja,LV7.5,6,9,10,520
Greninja,LV7.5,6,10,9,520
Greninja,LV7.5,6,14,4,520
Greninja,LV7.5,6,15,3,520
Greninja,LV7.5,7,4,14,520
Greninja,LV7.5,7,5,13,520
Greninja,LV7.5,7,6,12,520
Greninja,LV7.5,7,9,8,520
Greninja,LV7.5,7,10,7,520
Greninja,LV7.5,7,11,6,520
Greninja,LV7.5,7,12,5,520
Greninja,LV7.5,7,13,4,520
Greninja,LV7.5,7,14,3,520
Greninja,LV7.5,7,15,2,520
Greninja,LV7.5,8,2,15,520
Greninja,LV7.5,8,3,14,520
Greninja,LV7.5,8,6,10,520
Greninja,LV7.5,8,7,9,520
Greninja,LV7.5,8,8,8,520
Greninja,LV7.5,8,9,7,520
Greninja,LV7.5,8,13,2,520
Greninja,LV7.5,8,14,1,520
Greninja,LV7.5,8,15,0,520
Greninja,LV7.5,9,3,12,520
Greninja,LV7.5,9,4,11,520
Greninja,LV7.5,9,5,10,520
Greninja,LV7.5,9,8,6,520
Greninja,LV7.5,9,9,5,520
Greninja,LV7.5,9,10,4,520
Greninja,LV7.5,9,11,3,520
Greninja,LV7.5,9,12,2,520
Greninja,LV7.5,9,13,1,520
Greninja,LV7.5,9,14,0,520
Greninja,LV7.5,10,0,14,520
Greninja,LV7.5,10,1,13,520
Greninja,LV7.5,10,2,12,520
Greninja,LV7.5,10,4,9,520
Greninja,LV7.5,10,5,8,520
Greninja,LV7.5,10,6,7,520
Greninja,LV7.5,10,7,6,520
Greninja,LV7.5,10,8,5,520
Greninja,LV7.5,10,12,0,520
Greninja,LV7.5,11,2,10,520
Greninja,LV7.5,11,3,9,520
Greninja,LV7.5,11,4,8,520
Greninja,LV7.5,11,7,4,520
Greninja,LV7.5,11,8,3,520
Greninja,LV7.5,11,9,2,520
Greninja,LV7.5,11,10,1,520
Greninja,LV7.5,11,11,0,520
Greninja,LV7.5,12,0,11,520
Greninja,LV7.5,12,1,10,520
Greninja,LV7.5,12,4,6,520
Greninja,LV7.5,12,5,5,520
Greninja,LV7.5,12,6,4,520
Greninja,LV7.5,12,7,3,520
Greninja,LV7.5,13,1,8,520
Greninja,LV7.5,13,2,7,520
Greninja,LV7.5,13,3,6,520
Greninja,LV7.5,13,4,5,520
Greninja,LV7.5,13,7,1,520
Greninja,LV7.5,13,8,0,520
Greninja,LV7.5,14,0,8,520
Greninja,LV7.5,14,1,7,520
Greninja,LV7.5,14,3,4,520
Greninja,LV7.5,14,4,3,520
Greninja,LV7.5,14,5,2,520
Greninja,LV7.5,14,6,1,520
Greninja,LV7.5,14,7,0,520
Greninja,LV7.5,15,0,6,520
Greninja,LV7.5,15,1,5,520
Greninja,LV7.5,15,2,4,520
Greninja,LV7.5,15,3,3,520
