Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Grimmsnarl,LV7.5,0,0,3,520
Grimmsnarl,LV7.5,0,1,2,520
Grimmsnarl,LV7.5,0,2,0,520
Grimmsnarl,LV7,0,14,15,520
Grimmsnarl,LV7,0,15,14,520
Grimmsnarl,LV7.5,1,0,1,520
Grimmsnarl,LV7.5,1,1,0,520
Grimmsnarl,LV7,1,14,13,520
Grimmsnarl,LV7,2,12,14,520
Grimmsnarl,LV7,2,14,11,520
Grimmsnarl,LV7,2,15,10,520
Grimmsnarl,LV7,3,10,15,520
Grimmsnarl,LV7,3,11,14,520
Grimmsnarl,LV7,3,12,12,520
Grimmsnarl,LV7,3,14,9,520
Grimmsnarl,LV7,3,15,8,520
Grimmsnarl,LV7,4,9,15,520
Grimmsnarl,LV7,4,10,13,520
Grimmsnarl,LV7,4,11,12,520
Grimmsnarl,LV7,4,12,10,520
Grimmsnarl,LV7,4,13,9,520
Grimmsnarl,LV7,4,14,7,520
Grimmsnarl,LV7,4,15,6,520
Grimmsnarl,LV7,5,8,14,520
Grimmsnarl,LV7,5,9,13,520
Grimmsnarl,LV7,5,10,11,520
Grimmsnarl,LV7,5,11,10,520
Grimmsnarl,LV7,5,12,8,520
Grimmsnarl,LV7,5,13,7,520
Grimmsnarl,LV7,5,14,5,520
Grimmsnarl,LV7,5,15,4,520
Grimmsnarl,LV7,6,6,15,520
Grimmsnarl,LV7,6,7,14,520
Grimmsnarl,LV7,6,8,12,520
Grimmsnarl,LV7,6,9,11,520
Grimmsnarl,LV7,6,10,9,520
Grimmsnarl,LV7,6,11,8,520
Grimmsnarl,LV7,6,12,6,520
Grimmsnarl,LV7,6,13,5,520
Grimmsnarl,LV7,6,14,3,520
Grimmsnarl,LV7,6,15,2,520
Grimmsnarl,LV7,7,5,15,520
Grimmsnarl,LV7,7,7,12,520
Grimmsnarl,LV7,7,8,10,520
Grimmsnarl,LV7,7,9,9,520
Grimmsnarl,LV7,7,10,7,520
Grimmsnarl,LV7,7,11,6,520
Grimmsnarl,LV7,7,12,4,520
Grimmsnarl,LV7,7,13,3,520
Grimmsnarl,LV7,7,15,0,520
Grimmsnarl,LV7,8,4,15,520
Grimmsnarl,LV7,8,5,13,520
Grimmsnarl,LV7,8,7,10,520
Grimmsnarl,LV7,8,8,8,520
Grimmsnarl,LV7,8,9,7,520
Grimmsnarl,LV7,8,10,5,520
Grimmsnarl,LV7,8,11,4,520
Grimmsnarl,LV7,8,13,1,520
Grimmsnarl,LV7,8,14,0,520
Grimmsnarl,LV7,9,3,14,520
Grimmsnarl,LV7,9,4,13,520
Grimmsnarl,LV7,9,5,11,520
Grimmsnarl,LV7,9,6,10,520
Grimmsnarl,LV7,9,7,8,520
Grimmsnarl,LV7,9,9,5,520
Grimmsnarl,LV7,9,11,2,520
Grimmsnarl,LV7,9,12,1,520
Grimmsnarl,LV7,10,2,14,520
Grimmsnarl,LV7,10,3,12,520
Grimmsnarl,LV7,10,4,11,520
Grimmsnarl,LV7,10,5,9,520
Grimmsnarl,LV7,10,6,8,520
Grimmsnarl,LV7,10,7,6,520
Grimmsnarl,LV7,10,8,5,520
Grimmsnarl,LV7,10,9,3,520
Grimmsnarl,LV7,10,10,2,520
Grimmsnarl,LV7,10,11,0,520
Grimmsnarl,LV7,11,0,15,520
Grimmsnarl,LV7,11,1,14,520
Grimmsnarl,LV7,11,2,12,520
Grimmsnarl,LV7,11,4,9,520
Grimmsnarl,LV7,11,5,7,520
Grimmsnarl,LV7,11,6,6,520
Grimmsnarl,LV7,11,7,4,520
Grimmsnarl,LV7,11,8,3,520
Grimmsnarl,LV7,11,9,1,520
Grimmsnarl,LV7,11,10,0,520
Grimmsnarl,LV7,12,1,12,520
Grimmsnarl,LV7,12,2,10,520
Grimmsnarl,LV7,12,3,9,520
Grimmsnarl,LV7,12,4,7,520
Grimmsnarl,LV7,12,6,4,520
Grimmsnarl,LV7,12,8,1,520
Grimmsnarl,LV7,13,1,10,520
Grimmsnarl,LV7,13,2,8,520
Grimmsnarl,LV7,13,3,7,520
Grimmsnarl,LV7,13,4,5,520
Grimmsnarl,LV7,13,5,4,520
Grimmsnarl,LV7,13,6,2,520
Grimmsnarl,LV7,13,7,1,520
Grimmsnarl,LV7,14,0,10,520
Grimmsnarl,LV7,14,1,8,520
Grimmsnarl,LV7,14,3,5,520
Grimmsnarl,LV7,14,4,3,520
Grimmsnarl,LV7,14,5,2,520
Grimmsnarl,LV7,14,6,0,520
Grimmsnarl,LV7,15,0,8,520
Grimmsnarl,LV7,15,1,6,520
Grimmsnarl,LV7,15,2,5,520
Grimmsnarl,LV7,15,3,3,520
Grimmsnarl,LV7,15,5,0,520
