Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Growlithe,LV18,0,1,5,520
Growlithe,LV17.5,0,1,14,520
Growlithe,LV17.5,0,2,12,520
Growlithe,LV18,0,3,2,520
Growlithe,LV17.5,0,4,9,520
Growlithe,LV17.5,0,5,7,520
Growlithe,LV17,0,6,15,520
Growlithe,LV17.5,0,7,4,520
Growlithe,LV17,0,7,13,520
Growlithe,LV17.5,0,9,1,520
Growlithe,LV17,0,9,10,520
Growlithe,LV17.5,0,10,0,520
Growlithe,LV17,0,11,7,520
Growlithe,LV16.5,0,12,15,520
Growlithe,LV17,0,13,4,520
Growlithe,LV17,0,14,3,520
Growlithe,LV16.5,0,14,12,520
Growlithe,LV17.5,1,0,13,520
Growlithe,LV18,1,1,3,520
Growlithe,LV18,1,2,1,520
Growlithe,LV17.5,1,2,10,520
Growlithe,LV18,1,3,0,520
Growlithe,LV17.5,1,3,8,520
Growlithe,LV17.5,1,5,5,520
Growlithe,LV17,1,5,14,520
Growlithe,LV17.5,1,7,2,520
Growlithe,LV17,1,7,11,520
Growlithe,LV17,1,8,9,520
Growlithe,LV17,1,9,8,520
Growlithe,LV17,1,10,6,520
Growlithe,LV17,1,11,5,520
Growlithe,LV16.5,1,11,14,520
Growlithe,LV17,1,13,2,520
Growlithe,LV16.5,1,13,11,520
Growlithe,LV16.5,1,15,8,520
Growlithe,LV18,2,0,2,520
Growlithe,LV17.5,2,0,11,520
Growlithe,LV17.5,2,1,9,520
Growlithe,LV17.5,2,3,6,520
Growlithe,LV17,2,3,15,520
Growlithe,LV17.5,2,5,3,520
Growlithe,LV17,2,5,12,520
Growlithe,LV17,2,6,10,520
Growlithe,LV17.5,2,7,0,520
Growlithe,LV17,2,8,7,520
Growlithe,LV16.5,2,9,15,520
Growlithe,LV17,2,10,4,520
Growlithe,LV16.5,2,10,13,520
Growlithe,LV16.5,2,11,12,520
Growlithe,LV17,2,12,1,520
Growlithe,LV16.5,2,12,10,520
Growlithe,LV17,2,13,0,520
Growlithe,LV16.5,2,13,9,520
Growlithe,LV16.5,2,15,6,520
Growlithe,LV18,3,0,0,520
Growlithe,LV17.5,3,1,7,520
Growlithe,LV17.5,3,3,4,520
Growlithe,LV17,3,3,13,520
Growlithe,LV17.5,3,4,2,520
Growlithe,LV17,3,4,11,520
Growlithe,LV17,3,6,8,520
Growlithe,LV17,3,8,5,520
Growlithe,LV16.5,3,8,14,520
Growlithe,LV17,3,10,2,520
Growlithe,LV16.5,3,10,11,520
Growlithe,LV16.5,3,12,8,520
Growlithe,LV16.5,3,14,5,520
Growlithe,LV16,3,14,15,520
