Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gyarados Mega Gyarados,LV4.5,0,0,14,520
Gyarados Mega Gyarados,LV4.5,0,1,13,520
Gyarados Mega Gyarados,LV4.5,0,2,12,520
Gyarados Mega Gyarados,LV4.5,0,3,11,520
Gyarados Mega Gyarados,LV4.5,0,4,10,520
Gyarados Mega Gyarados,LV4.5,0,5,9,520
Gyarados Mega Gyarados,LV4.5,0,6,8,520
Gyarados Mega Gyarados,LV4.5,0,8,7,520
Gyarados Mega Gyarados,LV4.5,0,9,6,520
Gyarados Mega Gyarados,LV4.5,0,10,5,520
Gyarados Mega Gyarados,LV4.5,0,11,4,520
Gyarados Mega Gyarados,LV4.5,0,12,3,520
Gyarados Mega Gyarados,LV4.5,0,13,2,520
Gyarados Mega Gyarados,LV4.5,0,15,1,520
Gyarados Mega Gyarados,LV4.5,1,0,12,520
Gyarados Mega Gyarados,LV4.5,1,1,11,520
Gyarados Mega Gyarados,LV4.5,1,2,10,520
Gyarados Mega Gyarados,LV4.5,1,4,9,520
Gyarados Mega Gyarados,LV4.5,1,5,8,520
Gyarados Mega Gyarados,LV4.5,1,6,7,520
Gyarados Mega Gyarados,LV4.5,1,7,6,520
Gyarados Mega Gyarados,LV4.5,1,8,5,520
Gyarados Mega Gyarados,LV4.5,1,9,4,520
Gyarados Mega Gyarados,LV4.5,1,10,3,520
Gyarados Mega Gyarados,LV4.5,1,12,2,520
Gyarados Mega Gyarados,LV4.5,1,13,1,520
Gyarados Mega Gyarados,LV4.5,1,14,0,520
Gyarados Mega Gyarados,LV4.5,2,0,11,520
Gyarados Mega Gyarados,LV4.5,2,1,10,520
Gyarados Mega Gyarados,LV4.5,2,2,9,520
Gyarados Mega Gyarados,LV4.5,2,3,8,520
Gyarados Mega Gyarados,LV4.5,2,4,7,520
Gyarados Mega Gyarados,LV4.5,2,5,6,520
Gyarados Mega Gyarados,LV4.5,2,6,5,520
Gyarados Mega Gyarados,LV4.5,2,9,3,520
Gyarados Mega Gyarados,LV4.5,2,10,2,520
Gyarados Mega Gyarados,LV4.5,2,11,1,520
Gyarados Mega Gyarados,LV4.5,2,12,0,520
Gyarados Mega Gyarados,LV4.5,3,0,9,520
Gyarados Mega Gyarados,LV4.5,3,1,8,520
Gyarados Mega Gyarados,LV4.5,3,2,7,520
Gyarados Mega Gyarados,LV4.5,3,5,5,520
Gyarados Mega Gyarados,LV4.5,3,6,4,520
Gyarados Mega Gyarados,LV4.5,3,7,3,520
Gyarados Mega Gyarados,LV4.5,3,8,2,520
Gyarados Mega Gyarados,LV4.5,3,9,1,520
Gyarados Mega Gyarados,LV4.5,3,10,0,520
Gyarados Mega Gyarados,LV4.5,4,0,8,520
Gyarados Mega Gyarados,LV4.5,4,1,7,520
Gyarados Mega Gyarados,LV4.5,4,2,6,520
Gyarados Mega Gyarados,LV4.5,4,3,5,520
Gyarados Mega Gyarados,LV4.5,4,4,4,520
Gyarados Mega Gyarados,LV4.5,4,5,3,520
Gyarados Mega Gyarados,LV4.5,4,6,2,520
Gyarados Mega Gyarados,LV4.5,4,8,1,520
Gyarados Mega Gyarados,LV4.5,4,9,0,520
Gyarados Mega Gyarados,LV4.5,5,0,6,520
Gyarados Mega Gyarados,LV4.5,5,1,5,520
Gyarados Mega Gyarados,LV4.5,5,2,4,520
Gyarados Mega Gyarados,LV4.5,5,4,3,520
Gyarados Mega Gyarados,LV4.5,5,5,2,520
Gyarados Mega Gyarados,LV4.5,5,6,1,520
Gyarados Mega Gyarados,LV4.5,5,7,0,520
Gyarados Mega Gyarados,LV4.5,6,0,5,520
Gyarados Mega Gyarados,LV4.5,6,1,4,520
Gyarados Mega Gyarados,LV4.5,6,2,3,520
Gyarados Mega Gyarados,LV4.5,6,3,2,520
Gyarados Mega Gyarados,LV4.5,6,4,1,520
Gyarados Mega Gyarados,LV4.5,6,5,0,520
Gyarados Mega Gyarados,LV4.5,7,0,3,520
Gyarados Mega Gyarados,LV4.5,7,1,2,520
Gyarados Mega Gyarados,LV4.5,7,2,1,520
Gyarados Mega Gyarados,LV4.5,7,4,0,520
Gyarados Mega Gyarados,LV4.5,8,0,2,520
Gyarados Mega Gyarados,LV4.5,8,1,1,520
Gyarados Mega Gyarados,LV4.5,8,2,0,520
Gyarados Mega Gyarados,LV4.5,9,0,0,520
