Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Gyarados,LV6,0,11,14,520
Gyarados,LV6,0,12,13,520
Gyarados,LV6,0,13,12,520
Gyarados,LV6,0,14,11,520
Gyarados,LV6,0,15,10,520
Gyarados,LV6,1,9,15,520
Gyarados,LV6,1,10,14,520
Gyarados,LV6,1,11,12,520
Gyarados,LV6,1,12,11,520
Gyarados,LV6,1,13,10,520
Gyarados,LV6,1,14,9,520
Gyarados,LV6,1,15,8,520
Gyarados,LV6,2,7,15,520
Gyarados,LV6,2,8,14,520
Gyarados,LV6,2,9,13,520
Gyarados,LV6,2,10,12,520
Gyarados,LV6,2,12,9,520
Gyarados,LV6,2,13,8,520
Gyarados,LV6,2,14,7,520
Gyarados,LV6,2,15,6,520
Gyarados,LV6,3,7,13,520
Gyarados,LV6,3,8,12,520
Gyarados,LV6,3,9,11,520
Gyarados,LV6,3,10,10,520
Gyarados,LV6,3,11,9,520
Gyarados,LV6,3,13,6,520
Gyarados,LV6,3,14,5,520
Gyarados,LV6,3,15,4,520
Gyarados,LV6,4,4,15,520
Gyarados,LV6,4,5,14,520
Gyarados,LV6,4,6,13,520
Gyarados,LV6,4,7,11,520
Gyarados,LV6,4,8,10,520
Gyarados,LV6,4,9,9,520
Gyarados,LV6,4,10,8,520
Gyarados,LV6,4,11,7,520
Gyarados,LV6,4,12,6,520
Gyarados,LV6,4,15,2,520
Gyarados,LV6,5,3,14,520
Gyarados,LV6,5,4,13,520
Gyarados,LV6,5,5,12,520
Gyarados,LV6,5,6,11,520
Gyarados,LV6,5,8,8,520
Gyarados,LV6,5,9,7,520
Gyarados,LV6,5,10,6,520
Gyarados,LV6,5,11,5,520
Gyarados,LV6,5,12,4,520
Gyarados,LV6,5,13,3,520
Gyarados,LV6,5,14,2,520
Gyarados,LV6,6,1,15,520
Gyarados,LV6,6,2,14,520
Gyarados,LV6,6,3,12,520
Gyarados,LV6,6,4,11,520
Gyarados,LV6,6,5,10,520
Gyarados,LV6,6,6,9,520
Gyarados,LV6,6,7,8,520
Gyarados,LV6,6,9,5,520
Gyarados,LV6,6,10,4,520
Gyarados,LV6,6,11,3,520
Gyarados,LV6,6,12,2,520
Gyarados,LV6,6,13,1,520
Gyarados,LV6,6,14,0,520
Gyarados,LV6,7,0,14,520
Gyarados,LV6,7,1,13,520
Gyarados,LV6,7,2,12,520
Gyarados,LV6,7,4,9,520
Gyarados,LV6,7,5,8,520
Gyarados,LV6,7,6,7,520
Gyarados,LV6,7,7,6,520
Gyarados,LV6,7,8,5,520
Gyarados,LV6,7,11,1,520
Gyarados,LV6,7,12,0,520
Gyarados,LV6,8,0,12,520
Gyarados,LV6,8,1,11,520
Gyarados,LV6,8,2,10,520
Gyarados,LV6,8,3,9,520
Gyarados,LV6,8,5,6,520
Gyarados,LV6,8,6,5,520
Gyarados,LV6,8,7,4,520
Gyarados,LV6,8,8,3,520
Gyarados,LV6,8,9,2,520
Gyarados,LV6,8,10,1,520
Gyarados,LV6,9,1,9,520
Gyarados,LV6,9,2,8,520
Gyarados,LV6,9,3,7,520
Gyarados,LV6,9,4,6,520
Gyarados,LV6,9,6,3,520
Gyarados,LV6,9,7,2,520
Gyarados,LV6,9,8,1,520
Gyarados,LV6,9,9,0,520
Gyarados,LV6,10,0,9,520
Gyarados,LV6,10,1,7,520
Gyarados,LV6,10,2,6,520
Gyarados,LV6,10,3,5,520
Gyarados,LV6,10,4,4,520
Gyarados,LV6,10,5,3,520
Gyarados,LV6,10,6,2,520
Gyarados,LV6,11,0,7,520
Gyarados,LV6,11,1,6,520
Gyarados,LV6,11,3,3,520
Gyarados,LV6,11,4,2,520
Gyarados,LV6,11,5,1,520
Gyarados,LV6,11,6,0,520
Gyarados,LV6,12,0,5,520
Gyarados,LV6,12,1,4,520
Gyarados,LV6,12,2,3,520
Gyarados,LV6,12,4,0,520
Gyarados,LV6,13,0,3,520
Gyarados,LV6,13,1,2,520
Gyarados,LV6,13,2,1,520
Gyarados,LV6,13,3,0,520
Gyarados,LV6,14,1,0,520
Gyarados,LV6,15,0,0,520
