Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Hatenna,LV27.5,0,0,3,520
Hatenna,LV26.5,0,1,11,520
Hatenna,LV27,0,2,5,520
Hatenna,LV26.5,0,2,10,520
Hatenna,LV26,0,2,15,520
Hatenna,LV26.5,0,4,7,520
Hatenna,LV26,0,4,12,520
Hatenna,LV27,0,5,1,520
Hatenna,LV26.5,0,7,3,520
Hatenna,LV26,0,7,8,520
Hatenna,LV25.5,0,7,13,520
Hatenna,LV26.5,0,8,2,520
Hatenna,LV25.5,0,8,12,520
Hatenna,LV26,0,10,4,520
Hatenna,LV26,0,11,3,520
Hatenna,LV25.5,0,11,8,520
Hatenna,LV26,0,12,2,520
Hatenna,LV25,0,12,12,520
Hatenna,LV24.5,0,14,15,520
Hatenna,LV25.5,0,15,3,520
Hatenna,LV25,0,15,8,520
Hatenna,LV27,1,0,5,520
Hatenna,LV26.5,1,0,10,520
Hatenna,LV26,1,0,15,520
Hatenna,LV26.5,1,2,7,520
Hatenna,LV26,1,2,12,520
Hatenna,LV27,1,3,1,520
Hatenna,LV26,1,3,11,520
Hatenna,LV26.5,1,5,3,520
Hatenna,LV26,1,5,8,520
Hatenna,LV25.5,1,5,13,520
Hatenna,LV26.5,1,6,2,520
Hatenna,LV25.5,1,6,12,520
Hatenna,LV26,1,8,4,520
Hatenna,LV25.5,1,8,9,520
Hatenna,LV26,1,9,3,520
Hatenna,LV25.5,1,9,8,520
Hatenna,LV25,1,9,13,520
Hatenna,LV25,1,10,12,520
Hatenna,LV25.5,1,12,4,520
Hatenna,LV25.5,1,13,3,520
Hatenna,LV25,1,13,8,520
Hatenna,LV25,1,14,7,520
Hatenna,LV24.5,1,14,12,520
Hatenna,LV24.5,1,15,11,520
Hatenna,LV27,2,1,1,520
Hatenna,LV26.5,2,1,6,520
Hatenna,LV26,2,1,11,520
Hatenna,LV27,2,2,0,520
Hatenna,LV26.5,2,3,3,520
Hatenna,LV26,2,3,8,520
Hatenna,LV26.5,2,4,2,520
Hatenna,LV25.5,2,4,12,520
Hatenna,LV26,2,6,4,520
Hatenna,LV25.5,2,6,9,520
Hatenna,LV26,2,7,3,520
Hatenna,LV25.5,2,7,8,520
Hatenna,LV25,2,7,13,520
Hatenna,LV25,2,8,12,520
Hatenna,LV25.5,2,10,4,520
Hatenna,LV25,2,10,9,520
Hatenna,LV25.5,2,11,3,520
Hatenna,LV25,2,11,8,520
