Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Heliolisk,LV8,0,5,7,520
Heliolisk,LV8,0,6,6,520
Heliolisk,LV8,0,7,5,520
Heliolisk,LV8,0,8,4,520
Heliolisk,LV8,0,9,3,520
Heliolisk,LV8,0,10,2,520
Heliolisk,LV8,0,11,1,520
Heliolisk,LV8,0,12,0,520
Heliolisk,LV8,1,0,10,520
Heliolisk,LV8,1,1,9,520
Heliolisk,LV8,1,2,8,520
Heliolisk,LV8,1,3,7,520
Heliolisk,LV8,1,4,6,520
Heliolisk,LV8,1,5,5,520
Heliolisk,LV8,1,6,4,520
Heliolisk,LV8,1,11,0,520
Heliolisk,LV8,2,5,4,520
Heliolisk,LV8,2,6,3,520
Heliolisk,LV8,2,7,2,520
Heliolisk,LV8,2,8,1,520
Heliolisk,LV8,2,9,0,520
Heliolisk,LV8,3,0,7,520
Heliolisk,LV8,3,1,6,520
Heliolisk,LV8,3,2,5,520
Heliolisk,LV8,3,3,4,520
Heliolisk,LV8,3,4,3,520
Heliolisk,LV8,3,5,2,520
Heliolisk,LV8,4,3,3,520
Heliolisk,LV8,4,4,2,520
Heliolisk,LV8,4,5,1,520
Heliolisk,LV8,4,6,0,520
Heliolisk,LV8,5,0,4,520
Heliolisk,LV8,5,1,3,520
Heliolisk,LV8,5,2,2,520
Heliolisk,LV8,5,3,1,520
Heliolisk,LV7.5,5,13,15,520
Heliolisk,LV7.5,5,14,14,520
Heliolisk,LV7.5,5,15,13,520
Heliolisk,LV8,6,1,2,520
Heliolisk,LV8,6,2,1,520
Heliolisk,LV8,6,3,0,520
Heliolisk,LV7.5,6,11,15,520
Heliolisk,LV7.5,6,12,14,520
Heliolisk,LV7.5,6,13,13,520
Heliolisk,LV8,7,0,1,520
Heliolisk,LV7.5,7,11,14,520
Heliolisk,LV7.5,7,12,13,520
Heliolisk,LV7.5,7,13,12,520
Heliolisk,LV7.5,7,14,11,520
Heliolisk,LV7.5,7,15,10,520
Heliolisk,LV8,8,0,0,520
Heliolisk,LV7.5,8,8,15,520
Heliolisk,LV7.5,8,9,14,520
Heliolisk,LV7.5,8,10,13,520
Heliolisk,LV7.5,8,11,12,520
Heliolisk,LV7.5,8,12,11,520
Heliolisk,LV7.5,8,13,10,520
Heliolisk,LV7.5,9,11,11,520
Heliolisk,LV7.5,9,12,10,520
Heliolisk,LV7.5,9,13,9,520
Heliolisk,LV7.5,9,14,8,520
Heliolisk,LV7.5,9,15,7,520
Heliolisk,LV7.5,10,5,15,520
Heliolisk,LV7.5,10,6,14,520
Heliolisk,LV7.5,10,7,13,520
Heliolisk,LV7.5,10,8,12,520
Heliolisk,LV7.5,10,9,11,520
Heliolisk,LV7.5,10,10,10,520
Heliolisk,LV7.5,10,11,9,520
Heliolisk,LV7.5,10,12,8,520
Heliolisk,LV7.5,11,10,9,520
Heliolisk,LV7.5,11,11,8,520
Heliolisk,LV7.5,11,12,7,520
Heliolisk,LV7.5,11,13,6,520
Heliolisk,LV7.5,11,14,5,520
Heliolisk,LV7.5,11,15,4,520
Heliolisk,LV7.5,12,2,15,520
Heliolisk,LV7.5,12,3,14,520
Heliolisk,LV7.5,12,4,13,520
Heliolisk,LV7.5,12,5,12,520
Heliolisk,LV7.5,12,6,11,520
Heliolisk,LV7.5,12,7,10,520
Heliolisk,LV7.5,12,8,9,520
Heliolisk,LV7.5,12,9,8,520
Heliolisk,LV7.5,12,10,7,520
Heliolisk,LV7.5,12,15,3,520
Heliolisk,LV7.5,13,8,8,520
Heliolisk,LV7.5,13,9,7,520
Heliolisk,LV7.5,13,10,6,520
Heliolisk,LV7.5,13,11,5,520
Heliolisk,LV7.5,13,12,4,520
Heliolisk,LV7.5,13,13,3,520
Heliolisk,LV7.5,13,14,2,520
Heliolisk,LV7.5,14,0,14,520
Heliolisk,LV7.5,14,1,13,520
Heliolisk,LV7.5,14,2,12,520
Heliolisk,LV7.5,14,3,11,520
Heliolisk,LV7.5,14,4,10,520
Heliolisk,LV7.5,14,5,9,520
Heliolisk,LV7.5,14,6,8,520
Heliolisk,LV7.5,14,7,7,520
Heliolisk,LV7.5,14,8,6,520
Heliolisk,LV7.5,14,13,2,520
Heliolisk,LV7.5,14,14,1,520
Heliolisk,LV7.5,14,15,0,520
Heliolisk,LV7.5,15,5,8,520
Heliolisk,LV7.5,15,6,7,520
Heliolisk,LV7.5,15,7,6,520
Heliolisk,LV7.5,15,8,5,520
Heliolisk,LV7.5,15,9,4,520
Heliolisk,LV7.5,15,10,3,520
Heliolisk,LV7.5,15,11,2,520
Heliolisk,LV7.5,15,12,1,520
