Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Herdier,LV14,0,0,1,520
Herdier,LV13.5,0,0,13,520
Herdier,LV13.5,0,1,12,520
Herdier,LV13.5,0,3,9,520
Herdier,LV13.5,0,4,8,520
Herdier,LV13.5,0,6,5,520
Herdier,LV13.5,0,7,4,520
Herdier,LV13,0,9,14,520
Herdier,LV13.5,0,10,0,520
Herdier,LV13,0,10,13,520
Herdier,LV13,0,11,12,520
Herdier,LV13,0,13,9,520
Herdier,LV13,0,14,8,520
Herdier,LV13,0,15,7,520
Herdier,LV13.5,1,0,11,520
Herdier,LV13.5,1,2,8,520
Herdier,LV13.5,1,3,7,520
Herdier,LV13.5,1,5,4,520
Herdier,LV13.5,1,6,3,520
Herdier,LV13,1,8,13,520
Herdier,LV13,1,9,12,520
Herdier,LV13,1,11,9,520
Herdier,LV13,1,12,8,520
Herdier,LV13,1,13,7,520
Herdier,LV13.5,2,1,7,520
Herdier,LV13.5,2,2,6,520
Herdier,LV13.5,2,4,3,520
Herdier,LV13.5,2,5,2,520
Herdier,LV13,2,5,15,520
Herdier,LV13,2,7,12,520
Herdier,LV13,2,8,11,520
Herdier,LV13,2,10,8,520
Herdier,LV13,2,11,7,520
Herdier,LV13,2,12,6,520
Herdier,LV13,2,15,2,520
Herdier,LV13.5,3,0,6,520
Herdier,LV13.5,3,1,5,520
Herdier,LV13.5,3,3,2,520
Herdier,LV13,3,3,15,520
Herdier,LV13.5,3,4,1,520
Herdier,LV13,3,4,14,520
Herdier,LV13,3,6,11,520
Herdier,LV13,3,7,10,520
Herdier,LV13,3,9,7,520
Herdier,LV13,3,10,6,520
Herdier,LV13,3,11,5,520
Herdier,LV13,3,13,2,520
Herdier,LV13,3,14,1,520
Herdier,LV13,3,15,0,520
Herdier,LV12.5,3,15,13,520
Herdier,LV13.5,4,0,4,520
Herdier,LV13.5,4,2,1,520
Herdier,LV13,4,2,14,520
Herdier,LV13.5,4,3,0,520
Herdier,LV13,4,3,13,520
Herdier,LV13,4,5,10,520
Herdier,LV13,4,6,9,520
Herdier,LV13,4,8,6,520
Herdier,LV13,4,9,5,520
Herdier,LV13,4,12,1,520
Herdier,LV13,4,13,0,520
Herdier,LV12.5,4,14,12,520
Herdier,LV12.5,4,15,11,520
Herdier,LV13,5,1,13,520
Herdier,LV13,5,2,12,520
Herdier,LV13,5,4,9,520
