Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Hippowdon,LV6.5,2,14,14,520
Hippowdon,LV6.5,2,15,13,520
Hippowdon,LV6.5,3,12,14,520
Hippowdon,LV6.5,3,13,13,520
Hippowdon,LV6.5,3,14,12,520
Hippowdon,LV6.5,3,15,11,520
Hippowdon,LV6.5,4,10,14,520
Hippowdon,LV6.5,4,11,13,520
Hippowdon,LV6.5,4,12,12,520
Hippowdon,LV6.5,4,13,11,520
Hippowdon,LV6.5,4,14,9,520
Hippowdon,LV6.5,4,15,8,520
Hippowdon,LV6.5,5,8,14,520
Hippowdon,LV6.5,5,9,13,520
Hippowdon,LV6.5,5,10,12,520
Hippowdon,LV6.5,5,11,11,520
Hippowdon,LV6.5,5,12,9,520
Hippowdon,LV6.5,5,13,8,520
Hippowdon,LV6.5,5,14,7,520
Hippowdon,LV6.5,5,15,6,520
Hippowdon,LV6.5,6,6,14,520
Hippowdon,LV6.5,6,7,13,520
Hippowdon,LV6.5,6,8,12,520
Hippowdon,LV6.5,6,9,11,520
Hippowdon,LV6.5,6,10,9,520
Hippowdon,LV6.5,6,11,8,520
Hippowdon,LV6.5,6,12,7,520
Hippowdon,LV6.5,6,13,6,520
Hippowdon,LV6.5,6,14,5,520
Hippowdon,LV6.5,6,15,3,520
Hippowdon,LV6.5,7,4,15,520
Hippowdon,LV6.5,7,5,13,520
Hippowdon,LV6.5,7,6,12,520
Hippowdon,LV6.5,7,7,11,520
Hippowdon,LV6.5,7,8,10,520
Hippowdon,LV6.5,7,9,8,520
Hippowdon,LV6.5,7,10,7,520
Hippowdon,LV6.5,7,11,6,520
Hippowdon,LV6.5,7,12,5,520
Hippowdon,LV6.5,7,13,3,520
Hippowdon,LV6.5,7,14,2,520
Hippowdon,LV6.5,7,15,1,520
Hippowdon,LV6.5,8,2,15,520
Hippowdon,LV6.5,8,4,12,520
Hippowdon,LV6.5,8,5,11,520
Hippowdon,LV6.5,8,6,10,520
Hippowdon,LV6.5,8,7,8,520
Hippowdon,LV6.5,8,8,7,520
Hippowdon,LV6.5,8,9,6,520
Hippowdon,LV6.5,8,10,5,520
Hippowdon,LV6.5,8,12,2,520
Hippowdon,LV6.5,8,13,1,520
Hippowdon,LV6.5,8,14,0,520
Hippowdon,LV6.5,9,0,15,520
Hippowdon,LV6.5,9,1,14,520
Hippowdon,LV6.5,9,2,12,520
Hippowdon,LV6.5,9,3,11,520
Hippowdon,LV6.5,9,4,10,520
Hippowdon,LV6.5,9,5,9,520
Hippowdon,LV6.5,9,6,7,520
Hippowdon,LV6.5,9,7,6,520
Hippowdon,LV6.5,9,8,5,520
Hippowdon,LV6.5,9,9,4,520
Hippowdon,LV6.5,9,10,2,520
Hippowdon,LV6.5,9,11,1,520
Hippowdon,LV6.5,9,12,0,520
Hippowdon,LV6.5,10,0,13,520
Hippowdon,LV6.5,10,1,11,520
Hippowdon,LV6.5,10,2,10,520
Hippowdon,LV6.5,10,3,9,520
Hippowdon,LV6.5,10,4,7,520
Hippowdon,LV6.5,10,5,6,520
Hippowdon,LV6.5,10,6,5,520
Hippowdon,LV6.5,10,7,4,520
Hippowdon,LV6.5,10,9,1,520
Hippowdon,LV6.5,10,10,0,520
Hippowdon,LV6.5,11,0,10,520
Hippowdon,LV6.5,11,1,9,520
Hippowdon,LV6.5,11,2,8,520
Hippowdon,LV6.5,11,3,6,520
Hippowdon,LV6.5,11,4,5,520
Hippowdon,LV6.5,11,5,4,520
Hippowdon,LV6.5,11,6,3,520
Hippowdon,LV6.5,11,7,1,520
Hippowdon,LV6.5,11,8,0,520
Hippowdon,LV6.5,12,0,8,520
Hippowdon,LV6.5,12,1,7,520
Hippowdon,LV6.5,12,2,5,520
Hippowdon,LV6.5,12,3,4,520
Hippowdon,LV6.5,12,4,3,520
Hippowdon,LV6.5,12,5,2,520
Hippowdon,LV6.5,12,6,0,520
Hippowdon,LV6.5,13,0,6,520
Hippowdon,LV6.5,13,1,4,520
Hippowdon,LV6.5,13,2,3,520
Hippowdon,LV6.5,13,3,2,520
Hippowdon,LV6.5,13,4,1,520
Hippowdon,LV6.5,14,0,3,520
Hippowdon,LV6.5,14,1,2,520
Hippowdon,LV6.5,14,2,1,520
Hippowdon,LV6.5,14,3,0,520
Hippowdon,LV6.5,15,0,1,520
Hippowdon,LV6.5,15,1,0,520
