Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Hitmonchan,LV9,0,0,8,520
Hitmonchan,LV9,0,1,7,520
Hitmonchan,LV9,0,4,5,520
Hitmonchan,LV9,0,5,4,520
Hitmonchan,LV9,0,7,3,520
Hitmonchan,LV9,0,8,2,520
Hitmonchan,LV9,0,10,1,520
Hitmonchan,LV9,0,11,0,520
Hitmonchan,LV8.5,0,15,15,520
Hitmonchan,LV9,1,2,5,520
Hitmonchan,LV9,1,3,4,520
Hitmonchan,LV9,1,5,3,520
Hitmonchan,LV9,1,6,2,520
Hitmonchan,LV9,1,8,1,520
Hitmonchan,LV9,1,9,0,520
Hitmonchan,LV8.5,1,13,15,520
Hitmonchan,LV8.5,1,14,14,520
Hitmonchan,LV9,2,0,5,520
Hitmonchan,LV9,2,1,4,520
Hitmonchan,LV9,2,3,3,520
Hitmonchan,LV9,2,4,2,520
Hitmonchan,LV9,2,7,0,520
Hitmonchan,LV8.5,2,11,15,520
Hitmonchan,LV8.5,2,12,14,520
Hitmonchan,LV8.5,2,15,12,520
Hitmonchan,LV9,3,1,3,520
Hitmonchan,LV9,3,2,2,520
Hitmonchan,LV9,3,5,0,520
Hitmonchan,LV8.5,3,10,14,520
Hitmonchan,LV8.5,3,11,13,520
Hitmonchan,LV8.5,3,13,12,520
Hitmonchan,LV8.5,3,14,11,520
Hitmonchan,LV9,4,0,2,520
Hitmonchan,LV9,4,3,0,520
Hitmonchan,LV8.5,4,8,14,520
Hitmonchan,LV8.5,4,9,13,520
Hitmonchan,LV8.5,4,12,11,520
Hitmonchan,LV8.5,4,15,9,520
Hitmonchan,LV9,5,1,0,520
Hitmonchan,LV8.5,5,6,14,520
Hitmonchan,LV8.5,5,7,13,520
Hitmonchan,LV8.5,5,10,11,520
Hitmonchan,LV8.5,5,11,10,520
Hitmonchan,LV8.5,5,13,9,520
Hitmonchan,LV8.5,5,14,8,520
Hitmonchan,LV8.5,6,4,14,520
Hitmonchan,LV8.5,6,5,13,520
Hitmonchan,LV8.5,6,8,11,520
Hitmonchan,LV8.5,6,9,10,520
Hitmonchan,LV8.5,6,11,9,520
Hitmonchan,LV8.5,6,12,8,520
Hitmonchan,LV8.5,6,15,6,520
Hitmonchan,LV8.5,7,2,14,520
Hitmonchan,LV8.5,7,3,13,520
Hitmonchan,LV8.5,7,6,11,520
Hitmonchan,LV8.5,7,7,10,520
Hitmonchan,LV8.5,7,10,8,520
Hitmonchan,LV8.5,7,13,6,520
Hitmonchan,LV8.5,7,14,5,520
Hitmonchan,LV8.5,8,0,14,520
Hitmonchan,LV8.5,8,1,13,520
Hitmonchan,LV8.5,8,4,11,520
Hitmonchan,LV8.5,8,5,10,520
Hitmonchan,LV8.5,8,8,8,520
Hitmonchan,LV8.5,8,9,7,520
Hitmonchan,LV8.5,8,11,6,520
Hitmonchan,LV8.5,8,12,5,520
Hitmonchan,LV8.5,8,14,4,520
Hitmonchan,LV8.5,8,15,3,520
Hitmonchan,LV8.5,9,2,11,520
Hitmonchan,LV8.5,9,3,10,520
Hitmonchan,LV8.5,9,6,8,520
Hitmonchan,LV8.5,9,7,7,520
Hitmonchan,LV8.5,9,9,6,520
Hitmonchan,LV8.5,9,10,5,520
Hitmonchan,LV8.5,9,12,4,520
Hitmonchan,LV8.5,9,13,3,520
Hitmonchan,LV8.5,9,15,2,520
Hitmonchan,LV8.5,10,0,11,520
Hitmonchan,LV8.5,10,1,10,520
Hitmonchan,LV8.5,10,4,8,520
Hitmonchan,LV8.5,10,5,7,520
Hitmonchan,LV8.5,10,7,6,520
Hitmonchan,LV8.5,10,8,5,520
Hitmonchan,LV8.5,10,11,3,520
Hitmonchan,LV8.5,10,14,1,520
Hitmonchan,LV8.5,11,2,8,520
Hitmonchan,LV8.5,11,3,7,520
Hitmonchan,LV8.5,11,5,6,520
Hitmonchan,LV8.5,11,6,5,520
Hitmonchan,LV8.5,11,9,3,520
Hitmonchan,LV8.5,11,12,1,520
Hitmonchan,LV8.5,12,0,8,520
Hitmonchan,LV8.5,12,1,7,520
Hitmonchan,LV8.5,12,3,6,520
Hitmonchan,LV8.5,12,4,5,520
Hitmonchan,LV8.5,12,7,3,520
Hitmonchan,LV8.5,12,10,1,520
Hitmonchan,LV8.5,13,1,6,520
Hitmonchan,LV8.5,13,2,5,520
Hitmonchan,LV8.5,13,4,4,520
Hitmonchan,LV8.5,13,5,3,520
Hitmonchan,LV8.5,13,8,1,520
Hitmonchan,LV8,13,15,15,520
Hitmonchan,LV8.5,14,0,5,520
Hitmonchan,LV8.5,14,2,4,520
Hitmonchan,LV8.5,14,3,3,520
Hitmonchan,LV8.5,14,6,1,520
Hitmonchan,LV8,14,13,15,520
Hitmonchan,LV8,14,14,14,520
Hitmonchan,LV8.5,15,0,4,520
Hitmonchan,LV8.5,15,1,3,520
Hitmonchan,LV8.5,15,3,2,520
Hitmonchan,LV8.5,15,4,1,520
Hitmonchan,LV8,15,11,15,520
Hitmonchan,LV8,15,12,14,520
Hitmonchan,LV8,15,15,12,520
