Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Honedge,LV16,0,0,3,520
Honedge,LV15.5,0,0,12,520
Honedge,LV16,0,1,2,520
Honedge,LV15.5,0,1,11,520
Honedge,LV15.5,0,2,10,520
Honedge,LV15.5,0,3,9,520
Honedge,LV15.5,0,4,8,520
Honedge,LV15.5,0,5,7,520
Honedge,LV15.5,0,6,6,520
Honedge,LV15,0,6,15,520
Honedge,LV15.5,0,7,5,520
Honedge,LV15,0,7,14,520
Honedge,LV15.5,0,8,4,520
Honedge,LV15,0,8,13,520
Honedge,LV15,0,9,12,520
Honedge,LV15,0,10,11,520
Honedge,LV15.5,0,13,0,520
Honedge,LV15.5,1,2,8,520
Honedge,LV15.5,1,3,7,520
Honedge,LV15.5,1,4,6,520
Honedge,LV15,1,4,15,520
Honedge,LV15.5,1,5,5,520
Honedge,LV15,1,5,14,520
Honedge,LV15.5,1,6,4,520
Honedge,LV15,1,6,13,520
Honedge,LV15.5,1,7,3,520
Honedge,LV15,1,7,12,520
Honedge,LV15.5,1,8,2,520
Honedge,LV15,1,8,11,520
Honedge,LV15,1,9,10,520
Honedge,LV15,1,10,9,520
Honedge,LV14.5,1,14,15,520
Honedge,LV14.5,1,15,14,520
Honedge,LV15.5,2,1,7,520
Honedge,LV15.5,2,2,6,520
Honedge,LV15,2,2,15,520
Honedge,LV15.5,2,3,5,520
Honedge,LV15,2,3,14,520
Honedge,LV15.5,2,4,4,520
Honedge,LV15,2,4,13,520
Honedge,LV15.5,2,5,3,520
Honedge,LV15,2,5,12,520
Honedge,LV15.5,2,6,2,520
Honedge,LV15,2,6,11,520
Honedge,LV15.5,2,7,1,520
Honedge,LV15,2,7,10,520
Honedge,LV15,2,8,9,520
Honedge,LV15,2,9,8,520
Honedge,LV15,2,10,7,520
Honedge,LV14.5,2,12,15,520
Honedge,LV14.5,2,13,14,520
Honedge,LV14.5,2,14,13,520
Honedge,LV15,2,15,3,520
Honedge,LV14.5,2,15,12,520
Honedge,LV15.5,3,0,6,520
Honedge,LV15,3,0,15,520
Honedge,LV15.5,3,1,5,520
Honedge,LV15,3,1,14,520
Honedge,LV15.5,3,2,4,520
Honedge,LV15,3,2,13,520
Honedge,LV15.5,3,3,3,520
Honedge,LV15,3,3,12,520
Honedge,LV15.5,3,4,2,520
Honedge,LV15,3,4,11,520
Honedge,LV15.5,3,5,1,520
Honedge,LV15,3,5,10,520
Honedge,LV15.5,3,6,0,520
Honedge,LV15,3,6,9,520
Honedge,LV15,3,7,8,520
Honedge,LV15,3,8,7,520
Honedge,LV15,3,9,6,520
Honedge,LV15,3,10,5,520
Honedge,LV14.5,3,13,12,520
Honedge,LV14.5,3,14,11,520
Honedge,LV15,3,15,1,520
Honedge,LV14.5,3,15,10,520
Honedge,LV15.5,4,0,4,520
Honedge,LV15,4,0,13,520
Honedge,LV15.5,4,1,3,520
Honedge,LV15,4,1,12,520
Honedge,LV15.5,4,2,2,520
Honedge,LV15,4,2,11,520
Honedge,LV15.5,4,3,1,520
