Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Hoothoot,LV45,0,0,0,520
Hoothoot,LV44.5,0,0,2,520
Hoothoot,LV44,0,0,4,520
Hoothoot,LV43.5,0,0,6,520
Hoothoot,LV43,0,0,8,520
Hoothoot,LV42.5,0,0,10,520
Hoothoot,LV42,0,0,12,520
Hoothoot,LV41.5,0,0,14,520
Hoothoot,LV44,0,1,2,520
Hoothoot,LV43.5,0,1,4,520
Hoothoot,LV43,0,1,6,520
Hoothoot,LV42.5,0,1,8,520
Hoothoot,LV42,0,1,10,520
Hoothoot,LV40.5,0,2,15,520
Hoothoot,LV43.5,0,3,1,520
Hoothoot,LV41.5,0,3,9,520
Hoothoot,LV41,0,3,11,520
Hoothoot,LV40.5,0,3,13,520
Hoothoot,LV40,0,3,15,520
Hoothoot,LV43,0,4,1,520
Hoothoot,LV42.5,0,4,3,520
Hoothoot,LV42,0,4,5,520
Hoothoot,LV41.5,0,4,7,520
Hoothoot,LV41,0,4,9,520
Hoothoot,LV40.5,0,4,11,520
Hoothoot,LV40,0,4,13,520
Hoothoot,LV42.5,0,5,1,520
Hoothoot,LV42,0,5,3,520
Hoothoot,LV41.5,0,5,5,520
Hoothoot,LV41,0,5,7,520
Hoothoot,LV40.5,0,5,9,520
Hoothoot,LV39.5,0,5,14,520
Hoothoot,LV39.5,0,6,12,520
Hoothoot,LV42,0,7,0,520
Hoothoot,LV41.5,0,7,2,520
Hoothoot,LV41,0,7,4,520
Hoothoot,LV40.5,0,7,6,520
Hoothoot,LV40,0,7,8,520
Hoothoot,LV39.5,0,7,10,520
Hoothoot,LV38.5,0,7,15,520
Hoothoot,LV41.5,0,8,0,520
Hoothoot,LV41,0,8,2,520
Hoothoot,LV40.5,0,8,4,520
Hoothoot,LV40,0,8,6,520
Hoothoot,LV39,0,8,11,520
Hoothoot,LV38.5,0,8,13,520
Hoothoot,LV39.5,0,9,7,520
Hoothoot,LV39,0,9,9,520
Hoothoot,LV38,0,9,14,520
Hoothoot,LV40.5,0,10,1,520
Hoothoot,LV40,0,10,3,520
Hoothoot,LV39.5,0,10,5,520
Hoothoot,LV38.5,0,10,10,520
Hoothoot,LV38,0,10,12,520
Hoothoot,LV37.5,0,10,15,520
Hoothoot,LV40,0,11,1,520
Hoothoot,LV39,0,11,6,520
Hoothoot,LV38.5,0,11,8,520
Hoothoot,LV37.5,0,11,13,520
Hoothoot,LV40,0,12,0,520
Hoothoot,LV39.5,0,12,2,520
Hoothoot,LV39,0,12,4,520
Hoothoot,LV38,0,12,9,520
Hoothoot,LV37,0,12,14,520
Hoothoot,LV38.5,0,13,5,520
Hoothoot,LV37.5,0,13,10,520
Hoothoot,LV37,0,13,12,520
Hoothoot,LV36.5,0,13,15,520
Hoothoot,LV39,0,14,1,520
Hoothoot,LV38,0,14,6,520
Hoothoot,LV37.5,0,14,8,520
Hoothoot,LV36.5,0,14,13,520
Hoothoot,LV38.5,0,15,2,520
Hoothoot,LV38,0,15,4,520
Hoothoot,LV37,0,15,9,520
Hoothoot,LV36,0,15,14,520
Hoothoot,LV42.5,1,0,5,520
Hoothoot,LV42,1,0,7,520
Hoothoot,LV40,1,1,14,520
Hoothoot,LV43,1,2,0,520
Hoothoot,LV42.5,1,2,2,520
Hoothoot,LV42,1,2,4,520
Hoothoot,LV41.5,1,2,6,520
Hoothoot,LV41,1,2,8,520
Hoothoot,LV40.5,1,2,10,520
Hoothoot,LV40,1,2,12,520
Hoothoot,LV39.5,1,2,14,520
Hoothoot,LV42.5,1,3,0,520
Hoothoot,LV42,1,3,2,520
Hoothoot,LV41.5,1,3,4,520
Hoothoot,LV41,1,3,6,520
Hoothoot,LV40.5,1,3,8,520
Hoothoot,LV40,1,3,10,520
Hoothoot,LV39,1,3,15,520
Hoothoot,LV42,1,4,0,520
Hoothoot,LV41.5,1,4,2,520
Hoothoot,LV41,1,4,4,520
Hoothoot,LV40.5,1,4,6,520
Hoothoot,LV40,1,4,8,520
Hoothoot,LV39,1,4,13,520
Hoothoot,LV39.5,1,5,9,520
Hoothoot,LV39,1,5,11,520
Hoothoot,LV41,1,6,1,520
Hoothoot,LV40.5,1,6,3,520
Hoothoot,LV40,1,6,5,520
Hoothoot,LV39.5,1,6,7,520
Hoothoot,LV38.5,1,6,12,520
Hoothoot,LV38,1,6,14,520
Hoothoot,LV40.5,1,7,1,520
Hoothoot,LV40,1,7,3,520
Hoothoot,LV39,1,7,8,520
Hoothoot,LV38.5,1,7,10,520
Hoothoot,LV37.5,1,7,15,520
Hoothoot,LV39.5,1,8,4,520
Hoothoot,LV39,1,8,6,520
Hoothoot,LV38,1,8,11,520
Hoothoot,LV37.5,1,8,13,520
Hoothoot,LV40,1,9,0,520
