Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Hoppip,LV50,0,2,15,520
Hoppip,LV50,0,3,14,520
Hoppip,LV49.5,0,4,14,520
Hoppip,LV49,0,5,14,520
Hoppip,LV50,0,6,10,520
Hoppip,LV49,0,6,13,520
Hoppip,LV50,0,7,9,520
Hoppip,LV48.5,0,7,13,520
Hoppip,LV49.5,0,8,9,520
Hoppip,LV48.5,0,8,12,520
Hoppip,LV47.5,0,8,15,520
Hoppip,LV49.5,0,9,8,520
Hoppip,LV48.5,0,9,11,520
Hoppip,LV47.5,0,9,14,520
Hoppip,LV49.5,0,10,7,520
Hoppip,LV49,0,10,8,520
Hoppip,LV48,0,10,11,520
Hoppip,LV47,0,10,14,520
Hoppip,LV49,0,11,7,520
Hoppip,LV48,0,11,10,520
Hoppip,LV47,0,11,13,520
Hoppip,LV50,0,12,3,520
Hoppip,LV49,0,12,6,520
Hoppip,LV48,0,12,9,520
Hoppip,LV46.5,0,12,13,520
Hoppip,LV50,0,13,2,520
Hoppip,LV49,0,13,5,520
Hoppip,LV47.5,0,13,9,520
Hoppip,LV46.5,0,13,12,520
Hoppip,LV45.5,0,13,15,520
Hoppip,LV50,0,14,1,520
Hoppip,LV49,0,14,4,520
Hoppip,LV48.5,0,14,5,520
Hoppip,LV47.5,0,14,8,520
Hoppip,LV46.5,0,14,11,520
Hoppip,LV45.5,0,14,14,520
Hoppip,LV50,0,15,0,520
Hoppip,LV48.5,0,15,4,520
Hoppip,LV47.5,0,15,7,520
Hoppip,LV46.5,0,15,10,520
Hoppip,LV45.5,0,15,13,520
Hoppip,LV50,1,0,14,520
Hoppip,LV49.5,1,1,14,520
Hoppip,LV49.5,1,2,13,520
Hoppip,LV50,1,3,10,520
Hoppip,LV49,1,3,13,520
Hoppip,LV50,1,4,9,520
Hoppip,LV49,1,4,12,520
Hoppip,LV48,1,4,15,520
Hoppip,LV49.5,1,5,9,520
Hoppip,LV48.5,1,5,12,520
Hoppip,LV47.5,1,5,15,520
Hoppip,LV49.5,1,6,8,520
Hoppip,LV48.5,1,6,11,520
Hoppip,LV47.5,1,6,14,520
Hoppip,LV49,1,7,8,520
Hoppip,LV48,1,7,11,520
Hoppip,LV47,1,7,14,520
Hoppip,LV50,1,8,4,520
Hoppip,LV49,1,8,7,520
Hoppip,LV48,1,8,10,520
Hoppip,LV47,1,8,13,520
Hoppip,LV50,1,9,3,520
Hoppip,LV49,1,9,6,520
Hoppip,LV47.5,1,9,10,520
Hoppip,LV46.5,1,9,13,520
Hoppip,LV50,1,10,2,520
Hoppip,LV48.5,1,10,6,520
Hoppip,LV47.5,1,10,9,520
Hoppip,LV46.5,1,10,12,520
Hoppip,LV45.5,1,10,15,520
Hoppip,LV50,1,11,1,520
Hoppip,LV48.5,1,11,5,520
Hoppip,LV47.5,1,11,8,520
Hoppip,LV50,1,12,0,520
Hoppip,LV49.5,1,12,1,520
Hoppip,LV48.5,1,12,4,520
Hoppip,LV47,1,12,8,520
Hoppip,LV46,1,12,11,520
Hoppip,LV45,1,12,14,520
Hoppip,LV49.5,1,13,0,520
Hoppip,LV48.5,1,13,3,520
Hoppip,LV48,1,13,4,520
Hoppip,LV47,1,13,7,520
Hoppip,LV46,1,13,10,520
Hoppip,LV45,1,13,13,520
Hoppip,LV48,1,14,3,520
Hoppip,LV47,1,14,6,520
Hoppip,LV46,1,14,9,520
Hoppip,LV45,1,14,12,520
Hoppip,LV44,1,14,15,520
Hoppip,LV48,1,15,2,520
Hoppip,LV47,1,15,5,520
Hoppip,LV45.5,1,15,9,520
Hoppip,LV44.5,1,15,12,520
Hoppip,LV43.5,1,15,15,520
Hoppip,LV49.5,2,0,12,520
Hoppip,LV48.5,2,0,15,520
Hoppip,LV50,2,1,9,520
Hoppip,LV49,2,1,12,520
Hoppip,LV48,2,1,15,520
Hoppip,LV50,2,2,8,520
Hoppip,LV48.5,2,2,12,520
Hoppip,LV47.5,2,2,15,520
Hoppip,LV49.5,2,3,8,520
Hoppip,LV48.5,2,3,11,520
Hoppip,LV47.5,2,3,14,520
Hoppip,LV49.5,2,4,7,520
Hoppip,LV48,2,4,11,520
Hoppip,LV47,2,4,14,520
Hoppip,LV49,2,5,7,520
Hoppip,LV48,2,5,10,520
Hoppip,LV47,2,5,13,520
Hoppip,LV50,2,6,3,520
Hoppip,LV49,2,6,6,520
Hoppip,LV47.5,2,6,10,520
Hoppip,LV46.5,2,6,13,520
Hoppip,LV50,2,7,2,520
Hoppip,LV48.5,2,7,6,520
Hoppip,LV47.5,2,7,9,520
Hoppip,LV46.5,2,7,12,520
Hoppip,LV45.5,2,7,15,520
Hoppip,LV50,2,8,1,520
Hoppip,LV48.5,2,8,5,520
Hoppip,LV47.5,2,8,8,520
Hoppip,LV46,2,8,12,520
Hoppip,LV50,2,9,0,520
Hoppip,LV49.5,2,9,1,520
Hoppip,LV48.5,2,9,4,520
Hoppip,LV47,2,9,8,520
Hoppip,LV46,2,9,11,520
Hoppip,LV45,2,9,14,520
Hoppip,LV49.5,2,10,0,520
Hoppip,LV48,2,10,4,520
Hoppip,LV47,2,10,7,520
Hoppip,LV46,2,10,10,520
Hoppip,LV45,2,10,13,520
Hoppip,LV48,2,11,3,520
Hoppip,LV47,2,11,6,520
Hoppip,LV45.5,2,11,10,520
Hoppip,LV44.5,2,11,13,520
Hoppip,LV48,2,12,2,520
Hoppip,LV46.5,2,12,6,520
Hoppip,LV45.5,2,12,9,520
Hoppip,LV44.5,2,12,12,520
Hoppip,LV43.5,2,12,15,520
Hoppip,LV48,2,13,1,520
Hoppip,LV46.5,2,13,5,520
Hoppip,LV45.5,2,13,8,520
Hoppip,LV44.5,2,13,11,520
Hoppip,LV43.5,2,13,14,520
Hoppip,LV48,2,14,0,520
Hoppip,LV47.5,2,14,1,520
Hoppip,LV46.5,2,14,4,520
Hoppip,LV45.5,2,14,7,520
Hoppip,LV44,2,14,11,520
Hoppip,LV47.5,2,15,0,520
Hoppip,LV46.5,2,15,3,520
Hoppip,LV45,2,15,7,520
Hoppip,LV44,2,15,10,520
Hoppip,LV43,2,15,13,520
Hoppip,LV50,3,0,7,520
Hoppip,LV49,3,0,10,520
Hoppip,LV49.5,3,1,7,520
Hoppip,LV48.5,3,1,10,520
Hoppip,LV47.5,3,1,13,520
Hoppip,LV49.5,3,2,6,520
Hoppip,LV48,3,2,10,520
Hoppip,LV47,3,2,13,520
Hoppip,LV49,3,3,6,520
Hoppip,LV48,3,3,9,520
Hoppip,LV47,3,3,12,520
Hoppip,LV46,3,3,15,520
Hoppip,LV50,3,4,2,520
Hoppip,LV49,3,4,5,520
Hoppip,LV47.5,3,4,9,520
Hoppip,LV46.5,3,4,12,520
Hoppip,LV45.5,3,4,15,520
Hoppip,LV50,3,5,1,520
Hoppip,LV48.5,3,5,5,520
Hoppip,LV47.5,3,5,8,520
Hoppip,LV46.5,3,5,11,520
Hoppip,LV45.5,3,5,14,520
Hoppip,LV50,3,6,0,520
Hoppip,LV48.5,3,6,4,520
Hoppip,LV47,3,6,8,520
Hoppip,LV46,3,6,11,520
Hoppip,LV45,3,6,14,520
Hoppip,LV49.5,3,7,0,520
Hoppip,LV48.5,3,7,3,520
Hoppip,LV48,3,7,4,520
Hoppip,LV47,3,7,7,520
Hoppip,LV46,3,7,10,520
Hoppip,LV45,3,7,13,520
Hoppip,LV48,3,8,3,520
Hoppip,LV47,3,8,6,520
Hoppip,LV45.5,3,8,10,520
Hoppip,LV44.5,3,8,13,520
Hoppip,LV48,3,9,2,520
Hoppip,LV46.5,3,9,6,520
Hoppip,LV45.5,3,9,9,520
Hoppip,LV44.5,3,9,12,520
Hoppip,LV43.5,3,9,15,520
Hoppip,LV48,3,10,1,520
Hoppip,LV47.5,3,10,2,520
Hoppip,LV46.5,3,10,5,520
Hoppip,LV45.5,3,10,8,520
Hoppip,LV44.5,3,10,11,520
