Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Hydreigon,LV5.5,4,14,15,520
Hydreigon,LV5.5,4,15,14,520
Hydreigon,LV5.5,5,14,13,520
Hydreigon,LV5.5,5,15,12,520
Hydreigon,LV5.5,6,11,15,520
Hydreigon,LV5.5,6,12,14,520
Hydreigon,LV5.5,6,13,13,520
Hydreigon,LV5.5,6,14,12,520
Hydreigon,LV5.5,6,15,11,520
Hydreigon,LV5.5,7,11,13,520
Hydreigon,LV5.5,7,12,12,520
Hydreigon,LV5.5,7,13,11,520
Hydreigon,LV5.5,7,14,10,520
Hydreigon,LV5.5,7,15,9,520
Hydreigon,LV5.5,8,8,15,520
Hydreigon,LV5.5,8,9,14,520
Hydreigon,LV5.5,8,10,13,520
Hydreigon,LV5.5,8,11,12,520
Hydreigon,LV5.5,8,13,9,520
Hydreigon,LV5.5,8,14,8,520
Hydreigon,LV5.5,8,15,7,520
Hydreigon,LV5.5,9,8,13,520
Hydreigon,LV5.5,9,9,12,520
Hydreigon,LV5.5,9,10,11,520
Hydreigon,LV5.5,9,11,10,520
Hydreigon,LV5.5,9,12,9,520
Hydreigon,LV5.5,9,13,8,520
Hydreigon,LV5.5,9,14,7,520
Hydreigon,LV5.5,9,15,6,520
Hydreigon,LV5.5,10,5,15,520
Hydreigon,LV5.5,10,6,14,520
Hydreigon,LV5.5,10,7,13,520
Hydreigon,LV5.5,10,8,12,520
Hydreigon,LV5.5,10,10,9,520
Hydreigon,LV5.5,10,11,8,520
Hydreigon,LV5.5,10,12,7,520
Hydreigon,LV5.5,10,13,6,520
Hydreigon,LV5.5,10,14,5,520
Hydreigon,LV5.5,10,15,4,520
Hydreigon,LV5.5,11,4,15,520
Hydreigon,LV5.5,11,5,13,520
Hydreigon,LV5.5,11,6,12,520
Hydreigon,LV5.5,11,7,11,520
Hydreigon,LV5.5,11,8,10,520
Hydreigon,LV5.5,11,9,9,520
Hydreigon,LV5.5,11,10,8,520
Hydreigon,LV5.5,11,11,7,520
Hydreigon,LV5.5,11,15,2,520
Hydreigon,LV5.5,12,2,15,520
Hydreigon,LV5.5,12,3,14,520
Hydreigon,LV5.5,12,4,13,520
Hydreigon,LV5.5,12,5,12,520
Hydreigon,LV5.5,12,6,11,520
Hydreigon,LV5.5,12,8,8,520
Hydreigon,LV5.5,12,9,7,520
Hydreigon,LV5.5,12,10,6,520
Hydreigon,LV5.5,12,11,5,520
Hydreigon,LV5.5,12,12,4,520
Hydreigon,LV5.5,12,13,3,520
Hydreigon,LV5.5,12,14,2,520
Hydreigon,LV5.5,12,15,1,520
Hydreigon,LV5.5,13,1,15,520
Hydreigon,LV5.5,13,2,14,520
Hydreigon,LV5.5,13,3,12,520
Hydreigon,LV5.5,13,4,11,520
Hydreigon,LV5.5,13,5,10,520
Hydreigon,LV5.5,13,6,9,520
Hydreigon,LV5.5,13,7,8,520
Hydreigon,LV5.5,13,8,7,520
Hydreigon,LV5.5,13,9,6,520
Hydreigon,LV5.5,13,12,2,520
Hydreigon,LV5.5,13,13,1,520
Hydreigon,LV5.5,13,14,0,520
Hydreigon,LV5.5,14,0,14,520
Hydreigon,LV5.5,14,1,13,520
Hydreigon,LV5.5,14,2,12,520
Hydreigon,LV5.5,14,3,11,520
Hydreigon,LV5.5,14,4,10,520
Hydreigon,LV5.5,14,6,7,520
Hydreigon,LV5.5,14,7,6,520
Hydreigon,LV5.5,14,8,5,520
Hydreigon,LV5.5,14,9,4,520
Hydreigon,LV5.5,14,10,3,520
Hydreigon,LV5.5,14,11,2,520
Hydreigon,LV5.5,14,12,1,520
Hydreigon,LV5.5,14,13,0,520
Hydreigon,LV5.5,15,0,13,520
Hydreigon,LV5.5,15,2,10,520
Hydreigon,LV5.5,15,3,9,520
Hydreigon,LV5.5,15,4,8,520
Hydreigon,LV5.5,15,5,7,520
Hydreigon,LV5.5,15,6,6,520
Hydreigon,LV5.5,15,7,5,520
Hydreigon,LV5.5,15,10,1,520
Hydreigon,LV5.5,15,11,0,520
