Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Impidimp,LV30,0,0,1,520
Impidimp,LV29,0,0,10,520
Impidimp,LV28.5,0,0,15,520
Impidimp,LV29,0,1,8,520
Impidimp,LV28.5,0,1,13,520
Impidimp,LV29.5,0,2,2,520
Impidimp,LV28.5,0,2,11,520
Impidimp,LV29.5,0,3,0,520
Impidimp,LV28.5,0,3,9,520
Impidimp,LV28,0,3,14,520
Impidimp,LV28.5,0,4,7,520
Impidimp,LV28,0,4,12,520
Impidimp,LV29,0,5,1,520
Impidimp,LV28,0,5,10,520
Impidimp,LV28.5,0,7,2,520
Impidimp,LV28.5,0,8,0,520
Impidimp,LV28,0,8,5,520
Impidimp,LV27,0,8,15,520
Impidimp,LV28,0,9,3,520
Impidimp,LV27.5,0,9,8,520
Impidimp,LV27,0,9,13,520
Impidimp,LV27.5,0,10,6,520
Impidimp,LV27,0,10,11,520
Impidimp,LV28,0,11,0,520
Impidimp,LV26.5,0,11,15,520
Impidimp,LV27.5,0,12,3,520
Impidimp,LV27,0,12,8,520
Impidimp,LV26.5,0,12,13,520
Impidimp,LV27,0,13,6,520
Impidimp,LV26.5,0,13,11,520
Impidimp,LV26,0,14,15,520
Impidimp,LV27,0,15,3,520
Impidimp,LV26.5,0,15,8,520
Impidimp,LV26,0,15,13,520
Impidimp,LV29.5,1,0,3,520
Impidimp,LV29.5,1,1,1,520
Impidimp,LV29,1,3,2,520
Impidimp,LV29,1,4,0,520
Impidimp,LV28.5,1,5,3,520
Impidimp,LV28.5,1,6,1,520
Impidimp,LV28,1,6,6,520
Impidimp,LV28,1,7,4,520
Impidimp,LV27.5,1,7,9,520
Impidimp,LV27,1,7,14,520
Impidimp,LV27.5,1,8,7,520
Impidimp,LV27,1,8,12,520
Impidimp,LV26.5,1,10,14,520
Impidimp,LV27.5,1,11,2,520
Impidimp,LV27,1,11,7,520
Impidimp,LV26.5,1,11,12,520
Impidimp,LV27,1,12,5,520
Impidimp,LV26,1,13,14,520
Impidimp,LV27,1,14,2,520
Impidimp,LV26.5,1,14,7,520
Impidimp,LV26,1,14,12,520
Impidimp,LV29,2,0,5,520
Impidimp,LV29,2,1,3,520
Impidimp,LV29,2,2,1,520
Impidimp,LV28.5,2,2,6,520
Impidimp,LV28.5,2,3,4,520
Impidimp,LV28.5,2,4,2,520
Impidimp,LV28,2,4,7,520
Impidimp,LV27.5,2,4,12,520
Impidimp,LV28,2,5,5,520
Impidimp,LV27.5,2,5,10,520
Impidimp,LV27,2,5,15,520
Impidimp,LV28,2,6,3,520
Impidimp,LV27.5,2,6,8,520
Impidimp,LV27,2,6,13,520
Impidimp,LV27.5,2,7,6,520
Impidimp,LV28,2,8,0,520
Impidimp,LV27.5,2,9,3,520
Impidimp,LV26.5,2,9,13,520
Impidimp,LV27.5,2,10,1,520
Impidimp,LV27,2,10,6,520
Impidimp,LV26.5,2,10,11,520
Impidimp,LV26,2,12,13,520
Impidimp,LV27,2,13,1,520
Impidimp,LV26.5,2,13,6,520
Impidimp,LV26,2,13,11,520
Impidimp,LV25.5,2,14,15,520
Impidimp,LV26.5,2,15,3,520
Impidimp,LV26,2,15,8,520
Impidimp,LV25.5,2,15,13,520
Impidimp,LV28.5,3,0,7,520
Impidimp,LV28,3,0,12,520
Impidimp,LV28.5,3,1,5,520
Impidimp,LV28,3,1,10,520
Impidimp,LV27.5,3,1,15,520
Impidimp,LV28,3,2,8,520
Impidimp,LV27.5,3,2,13,520
Impidimp,LV28,3,3,6,520
Impidimp,LV27.5,3,3,11,520
Impidimp,LV27.5,3,4,9,520
Impidimp,LV27,3,4,14,520
Impidimp,LV28,3,6,1,520
Impidimp,LV26.5,3,7,14,520
Impidimp,LV27.5,3,8,2,520
Impidimp,LV27,3,8,7,520
Impidimp,LV26.5,3,8,12,520
Impidimp,LV27,3,9,5,520
Impidimp,LV26.5,3,9,10,520
Impidimp,LV26,3,10,14,520
Impidimp,LV27,3,11,2,520
Impidimp,LV26.5,3,11,7,520
Impidimp,LV26,3,11,12,520
Impidimp,LV27,3,12,0,520
Impidimp,LV26.5,3,12,5,520
Impidimp,LV25.5,3,13,14,520
Impidimp,LV26.5,3,14,2,520
Impidimp,LV26,3,14,7,520
Impidimp,LV29,4,0,0,520
Impidimp,LV28.5,4,2,1,520
Impidimp,LV28,4,4,2,520
Impidimp,LV28,4,5,0,520
Impidimp,LV27.5,4,5,5,520
Impidimp,LV26.5,4,5,15,520
Impidimp,LV27.5,4,6,3,520
Impidimp,LV27,4,6,8,520
Impidimp,LV26.5,4,6,13,520
Impidimp,LV27,4,7,6,520
Impidimp,LV26.5,4,7,11,520
Impidimp,LV26,4,8,15,520
Impidimp,LV26,4,9,13,520
Impidimp,LV27,4,10,1,520
Impidimp,LV26.5,4,10,6,520
Impidimp,LV26,4,10,11,520
Impidimp,LV25.5,4,11,15,520
Impidimp,LV25.5,4,12,13,520
Impidimp,LV26.5,4,13,1,520
Impidimp,LV26,4,13,6,520
Impidimp,LV25,4,14,15,520
Impidimp,LV26,4,15,3,520
Impidimp,LV25.5,4,15,8,520
Impidimp,LV28.5,5,0,2,520
Impidimp,LV28,5,0,7,520
Impidimp,LV27.5,5,0,12,520
Impidimp,LV28,5,1,5,520
Impidimp,LV27.5,5,1,10,520
Impidimp,LV27,5,1,15,520
Impidimp,LV28,5,2,3,520
Impidimp,LV27.5,5,2,8,520
Impidimp,LV27,5,2,13,520
Impidimp,LV28,5,3,1,520
Impidimp,LV27.5,5,3,6,520
Impidimp,LV27,5,3,11,520
Impidimp,LV27.5,5,4,4,520
Impidimp,LV27,5,4,9,520
Impidimp,LV26.5,5,4,14,520
Impidimp,LV27,5,5,7,520
Impidimp,LV26,5,7,14,520
Impidimp,LV27,5,8,2,520
Impidimp,LV26.5,5,8,7,520
