Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Jellicent,LV9,0,0,11,520
Jellicent,LV9,0,1,10,520
Jellicent,LV9,0,2,9,520
Jellicent,LV9,0,3,7,520
Jellicent,LV9,0,4,6,520
Jellicent,LV9,0,5,5,520
Jellicent,LV9,0,7,2,520
Jellicent,LV9,0,8,1,520
Jellicent,LV9,0,9,0,520
Jellicent,LV9,1,0,8,520
Jellicent,LV9,1,1,7,520
Jellicent,LV9,1,2,6,520
Jellicent,LV9,1,3,4,520
Jellicent,LV9,1,4,3,520
Jellicent,LV9,1,5,2,520
Jellicent,LV9,1,6,1,520
Jellicent,LV9,2,0,5,520
Jellicent,LV9,2,1,4,520
Jellicent,LV9,2,2,3,520
Jellicent,LV9,2,4,0,520
Jellicent,LV8.5,2,15,15,520
Jellicent,LV9,3,1,1,520
Jellicent,LV9,3,2,0,520
Jellicent,LV8.5,3,14,13,520
Jellicent,LV8.5,3,15,12,520
Jellicent,LV9,4,0,0,520
Jellicent,LV8.5,4,10,15,520
Jellicent,LV8.5,4,11,14,520
Jellicent,LV8.5,4,12,13,520
Jellicent,LV8.5,4,13,12,520
Jellicent,LV8.5,4,14,10,520
Jellicent,LV8.5,4,15,9,520
Jellicent,LV8.5,5,8,15,520
Jellicent,LV8.5,5,9,14,520
Jellicent,LV8.5,5,10,12,520
Jellicent,LV8.5,5,11,11,520
Jellicent,LV8.5,5,12,10,520
Jellicent,LV8.5,5,13,9,520
Jellicent,LV8.5,5,15,6,520
Jellicent,LV8.5,6,6,15,520
Jellicent,LV8.5,6,7,13,520
Jellicent,LV8.5,6,8,12,520
Jellicent,LV8.5,6,9,11,520
Jellicent,LV8.5,6,11,8,520
Jellicent,LV8.5,6,12,7,520
Jellicent,LV8.5,6,13,6,520
Jellicent,LV8.5,6,14,5,520
Jellicent,LV8.5,7,4,14,520
Jellicent,LV8.5,7,5,13,520
Jellicent,LV8.5,7,6,12,520
Jellicent,LV8.5,7,8,9,520
Jellicent,LV8.5,7,9,8,520
Jellicent,LV8.5,7,10,7,520
Jellicent,LV8.5,7,12,4,520
Jellicent,LV8.5,7,13,3,520
Jellicent,LV8.5,7,14,2,520
Jellicent,LV8.5,7,15,1,520
Jellicent,LV8.5,8,2,14,520
Jellicent,LV8.5,8,3,13,520
Jellicent,LV8.5,8,5,10,520
Jellicent,LV8.5,8,6,9,520
Jellicent,LV8.5,8,7,8,520
Jellicent,LV8.5,8,8,6,520
Jellicent,LV8.5,8,9,5,520
Jellicent,LV8.5,8,10,4,520
Jellicent,LV8.5,8,11,3,520
Jellicent,LV8.5,8,13,0,520
Jellicent,LV8.5,9,0,14,520
Jellicent,LV8.5,9,1,13,520
Jellicent,LV8.5,9,2,11,520
Jellicent,LV8.5,9,3,10,520
Jellicent,LV8.5,9,4,9,520
Jellicent,LV8.5,9,5,7,520
Jellicent,LV8.5,9,6,6,520
Jellicent,LV8.5,9,7,5,520
Jellicent,LV8.5,9,8,4,520
Jellicent,LV8.5,9,10,1,520
Jellicent,LV8.5,9,11,0,520
Jellicent,LV8.5,10,0,11,520
Jellicent,LV8.5,10,1,10,520
Jellicent,LV8.5,10,3,7,520
Jellicent,LV8.5,10,4,6,520
Jellicent,LV8.5,10,5,5,520
Jellicent,LV8.5,10,6,3,520
Jellicent,LV8.5,10,7,2,520
Jellicent,LV8.5,10,8,1,520
Jellicent,LV8.5,10,9,0,520
Jellicent,LV8.5,11,0,8,520
Jellicent,LV8.5,11,1,7,520
Jellicent,LV8.5,11,2,6,520
Jellicent,LV8.5,11,4,3,520
Jellicent,LV8.5,11,5,2,520
Jellicent,LV8.5,11,6,1,520
Jellicent,LV8.5,12,0,6,520
Jellicent,LV8.5,12,1,4,520
Jellicent,LV8.5,12,2,3,520
Jellicent,LV8.5,12,3,2,520
Jellicent,LV8.5,12,4,1,520
Jellicent,LV8.5,13,0,3,520
Jellicent,LV8.5,13,1,2,520
Jellicent,LV8.5,13,2,0,520
Jellicent,LV8,13,15,14,520
Jellicent,LV8.5,14,0,0,520
Jellicent,LV8,14,12,15,520
Jellicent,LV8,14,13,14,520
Jellicent,LV8,14,14,13,520
Jellicent,LV8,14,15,12,520
Jellicent,LV8,15,10,15,520
Jellicent,LV8,15,11,14,520
Jellicent,LV8,15,12,13,520
Jellicent,LV8,15,13,11,520
Jellicent,LV8,15,14,10,520
Jellicent,LV8,15,15,9,520
