Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Kabuto,LV16.5,0,0,0,520
Kabuto,LV16,0,2,5,520
Kabuto,LV15.5,0,2,12,520
Kabuto,LV16,0,3,4,520
Kabuto,LV15.5,0,3,11,520
Kabuto,LV16,0,6,2,520
Kabuto,LV15.5,0,7,8,520
Kabuto,LV16,0,9,0,520
Kabuto,LV15,0,9,14,520
Kabuto,LV15,0,10,13,520
Kabuto,LV15.5,0,11,5,520
Kabuto,LV15,0,13,11,520
Kabuto,LV15.5,0,14,3,520
Kabuto,LV15,0,14,10,520
Kabuto,LV16,1,0,5,520
Kabuto,LV15.5,1,0,12,520
Kabuto,LV16,1,1,4,520
Kabuto,LV15.5,1,1,11,520
Kabuto,LV16,1,4,2,520
Kabuto,LV15.5,1,5,8,520
Kabuto,LV16,1,7,0,520
Kabuto,LV15,1,7,14,520
Kabuto,LV15,1,8,13,520
Kabuto,LV15.5,1,9,5,520
Kabuto,LV15.5,1,12,3,520
Kabuto,LV15,1,12,10,520
Kabuto,LV15.5,1,15,1,520
Kabuto,LV15,1,15,8,520
Kabuto,LV16,2,2,2,520
Kabuto,LV15.5,2,2,9,520
Kabuto,LV15.5,2,3,8,520
Kabuto,LV16,2,5,0,520
Kabuto,LV15,2,5,14,520
Kabuto,LV15,2,6,13,520
Kabuto,LV15.5,2,7,5,520
Kabuto,LV15.5,2,10,3,520
Kabuto,LV15,2,10,10,520
Kabuto,LV15.5,2,13,1,520
Kabuto,LV15,2,13,8,520
Kabuto,LV15.5,2,14,0,520
Kabuto,LV15,2,14,7,520
Kabuto,LV14.5,2,15,14,520
Kabuto,LV16,3,0,2,520
Kabuto,LV15.5,3,0,9,520
Kabuto,LV15.5,3,1,8,520
Kabuto,LV16,3,3,0,520
Kabuto,LV15,3,3,14,520
Kabuto,LV15.5,3,4,6,520
Kabuto,LV15,3,4,13,520
Kabuto,LV15.5,3,5,5,520
Kabuto,LV15,3,7,11,520
Kabuto,LV15.5,3,8,3,520
Kabuto,LV15,3,8,10,520
Kabuto,LV15.5,3,11,1,520
Kabuto,LV15,3,11,8,520
Kabuto,LV15.5,3,12,0,520
Kabuto,LV15,3,12,7,520
Kabuto,LV14.5,3,13,14,520
Kabuto,LV14.5,3,14,13,520
Kabuto,LV15,3,15,5,520
Kabuto,LV15,4,0,15,520
Kabuto,LV16,4,1,0,520
Kabuto,LV15,4,1,14,520
Kabuto,LV15.5,4,2,6,520
Kabuto,LV15.5,4,3,5,520
Kabuto,LV15,4,5,11,520
Kabuto,LV15.5,4,6,3,520
Kabuto,LV15,4,6,10,520
Kabuto,LV15.5,4,9,1,520
Kabuto,LV15,4,9,8,520
Kabuto,LV15.5,4,10,0,520
Kabuto,LV15,4,10,7,520
Kabuto,LV14.5,4,11,14,520
Kabuto,LV14.5,4,12,13,520
Kabuto,LV15,4,13,5,520
Kabuto,LV14.5,4,15,11,520
Kabuto,LV15.5,5,0,6,520
Kabuto,LV15,5,3,11,520
Kabuto,LV15.5,5,4,3,520
Kabuto,LV15,5,4,10,520
Kabuto,LV15.5,5,7,1,520
Kabuto,LV15,5,7,8,520
Kabuto,LV15,5,8,7,520
Kabuto,LV14.5,5,9,14,520
Kabuto,LV14.5,5,10,13,520
Kabuto,LV15,5,11,5,520
Kabuto,LV14.5,5,13,11,520
Kabuto,LV15,5,14,3,520
Kabuto,LV15,5,15,2,520
Kabuto,LV15,6,0,12,520
Kabuto,LV15.5,6,1,4,520
Kabuto,LV15,6,1,11,520
Kabuto,LV15.5,6,2,3,520
Kabuto,LV15.5,6,5,1,520
Kabuto,LV15,6,5,8,520
Kabuto,LV15,6,6,7,520
Kabuto,LV14.5,6,6,15,520
Kabuto,LV14.5,6,7,14,520
Kabuto,LV15,6,9,5,520
Kabuto,LV14.5,6,11,11,520
Kabuto,LV15,6,12,3,520
Kabuto,LV15,6,13,2,520
Kabuto,LV15,6,15,1,520
Kabuto,LV14.5,6,15,8,520
Kabuto,LV15,7,2,9,520
Kabuto,LV15.5,7,3,1,520
Kabuto,LV15,7,3,8,520
Kabuto,LV14.5,7,4,15,520
Kabuto,LV14.5,7,5,14,520
Kabuto,LV15,7,7,5,520
Kabuto,LV14.5,7,9,11,520
Kabuto,LV15,7,10,3,520
Kabuto,LV15,7,13,1,520
Kabuto,LV14.5,7,13,8,520
Kabuto,LV15,7,14,0,520
Kabuto,LV15.5,8,0,2,520
Kabuto,LV15,8,0,9,520
Kabuto,LV15.5,8,1,1,520
Kabuto,LV15,8,1,8,520
Kabuto,LV14.5,8,2,15,520
Kabuto,LV15,8,4,6,520
Kabuto,LV15,8,5,5,520
Kabuto,LV14.5,8,6,12,520
Kabuto,LV14.5,8,7,11,520
Kabuto,LV15,8,8,3,520
Kabuto,LV14.5,8,10,9,520
Kabuto,LV15,8,11,1,520
Kabuto,LV14.5,8,11,8,520
Kabuto,LV14.5,8,14,6,520
Kabuto,LV14,8,14,14,520
Kabuto,LV14,8,15,13,520
Kabuto,LV15.5,9,1,0,520
Kabuto,LV15,9,2,6,520
Kabuto,LV14.5,9,4,12,520
Kabuto,LV14.5,9,5,11,520
Kabuto,LV15,9,6,3,520
Kabuto,LV14.5,9,8,9,520
Kabuto,LV15,9,9,1,520
Kabuto,LV14.5,9,9,8,520
Kabuto,LV14.5,9,12,6,520
Kabuto,LV14,9,12,14,520
Kabuto,LV14,9,13,13,520
Kabuto,LV14.5,9,15,4,520
Kabuto,LV15,10,0,6,520
Kabuto,LV14.5,10,1,13,520
Kabuto,LV14.5,10,2,12,520
Kabuto,LV15,10,3,4,520
Kabuto,LV15,10,4,3,520
Kabuto,LV14.5,10,6,9,520
Kabuto,LV15,10,7,1,520
Kabuto,LV14.5,10,10,6,520
Kabuto,LV14,10,10,14,520
Kabuto,LV14,10,11,13,520
Kabuto,LV14.5,10,13,4,520
Kabuto,LV14,10,14,11,520
Kabuto,LV14,10,15,10,520
Kabuto,LV15,11,0,5,520
Kabuto,LV15,11,1,4,520
Kabuto,LV14.5,11,3,10,520
Kabuto,LV15,11,4,2,520
Kabuto,LV14.5,11,4,9,520
Kabuto,LV15,11,5,1,520
Kabuto,LV14.5,11,7,7,520
Kabuto,LV14.5,11,8,6,520
Kabuto,LV14,11,8,14,520
Kabuto,LV14,11,9,13,520
Kabuto,LV14.5,11,11,4,520
Kabuto,LV14,11,12,11,520
Kabuto,LV14,11,13,10,520
Kabuto,LV14.5,11,14,2,520
Kabuto,LV14.5,12,0,11,520
Kabuto,LV14.5,12,1,10,520
Kabuto,LV15,12,2,2,520
Kabuto,LV15,12,5,0,520
Kabuto,LV14.5,12,5,7,520
Kabuto,LV14,12,5,15,520
Kabuto,LV14,12,6,14,520
Kabuto,LV14.5,12,9,4,520
Kabuto,LV14,12,10,11,520
Kabuto,LV14.5,12,12,2,520
Kabuto,LV14,12,13,9,520
Kabuto,LV14,12,14,8,520
Kabuto,LV14.5,12,15,0,520
Kabuto,LV15,13,0,2,520
Kabuto,LV14.5,13,2,8,520
Kabuto,LV15,13,3,0,520
Kabuto,LV14.5,13,3,7,520
Kabuto,LV14,13,3,15,520
Kabuto,LV14.5,13,6,5,520
Kabuto,LV14.5,13,7,4,520
Kabuto,LV14,13,7,12,520
Kabuto,LV14,13,8,11,520
Kabuto,LV14.5,13,10,2,520
Kabuto,LV14,13,11,9,520
Kabuto,LV14,13,12,8,520
Kabuto,LV14.5,13,13,0,520
Kabuto,LV13.5,13,14,15,520
Kabuto,LV14,13,15,6,520
Kabuto,LV13.5,13,15,14,520
Kabuto,LV15,14,0,1,520
Kabuto,LV14.5,14,0,8,520
Kabuto,LV15,14,1,0,520
Kabuto,LV14.5,14,3,6,520
Kabuto,LV14.5,14,4,5,520
Kabuto,LV14,14,4,13,520
Kabuto,LV14,14,5,12,520
Kabuto,LV14.5,14,7,3,520
Kabuto,LV14.5,14,8,2,520
Kabuto,LV14,14,9,9,520
Kabuto,LV14.5,14,11,0,520
Kabuto,LV13.5,14,12,15,520
Kabuto,LV14,14,13,6,520
Kabuto,LV14.5,15,1,6,520
Kabuto,LV14,15,1,14,520
Kabuto,LV14,15,2,13,520
Kabuto,LV14.5,15,5,3,520
Kabuto,LV14,15,6,10,520
Kabuto,LV14,15,7,9,520
Kabuto,LV14.5,15,8,1,520
Kabuto,LV14.5,15,9,0,520
Kabuto,LV14,15,10,7,520
Kabuto,LV13.5,15,10,15,520
Kabuto,LV14,15,11,6,520
Kabuto,LV13.5,15,13,13,520
Kabuto,LV14,15,14,4,520
Kabuto,LV13.5,15,14,12,520
