Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Karrablast,LV19.5,0,0,0,520
Karrablast,LV18.5,0,0,15,520
Karrablast,LV19,0,2,4,520
Karrablast,LV18.5,0,2,12,520
Karrablast,LV18.5,0,3,10,520
Karrablast,LV19,0,4,1,520
Karrablast,LV18.5,0,5,7,520
Karrablast,LV18,0,5,15,520
Karrablast,LV18.5,0,7,4,520
Karrablast,LV18,0,7,12,520
Karrablast,LV18,0,8,10,520
Karrablast,LV18.5,0,9,1,520
Karrablast,LV18,0,9,9,520
Karrablast,LV18,0,10,7,520
Karrablast,LV18,0,11,6,520
Karrablast,LV17.5,0,11,14,520
Karrablast,LV18,0,13,3,520
Karrablast,LV17.5,0,13,11,520
Karrablast,LV18,0,15,0,520
Karrablast,LV17.5,0,15,8,520
Karrablast,LV19,1,0,5,520
Karrablast,LV18.5,1,0,13,520
Karrablast,LV19,1,2,2,520
Karrablast,LV18.5,1,3,8,520
Karrablast,LV18.5,1,5,5,520
Karrablast,LV18,1,5,13,520
Karrablast,LV18,1,6,11,520
Karrablast,LV18.5,1,7,2,520
Karrablast,LV18,1,8,8,520
Karrablast,LV17.5,1,9,15,520
Karrablast,LV18,1,10,5,520
Karrablast,LV17.5,1,11,12,520
Karrablast,LV18,1,13,1,520
Karrablast,LV17.5,1,13,9,520
Karrablast,LV17.5,1,15,6,520
Karrablast,LV19,2,0,3,520
Karrablast,LV18.5,2,0,11,520
Karrablast,LV18.5,2,1,9,520
Karrablast,LV19,2,2,0,520
Karrablast,LV18.5,2,3,6,520
Karrablast,LV18,2,3,14,520
Karrablast,LV18.5,2,5,3,520
Karrablast,LV18,2,5,11,520
Karrablast,LV18,2,6,9,520
Karrablast,LV18.5,2,7,0,520
Karrablast,LV18,2,8,6,520
Karrablast,LV17.5,2,9,13,520
Karrablast,LV18,2,10,3,520
Karrablast,LV17.5,2,10,11,520
Karrablast,LV17.5,2,12,8,520
Karrablast,LV17.5,2,13,7,520
Karrablast,LV17,2,14,14,520
Karrablast,LV17.5,2,15,4,520
Karrablast,LV19,3,0,1,520
Karrablast,LV18.5,3,0,9,520
Karrablast,LV18.5,3,1,7,520
Karrablast,LV18,3,1,15,520
Karrablast,LV18.5,3,3,4,520
Karrablast,LV18,3,3,12,520
Karrablast,LV18,3,4,10,520
Karrablast,LV18.5,3,5,1,520
Karrablast,LV18,3,6,7,520
Karrablast,LV17.5,3,7,14,520
Karrablast,LV18,3,8,4,520
Karrablast,LV17.5,3,8,12,520
Karrablast,LV18,3,10,1,520
Karrablast,LV17.5,3,10,9,520
Karrablast,LV17.5,3,12,6,520
Karrablast,LV17.5,3,13,5,520
Karrablast,LV17,3,13,13,520
Karrablast,LV17.5,3,15,2,520
Karrablast,LV17,3,15,10,520
Karrablast,LV18,4,0,15,520
