Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Kecleon,LV10.5,0,2,1,520
Kecleon,LV10.5,0,3,0,520
Kecleon,LV10,0,4,15,520
Kecleon,LV10,0,5,14,520
Kecleon,LV10,0,6,13,520
Kecleon,LV10,0,10,10,520
Kecleon,LV10,0,11,9,520
Kecleon,LV10,0,12,8,520
Kecleon,LV10,0,15,6,520
Kecleon,LV10,1,3,14,520
Kecleon,LV10,1,4,13,520
Kecleon,LV10,1,5,12,520
Kecleon,LV10,1,6,11,520
Kecleon,LV10,1,7,10,520
Kecleon,LV10,1,10,8,520
Kecleon,LV10,1,11,7,520
Kecleon,LV10,1,12,6,520
Kecleon,LV10,1,15,4,520
Kecleon,LV10,2,0,14,520
Kecleon,LV10,2,4,11,520
Kecleon,LV10,2,5,10,520
Kecleon,LV10,2,6,9,520
Kecleon,LV10,2,7,8,520
Kecleon,LV10,2,10,6,520
Kecleon,LV10,2,11,5,520
Kecleon,LV10,2,12,4,520
Kecleon,LV10,2,15,2,520
Kecleon,LV10,3,0,12,520
Kecleon,LV10,3,4,9,520
Kecleon,LV10,3,5,8,520
Kecleon,LV10,3,6,7,520
Kecleon,LV10,3,7,6,520
Kecleon,LV10,3,10,4,520
Kecleon,LV10,3,11,3,520
Kecleon,LV10,3,12,2,520
Kecleon,LV10,3,14,1,520
Kecleon,LV10,3,15,0,520
Kecleon,LV10,4,0,10,520
Kecleon,LV10,4,4,7,520
Kecleon,LV10,4,5,6,520
Kecleon,LV10,4,6,5,520
Kecleon,LV10,4,9,3,520
Kecleon,LV10,4,10,2,520
Kecleon,LV10,4,11,1,520
Kecleon,LV10,5,0,8,520
Kecleon,LV10,5,3,6,520
Kecleon,LV10,5,4,5,520
Kecleon,LV10,5,5,4,520
Kecleon,LV10,5,6,3,520
Kecleon,LV10,5,9,1,520
Kecleon,LV10,5,10,0,520
Kecleon,LV9.5,5,13,15,520
Kecleon,LV10,6,0,6,520
Kecleon,LV10,6,3,4,520
Kecleon,LV10,6,4,3,520
Kecleon,LV10,6,5,2,520
Kecleon,LV10,6,8,0,520
Kecleon,LV9.5,6,11,15,520
Kecleon,LV9.5,6,12,14,520
Kecleon,LV9.5,6,13,13,520
Kecleon,LV10,7,2,3,520
Kecleon,LV10,7,3,2,520
Kecleon,LV10,7,4,1,520
Kecleon,LV10,7,5,0,520
Kecleon,LV9.5,7,10,14,520
Kecleon,LV9.5,7,11,13,520
Kecleon,LV9.5,7,12,12,520
Kecleon,LV9.5,7,13,11,520
Kecleon,LV10,8,2,1,520
Kecleon,LV10,8,3,0,520
Kecleon,LV9.5,8,6,15,520
Kecleon,LV9.5,8,7,14,520
Kecleon,LV9.5,8,10,12,520
Kecleon,LV9.5,8,11,11,520
Kecleon,LV9.5,8,12,10,520
Kecleon,LV9.5,8,13,9,520
Kecleon,LV10,9,1,0,520
Kecleon,LV9.5,9,4,15,520
Kecleon,LV9.5,9,5,14,520
Kecleon,LV9.5,9,6,13,520
Kecleon,LV9.5,9,7,12,520
Kecleon,LV9.5,9,10,10,520
Kecleon,LV9.5,9,11,9,520
Kecleon,LV9.5,9,12,8,520
Kecleon,LV9.5,9,15,6,520
Kecleon,LV9.5,10,2,15,520
Kecleon,LV9.5,10,3,14,520
Kecleon,LV9.5,10,4,13,520
Kecleon,LV9.5,10,5,12,520
Kecleon,LV9.5,10,6,11,520
Kecleon,LV9.5,10,10,8,520
Kecleon,LV9.5,10,11,7,520
Kecleon,LV9.5,10,12,6,520
Kecleon,LV9.5,10,15,4,520
Kecleon,LV9.5,11,2,13,520
Kecleon,LV9.5,11,3,12,520
Kecleon,LV9.5,11,4,11,520
Kecleon,LV9.5,11,5,10,520
Kecleon,LV9.5,11,6,9,520
Kecleon,LV9.5,11,9,7,520
Kecleon,LV9.5,11,10,6,520
Kecleon,LV9.5,11,11,5,520
Kecleon,LV9.5,11,14,3,520
Kecleon,LV9.5,11,15,2,520
Kecleon,LV9.5,12,2,11,520
Kecleon,LV9.5,12,3,10,520
Kecleon,LV9.5,12,4,9,520
Kecleon,LV9.5,12,5,8,520
Kecleon,LV9.5,12,8,6,520
Kecleon,LV9.5,12,9,5,520
Kecleon,LV9.5,12,10,4,520
Kecleon,LV9.5,12,13,2,520
Kecleon,LV9.5,12,14,1,520
Kecleon,LV9.5,12,15,0,520
Kecleon,LV9.5,13,1,10,520
Kecleon,LV9.5,13,2,9,520
Kecleon,LV9.5,13,3,8,520
Kecleon,LV9.5,13,4,7,520
Kecleon,LV9.5,13,7,5,520
Kecleon,LV9.5,13,8,4,520
Kecleon,LV9.5,13,9,3,520
Kecleon,LV9.5,13,10,2,520
Kecleon,LV9.5,13,12,1,520
Kecleon,LV9.5,13,13,0,520
Kecleon,LV9.5,14,0,9,520
Kecleon,LV9.5,14,1,8,520
Kecleon,LV9.5,14,2,7,520
Kecleon,LV9.5,14,3,6,520
Kecleon,LV9.5,14,7,3,520
Kecleon,LV9.5,14,8,2,520
Kecleon,LV9.5,14,9,1,520
Kecleon,LV9.5,14,11,0,520
Kecleon,LV9,14,15,15,520
Kecleon,LV9.5,15,0,7,520
Kecleon,LV9.5,15,1,6,520
Kecleon,LV9.5,15,2,5,520
Kecleon,LV9.5,15,5,3,520
Kecleon,LV9.5,15,6,2,520
Kecleon,LV9.5,15,7,1,520
Kecleon,LV9.5,15,8,0,520
Kecleon,LV9,15,13,15,520
Kecleon,LV9,15,14,14,520
Kecleon,LV9,15,15,13,520
