Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Kirlia,LV24,0,0,4,520
Kirlia,LV23.5,0,0,9,520
Kirlia,LV23,0,1,13,520
Kirlia,LV24,0,3,0,520
Kirlia,LV23.5,0,3,5,520
Kirlia,LV23,0,4,9,520
Kirlia,LV22.5,0,5,13,520
Kirlia,LV22.5,0,6,12,520
Kirlia,LV23.5,0,7,0,520
Kirlia,LV23,0,7,5,520
Kirlia,LV23,0,8,4,520
Kirlia,LV22,0,8,15,520
Kirlia,LV22.5,0,9,8,520
Kirlia,LV22.5,0,10,7,520
Kirlia,LV22,0,11,11,520
Kirlia,LV22,0,12,10,520
Kirlia,LV22.5,0,13,3,520
Kirlia,LV22.5,0,14,2,520
Kirlia,LV22.5,0,15,1,520
Kirlia,LV21.5,0,15,12,520
Kirlia,LV24,1,0,2,520
Kirlia,LV23.5,1,0,7,520
Kirlia,LV23,1,1,11,520
Kirlia,LV22.5,1,2,15,520
Kirlia,LV23.5,1,3,3,520
Kirlia,LV23,1,3,8,520
Kirlia,LV22.5,1,3,14,520
Kirlia,LV23,1,4,7,520
Kirlia,LV22.5,1,5,11,520
Kirlia,LV23,1,7,3,520
Kirlia,LV22,1,7,14,520
Kirlia,LV23,1,8,2,520
Kirlia,LV22.5,1,8,7,520
Kirlia,LV22,1,8,13,520
Kirlia,LV22.5,1,9,6,520
Kirlia,LV22,1,11,9,520
Kirlia,LV21.5,1,11,15,520
Kirlia,LV22,1,12,8,520
Kirlia,LV22.5,1,13,1,520
Kirlia,LV22.5,1,14,0,520
Kirlia,LV21.5,1,14,11,520
Kirlia,LV21.5,1,15,10,520
Kirlia,LV24,2,0,0,520
Kirlia,LV23.5,2,0,5,520
Kirlia,LV23,2,0,10,520
Kirlia,LV23,2,1,9,520
Kirlia,LV22.5,2,2,13,520
Kirlia,LV23.5,2,3,1,520
Kirlia,LV23,2,3,6,520
Kirlia,LV23,2,4,5,520
Kirlia,LV22.5,2,5,9,520
Kirlia,LV23,2,7,1,520
Kirlia,LV22,2,7,12,520
