Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Klang,LV11.5,0,0,9,520
Klang,LV11.5,0,1,8,520
Klang,LV11.5,0,6,4,520
Klang,LV11.5,0,7,3,520
Klang,LV11.5,0,8,2,520
Klang,LV11.5,0,9,1,520
Klang,LV11,0,10,15,520
Klang,LV11,0,11,14,520
Klang,LV11,0,12,13,520
Klang,LV11,0,13,12,520
Klang,LV11,0,14,11,520
Klang,LV11,0,15,10,520
Klang,LV11.5,1,0,7,520
Klang,LV11.5,1,1,6,520
Klang,LV11.5,1,2,5,520
Klang,LV11.5,1,7,1,520
Klang,LV11,1,7,15,520
Klang,LV11.5,1,8,0,520
Klang,LV11,1,12,11,520
Klang,LV11,1,13,10,520
Klang,LV11,1,14,9,520
Klang,LV11,1,15,8,520
Klang,LV11.5,2,0,5,520
Klang,LV11.5,2,1,4,520
Klang,LV11.5,2,2,3,520
Klang,LV11.5,2,3,2,520
Klang,LV11,2,5,15,520
Klang,LV11,2,6,14,520
Klang,LV11,2,7,13,520
Klang,LV11,2,8,12,520
Klang,LV11,2,9,11,520
Klang,LV11,2,10,10,520
Klang,LV11,2,14,7,520
Klang,LV11,2,15,6,520
Klang,LV11.5,3,0,3,520
Klang,LV11.5,3,1,2,520
Klang,LV11.5,3,2,1,520
Klang,LV11.5,3,3,0,520
Klang,LV11,3,5,13,520
Klang,LV11,3,6,12,520
Klang,LV11,3,7,11,520
Klang,LV11,3,8,10,520
Klang,LV11,3,9,9,520
Klang,LV11,3,10,8,520
Klang,LV11,3,11,7,520
Klang,LV11,3,15,4,520
Klang,LV11.5,4,0,1,520
Klang,LV11,4,0,15,520
Klang,LV11.5,4,1,0,520
Klang,LV11,4,7,9,520
Klang,LV11,4,8,8,520
Klang,LV11,4,9,7,520
Klang,LV11,4,10,6,520
Klang,LV11,4,11,5,520
Klang,LV11,4,15,2,520
Klang,LV11,5,0,13,520
Klang,LV11,5,1,12,520
Klang,LV11,5,2,11,520
Klang,LV11,5,3,10,520
Klang,LV11,5,8,6,520
Klang,LV11,5,9,5,520
Klang,LV11,5,10,4,520
Klang,LV11,5,11,3,520
Klang,LV11,5,12,2,520
Klang,LV11,5,15,0,520
Klang,LV10.5,5,15,15,520
Klang,LV11,6,0,11,520
Klang,LV11,6,1,10,520
Klang,LV11,6,2,9,520
Klang,LV11,6,3,8,520
Klang,LV11,6,4,7,520
Klang,LV11,6,9,3,520
Klang,LV11,6,10,2,520
Klang,LV11,6,11,1,520
Klang,LV11,6,12,0,520
Klang,LV11,7,0,9,520
Klang,LV11,7,1,8,520
Klang,LV11,7,2,7,520
Klang,LV11,7,3,6,520
Klang,LV11,7,4,5,520
Klang,LV11,7,5,4,520
Klang,LV11,7,9,1,520
Klang,LV11,7,10,0,520
Klang,LV10.5,7,10,15,520
Klang,LV10.5,7,11,14,520
Klang,LV10.5,7,12,13,520
Klang,LV10.5,7,13,12,520
Klang,LV11,8,0,7,520
Klang,LV11,8,1,6,520
Klang,LV11,8,2,5,520
Klang,LV11,8,3,4,520
Klang,LV11,8,4,3,520
Klang,LV11,8,5,2,520
Klang,LV10.5,8,8,15,520
Klang,LV10.5,8,9,14,520
Klang,LV10.5,8,10,13,520
Klang,LV10.5,8,11,12,520
Klang,LV10.5,8,12,11,520
Klang,LV10.5,8,13,10,520
Klang,LV11,9,0,5,520
Klang,LV11,9,1,4,520
Klang,LV11,9,2,3,520
Klang,LV11,9,3,2,520
Klang,LV11,9,4,1,520
Klang,LV11,9,5,0,520
Klang,LV10.5,9,9,12,520
Klang,LV10.5,9,10,11,520
Klang,LV10.5,9,11,10,520
Klang,LV10.5,9,12,9,520
Klang,LV10.5,9,13,8,520
Klang,LV10.5,9,14,7,520
Klang,LV11,10,0,3,520
Klang,LV11,10,1,2,520
Klang,LV11,10,2,1,520
Klang,LV11,10,3,0,520
Klang,LV10.5,10,3,15,520
Klang,LV10.5,10,4,14,520
Klang,LV10.5,10,5,13,520
Klang,LV10.5,10,10,9,520
Klang,LV10.5,10,11,8,520
Klang,LV10.5,10,12,7,520
Klang,LV10.5,10,13,6,520
Klang,LV10.5,10,14,5,520
Klang,LV11,11,0,1,520
Klang,LV11,11,1,0,520
Klang,LV10.5,11,1,15,520
Klang,LV10.5,11,2,14,520
Klang,LV10.5,11,3,13,520
Klang,LV10.5,11,4,12,520
Klang,LV10.5,11,5,11,520
Klang,LV10.5,11,6,10,520
Klang,LV10.5,11,10,7,520
Klang,LV10.5,11,11,6,520
Klang,LV10.5,11,12,5,520
Klang,LV10.5,11,13,4,520
Klang,LV10.5,11,14,3,520
Klang,LV10.5,12,0,14,520
Klang,LV10.5,12,1,13,520
Klang,LV10.5,12,2,12,520
Klang,LV10.5,12,3,11,520
Klang,LV10.5,12,4,10,520
Klang,LV10.5,12,5,9,520
Klang,LV10.5,12,6,8,520
Klang,LV10.5,12,10,5,520
Klang,LV10.5,12,11,4,520
Klang,LV10.5,12,12,3,520
Klang,LV10.5,12,13,2,520
Klang,LV10.5,13,0,12,520
Klang,LV10.5,13,1,11,520
Klang,LV10.5,13,2,10,520
Klang,LV10.5,13,3,9,520
Klang,LV10.5,13,4,8,520
Klang,LV10.5,13,5,7,520
Klang,LV10.5,13,6,6,520
Klang,LV10.5,13,10,3,520
Klang,LV10.5,13,11,2,520
Klang,LV10.5,13,12,1,520
Klang,LV10.5,13,13,0,520
Klang,LV10,13,14,15,520
Klang,LV10,13,15,14,520
Klang,LV10.5,14,0,10,520
Klang,LV10.5,14,1,9,520
Klang,LV10.5,14,2,8,520
Klang,LV10.5,14,3,7,520
Klang,LV10.5,14,4,6,520
Klang,LV10.5,14,5,5,520
Klang,LV10.5,14,6,4,520
Klang,LV10.5,14,10,1,520
Klang,LV10.5,14,11,0,520
Klang,LV10,14,12,15,520
Klang,LV10,14,13,14,520
Klang,LV10,14,14,13,520
Klang,LV10,14,15,12,520
Klang,LV10.5,15,0,8,520
Klang,LV10.5,15,1,7,520
Klang,LV10.5,15,2,6,520
Klang,LV10.5,15,3,5,520
Klang,LV10.5,15,4,4,520
Klang,LV10.5,15,5,3,520
Klang,LV10.5,15,9,0,520
Klang,LV10,15,10,15,520
Klang,LV10,15,11,14,520
Klang,LV10,15,12,13,520
Klang,LV10,15,13,12,520
Klang,LV10,15,14,11,520
Klang,LV10,15,15,10,520
