Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Klink,LV24.5,0,0,2,520
Klink,LV24,0,0,7,520
Klink,LV24.5,0,1,1,520
Klink,LV24,0,1,6,520
Klink,LV24.5,0,2,0,520
Klink,LV24,0,2,5,520
Klink,LV24,0,3,4,520
Klink,LV23,0,3,15,520
Klink,LV24,0,4,3,520
Klink,LV23,0,4,14,520
Klink,LV24,0,5,2,520
Klink,LV23,0,5,13,520
Klink,LV24,0,6,1,520
Klink,LV23,0,6,12,520
Klink,LV24,0,7,0,520
Klink,LV23,0,7,11,520
Klink,LV23,0,8,10,520
Klink,LV23,0,9,9,520
Klink,LV23,0,10,8,520
Klink,LV23,0,11,7,520
Klink,LV23,0,12,6,520
Klink,LV23,0,13,5,520
Klink,LV23,0,14,4,520
Klink,LV23,0,15,3,520
Klink,LV23.5,1,0,10,520
Klink,LV23.5,1,1,9,520
Klink,LV23.5,1,2,8,520
Klink,LV23.5,1,3,7,520
Klink,LV23,1,5,10,520
Klink,LV23.5,1,6,4,520
Klink,LV23,1,6,9,520
Klink,LV22.5,1,6,15,520
Klink,LV23.5,1,7,3,520
Klink,LV23,1,7,8,520
Klink,LV22.5,1,7,14,520
Klink,LV23.5,1,8,2,520
Klink,LV23,1,8,7,520
Klink,LV22.5,1,8,13,520
Klink,LV23.5,1,9,1,520
Klink,LV23,1,9,6,520
Klink,LV22.5,1,9,12,520
Klink,LV23.5,1,10,0,520
Klink,LV22.5,1,10,11,520
Klink,LV22.5,1,11,10,520
Klink,LV22.5,1,12,9,520
Klink,LV22,1,12,15,520
Klink,LV22.5,1,13,8,520
Klink,LV22,1,13,14,520
Klink,LV22.5,1,14,7,520
Klink,LV22,1,14,13,520
Klink,LV22.5,1,15,6,520
Klink,LV22,1,15,12,520
Klink,LV24,2,0,2,520
Klink,LV23,2,0,13,520
Klink,LV24,2,1,1,520
Klink,LV23,2,1,12,520
Klink,LV24,2,2,0,520
Klink,LV23,2,2,11,520
Klink,LV23.5,2,3,4,520
Klink,LV22,2,9,15,520
Klink,LV23,2,10,3,520
Klink,LV22,2,10,14,520
Klink,LV23,2,11,2,520
Klink,LV22,2,11,13,520
Klink,LV23,2,12,1,520
Klink,LV22,2,12,12,520
Klink,LV23,2,13,0,520
Klink,LV22,2,13,11,520
Klink,LV22,2,14,10,520
Klink,LV23.5,3,0,5,520
Klink,LV23.5,3,1,4,520
Klink,LV23,3,1,9,520
Klink,LV22.5,3,1,15,520
Klink,LV23.5,3,2,3,520
Klink,LV23,3,2,8,520
Klink,LV22.5,3,2,14,520
Klink,LV23.5,3,3,2,520
Klink,LV23,3,3,7,520
Klink,LV22.5,3,3,13,520
Klink,LV23.5,3,4,1,520
Klink,LV23,3,4,6,520
Klink,LV22.5,3,4,12,520
Klink,LV23.5,3,5,0,520
Klink,LV23,3,5,5,520
Klink,LV23,3,6,4,520
Klink,LV23,3,7,3,520
Klink,LV23,3,8,2,520
Klink,LV22.5,3,11,5,520
Klink,LV22.5,3,12,4,520
Klink,LV22.5,3,13,3,520
Klink,LV22.5,3,14,2,520
Klink,LV22.5,3,15,1,520
Klink,LV22.5,4,4,9,520
Klink,LV22,4,4,15,520
Klink,LV22.5,4,5,8,520
Klink,LV22,4,5,14,520
Klink,LV22.5,4,6,7,520
Klink,LV22,4,6,13,520
Klink,LV22.5,4,7,6,520
Klink,LV22,4,7,12,520
Klink,LV23,4,8,0,520
Klink,LV22.5,4,8,5,520
Klink,LV22,4,8,11,520
Klink,LV22,4,9,10,520
Klink,LV22,4,10,9,520
Klink,LV21.5,4,10,15,520
Klink,LV22,4,11,8,520
Klink,LV21.5,4,11,14,520
Klink,LV22,4,12,7,520
Klink,LV21.5,4,12,13,520
Klink,LV22,4,13,6,520
Klink,LV21.5,4,13,12,520
Klink,LV22,4,14,5,520
Klink,LV21.5,4,14,11,520
Klink,LV22,4,15,4,520
Klink,LV21.5,4,15,10,520
Klink,LV23.5,5,0,0,520
Klink,LV22.5,5,0,11,520
Klink,LV22.5,5,1,10,520
Klink,LV22.5,5,2,9,520
Klink,LV22.5,5,8,3,520
Klink,LV22.5,5,9,2,520
Klink,LV22.5,5,10,1,520
Klink,LV22.5,5,11,0,520
Klink,LV22,5,15,2,520
Klink,LV23,6,0,3,520
Klink,LV23,6,1,2,520
Klink,LV22,6,1,13,520
Klink,LV23,6,2,1,520
Klink,LV22,6,2,12,520
Klink,LV23,6,3,0,520
Klink,LV22,6,3,11,520
Klink,LV22,6,4,10,520
Klink,LV22,6,5,9,520
Klink,LV21.5,6,5,15,520
Klink,LV22,6,6,8,520
Klink,LV21.5,6,6,14,520
Klink,LV22,6,7,7,520
Klink,LV21.5,6,7,13,520
Klink,LV22,6,8,6,520
Klink,LV21.5,6,8,12,520
Klink,LV22,6,9,5,520
Klink,LV21.5,6,9,11,520
Klink,LV22,6,10,4,520
Klink,LV21.5,6,10,10,520
Klink,LV22,6,11,3,520
Klink,LV21.5,6,11,9,520
Klink,LV21,6,11,15,520
Klink,LV22,6,12,2,520
Klink,LV21.5,6,12,8,520
Klink,LV21,6,12,14,520
Klink,LV21.5,6,13,7,520
Klink,LV21,6,13,13,520
Klink,LV21.5,6,14,6,520
Klink,LV21,6,14,12,520
Klink,LV21.5,6,15,5,520
Klink,LV21,6,15,11,520
Klink,LV22.5,7,0,6,520
Klink,LV22,7,0,12,520
Klink,LV22.5,7,1,5,520
Klink,LV22.5,7,2,4,520
Klink,LV22.5,7,3,3,520
Klink,LV22.5,7,4,2,520
Klink,LV22.5,7,5,1,520
Klink,LV22.5,7,6,0,520
Klink,LV22,7,11,1,520
Klink,LV22,7,12,0,520
Klink,LV20.5,7,15,15,520
Klink,LV22,8,1,8,520
Klink,LV22,8,2,7,520
Klink,LV21.5,8,2,13,520
Klink,LV22,8,3,6,520
Klink,LV21.5,8,3,12,520
Klink,LV22,8,4,5,520
Klink,LV21.5,8,4,11,520
Klink,LV22,8,5,4,520
Klink,LV21.5,8,5,10,520
Klink,LV22,8,6,3,520
Klink,LV21.5,8,6,9,520
Klink,LV21,8,6,15,520
Klink,LV22,8,7,2,520
Klink,LV21.5,8,7,8,520
Klink,LV21,8,7,14,520
Klink,LV21.5,8,8,7,520
Klink,LV21,8,8,13,520
Klink,LV21.5,8,9,6,520
Klink,LV21,8,9,12,520
Klink,LV21.5,8,10,5,520
Klink,LV21,8,10,11,520
Klink,LV21.5,8,11,4,520
Klink,LV21,8,11,10,520
Klink,LV21.5,8,12,3,520
Klink,LV21,8,12,9,520
Klink,LV21,8,13,8,520
Klink,LV21,8,14,7,520
Klink,LV22,9,0,7,520
Klink,LV21.5,9,0,13,520
Klink,LV22,9,1,6,520
Klink,LV21.5,9,1,12,520
Klink,LV22,9,2,5,520
Klink,LV22,9,3,4,520
Klink,LV22,9,4,3,520
Klink,LV21,9,4,15,520
Klink,LV22,9,5,2,520
Klink,LV22,9,6,1,520
Klink,LV22,9,7,0,520
Klink,LV20.5,9,10,15,520
Klink,LV21.5,9,11,2,520
Klink,LV20.5,9,11,14,520
Klink,LV21.5,9,12,1,520
Klink,LV20.5,9,12,13,520
Klink,LV21.5,9,13,0,520
Klink,LV20.5,9,13,12,520
Klink,LV21,9,14,5,520
Klink,LV20.5,9,14,11,520
Klink,LV21,9,15,4,520
Klink,LV20.5,9,15,10,520
Klink,LV21.5,10,4,6,520
Klink,LV21.5,10,5,5,520
Klink,LV21,10,6,10,520
Klink,LV21,10,7,9,520
Klink,LV21,10,8,8,520
Klink,LV21,10,9,7,520
Klink,LV20,10,14,15,520
Klink,LV20,10,15,14,520
Klink,LV21.5,11,0,8,520
Klink,LV21,11,0,14,520
Klink,LV21.5,11,1,7,520
Klink,LV21,11,1,13,520
Klink,LV21.5,11,2,6,520
Klink,LV21,11,2,12,520
Klink,LV21.5,11,3,5,520
Klink,LV21,11,3,11,520
Klink,LV21.5,11,4,4,520
Klink,LV21,11,4,10,520
Klink,LV21.5,11,5,3,520
Klink,LV21,11,5,9,520
Klink,LV20.5,11,5,15,520
Klink,LV21.5,11,6,2,520
Klink,LV21,11,6,8,520
Klink,LV20.5,11,6,14,520
Klink,LV21.5,11,7,1,520
Klink,LV21,11,7,7,520
Klink,LV20.5,11,7,13,520
Klink,LV21.5,11,8,0,520
Klink,LV21,11,8,6,520
Klink,LV20.5,11,8,12,520
Klink,LV21,11,9,5,520
Klink,LV20.5,11,9,11,520
Klink,LV21,11,10,4,520
Klink,LV20.5,11,10,10,520
Klink,LV21,11,11,3,520
Klink,LV20.5,11,11,9,520
Klink,LV21,11,12,2,520
Klink,LV20.5,11,12,8,520
Klink,LV21,11,13,1,520
Klink,LV20.5,11,13,7,520
Klink,LV20.5,11,14,6,520
Klink,LV22,12,0,0,520
Klink,LV21,12,0,12,520
Klink,LV20.5,12,3,15,520
Klink,LV20.5,12,4,14,520
Klink,LV20.5,12,5,13,520
Klink,LV21.5,12,6,0,520
Klink,LV20,12,9,15,520
Klink,LV20,12,10,14,520
Klink,LV21,12,11,1,520
Klink,LV20,12,11,13,520
Klink,LV21,12,12,0,520
Klink,LV20.5,12,12,6,520
Klink,LV20,12,12,12,520
Klink,LV20.5,12,13,5,520
Klink,LV20,12,13,11,520
Klink,LV20.5,12,14,4,520
Klink,LV20,12,14,10,520
Klink,LV20.5,12,15,3,520
Klink,LV20,13,7,15,520
Klink,LV20,13,8,14,520
Klink,LV20,13,9,13,520
Klink,LV20,13,10,12,520
Klink,LV20,13,11,11,520
Klink,LV20,13,12,10,520
Klink,LV20,13,13,9,520
Klink,LV20,13,14,8,520
Klink,LV20.5,13,15,1,520
Klink,LV20,13,15,7,520
Klink,LV21,14,0,7,520
Klink,LV21,14,1,6,520
Klink,LV21,14,2,5,520
Klink,LV20.5,14,2,11,520
Klink,LV21,14,3,4,520
Klink,LV20.5,14,3,10,520
Klink,LV21,14,4,3,520
Klink,LV20.5,14,4,9,520
Klink,LV21,14,5,2,520
Klink,LV20.5,14,5,8,520
Klink,LV21,14,6,1,520
Klink,LV20.5,14,6,7,520
Klink,LV21,14,7,0,520
Klink,LV20.5,14,7,6,520
Klink,LV20.5,14,8,5,520
Klink,LV20.5,14,9,4,520
Klink,LV20.5,14,10,3,520
Klink,LV19.5,14,11,15,520
Klink,LV19.5,14,12,14,520
Klink,LV19.5,14,13,13,520
Klink,LV19.5,14,14,12,520
Klink,LV19.5,14,15,11,520
Klink,LV21,15,0,5,520
