Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Kyurem White Kyurem,LV4.5,0,11,15,520
Kyurem White Kyurem,LV4.5,0,12,13,520
Kyurem White Kyurem,LV4.5,0,13,12,520
Kyurem White Kyurem,LV4.5,0,14,11,520
Kyurem White Kyurem,LV4.5,0,15,9,520
Kyurem White Kyurem,LV4.5,1,10,14,520
Kyurem White Kyurem,LV4.5,1,11,13,520
Kyurem White Kyurem,LV4.5,1,12,12,520
Kyurem White Kyurem,LV4.5,1,13,10,520
Kyurem White Kyurem,LV4.5,1,14,9,520
Kyurem White Kyurem,LV4.5,1,15,8,520
Kyurem White Kyurem,LV4.5,2,8,15,520
Kyurem White Kyurem,LV4.5,2,9,14,520
Kyurem White Kyurem,LV4.5,2,10,13,520
Kyurem White Kyurem,LV4.5,2,11,11,520
Kyurem White Kyurem,LV4.5,2,12,10,520
Kyurem White Kyurem,LV4.5,2,13,9,520
Kyurem White Kyurem,LV4.5,2,14,7,520
Kyurem White Kyurem,LV4.5,2,15,6,520
Kyurem White Kyurem,LV4.5,3,7,15,520
Kyurem White Kyurem,LV4.5,3,8,14,520
Kyurem White Kyurem,LV4.5,3,9,12,520
Kyurem White Kyurem,LV4.5,3,10,11,520
Kyurem White Kyurem,LV4.5,3,11,10,520
Kyurem White Kyurem,LV4.5,3,12,8,520
Kyurem White Kyurem,LV4.5,3,13,7,520
Kyurem White Kyurem,LV4.5,3,14,6,520
Kyurem White Kyurem,LV4.5,4,6,15,520
Kyurem White Kyurem,LV4.5,4,7,13,520
Kyurem White Kyurem,LV4.5,4,8,12,520
Kyurem White Kyurem,LV4.5,4,9,11,520
Kyurem White Kyurem,LV4.5,4,10,9,520
Kyurem White Kyurem,LV4.5,4,11,8,520
Kyurem White Kyurem,LV4.5,4,12,7,520
Kyurem White Kyurem,LV4.5,4,13,5,520
Kyurem White Kyurem,LV4.5,4,14,4,520
Kyurem White Kyurem,LV4.5,4,15,3,520
Kyurem White Kyurem,LV4.5,5,5,14,520
Kyurem White Kyurem,LV4.5,5,6,13,520
Kyurem White Kyurem,LV4.5,5,7,12,520
Kyurem White Kyurem,LV4.5,5,8,10,520
Kyurem White Kyurem,LV4.5,5,9,9,520
Kyurem White Kyurem,LV4.5,5,10,8,520
Kyurem White Kyurem,LV4.5,5,11,6,520
Kyurem White Kyurem,LV4.5,5,12,5,520
Kyurem White Kyurem,LV4.5,5,13,4,520
Kyurem White Kyurem,LV4.5,5,14,3,520
Kyurem White Kyurem,LV4.5,5,15,1,520
Kyurem White Kyurem,LV4.5,6,4,14,520
Kyurem White Kyurem,LV4.5,6,5,13,520
Kyurem White Kyurem,LV4.5,6,6,11,520
Kyurem White Kyurem,LV4.5,6,7,10,520
Kyurem White Kyurem,LV4.5,6,8,9,520
Kyurem White Kyurem,LV4.5,6,9,7,520
Kyurem White Kyurem,LV4.5,6,10,6,520
Kyurem White Kyurem,LV4.5,6,11,5,520
Kyurem White Kyurem,LV4.5,6,12,4,520
Kyurem White Kyurem,LV4.5,6,13,2,520
Kyurem White Kyurem,LV4.5,6,14,1,520
Kyurem White Kyurem,LV4.5,6,15,0,520
Kyurem White Kyurem,LV4.5,7,2,15,520
Kyurem White Kyurem,LV4.5,7,3,14,520
Kyurem White Kyurem,LV4.5,7,4,13,520
Kyurem White Kyurem,LV4.5,7,5,11,520
Kyurem White Kyurem,LV4.5,7,6,10,520
Kyurem White Kyurem,LV4.5,7,7,8,520
Kyurem White Kyurem,LV4.5,7,8,7,520
Kyurem White Kyurem,LV4.5,7,9,6,520
Kyurem White Kyurem,LV4.5,7,10,5,520
Kyurem White Kyurem,LV4.5,7,11,3,520
Kyurem White Kyurem,LV4.5,7,12,2,520
Kyurem White Kyurem,LV4.5,7,13,1,520
Kyurem White Kyurem,LV4.5,8,1,15,520
Kyurem White Kyurem,LV4.5,8,2,14,520
Kyurem White Kyurem,LV4.5,8,3,12,520
Kyurem White Kyurem,LV4.5,8,4,11,520
Kyurem White Kyurem,LV4.5,8,5,10,520
Kyurem White Kyurem,LV4.5,8,6,8,520
Kyurem White Kyurem,LV4.5,8,7,7,520
Kyurem White Kyurem,LV4.5,8,8,6,520
Kyurem White Kyurem,LV4.5,8,9,4,520
Kyurem White Kyurem,LV4.5,8,10,3,520
Kyurem White Kyurem,LV4.5,8,11,2,520
Kyurem White Kyurem,LV4.5,8,12,0,520
Kyurem White Kyurem,LV4.5,9,0,15,520
Kyurem White Kyurem,LV4.5,9,1,13,520
Kyurem White Kyurem,LV4.5,9,2,12,520
Kyurem White Kyurem,LV4.5,9,3,11,520
Kyurem White Kyurem,LV4.5,9,4,9,520
Kyurem White Kyurem,LV4.5,9,5,8,520
Kyurem White Kyurem,LV4.5,9,6,7,520
Kyurem White Kyurem,LV4.5,9,7,5,520
Kyurem White Kyurem,LV4.5,9,8,4,520
Kyurem White Kyurem,LV4.5,9,9,3,520
Kyurem White Kyurem,LV4.5,9,10,1,520
Kyurem White Kyurem,LV4.5,9,11,0,520
Kyurem White Kyurem,LV4.5,10,0,13,520
Kyurem White Kyurem,LV4.5,10,1,12,520
Kyurem White Kyurem,LV4.5,10,2,10,520
Kyurem White Kyurem,LV4.5,10,3,9,520
Kyurem White Kyurem,LV4.5,10,4,8,520
Kyurem White Kyurem,LV4.5,10,5,6,520
Kyurem White Kyurem,LV4.5,10,6,5,520
Kyurem White Kyurem,LV4.5,10,7,4,520
Kyurem White Kyurem,LV4.5,10,8,2,520
Kyurem White Kyurem,LV4.5,10,9,1,520
Kyurem White Kyurem,LV4.5,10,10,0,520
Kyurem White Kyurem,LV4.5,11,0,12,520
Kyurem White Kyurem,LV4.5,11,1,10,520
Kyurem White Kyurem,LV4.5,11,2,9,520
Kyurem White Kyurem,LV4.5,11,3,8,520
Kyurem White Kyurem,LV4.5,11,4,6,520
Kyurem White Kyurem,LV4.5,11,5,5,520
Kyurem White Kyurem,LV4.5,11,7,2,520
Kyurem White Kyurem,LV4.5,11,8,1,520
Kyurem White Kyurem,LV4.5,11,9,0,520
Kyurem White Kyurem,LV4.5,12,0,10,520
Kyurem White Kyurem,LV4.5,12,1,9,520
Kyurem White Kyurem,LV4.5,12,2,7,520
Kyurem White Kyurem,LV4.5,12,3,6,520
Kyurem White Kyurem,LV4.5,12,4,5,520
Kyurem White Kyurem,LV4.5,12,5,3,520
Kyurem White Kyurem,LV4.5,12,6,2,520
Kyurem White Kyurem,LV4.5,12,7,1,520
Kyurem White Kyurem,LV4.5,13,1,7,520
Kyurem White Kyurem,LV4.5,13,2,6,520
Kyurem White Kyurem,LV4.5,13,3,4,520
Kyurem White Kyurem,LV4.5,13,4,3,520
Kyurem White Kyurem,LV4.5,13,5,2,520
Kyurem White Kyurem,LV4.5,13,6,0,520
Kyurem White Kyurem,LV4.5,14,0,7,520
Kyurem White Kyurem,LV4.5,14,1,6,520
Kyurem White Kyurem,LV4.5,14,2,4,520
Kyurem White Kyurem,LV4.5,14,3,3,520
Kyurem White Kyurem,LV4.5,14,4,2,520
Kyurem White Kyurem,LV4.5,14,5,0,520
Kyurem White Kyurem,LV4.5,15,0,5,520
Kyurem White Kyurem,LV4.5,15,1,4,520
Kyurem White Kyurem,LV4.5,15,2,3,520
Kyurem White Kyurem,LV4.5,15,3,1,520
Kyurem White Kyurem,LV4.5,15,4,0,520
