Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lanturn,LV10,0,4,15,520
Lanturn,LV10,0,5,13,520
Lanturn,LV10,0,6,11,520
Lanturn,LV10,0,7,9,520
Lanturn,LV10,0,8,7,520
Lanturn,LV10,0,9,5,520
Lanturn,LV10,0,10,3,520
Lanturn,LV10,0,11,1,520
Lanturn,LV10,0,11,2,520
Lanturn,LV10,0,12,0,520
Lanturn,LV10,1,2,15,520
Lanturn,LV10,1,3,13,520
Lanturn,LV10,1,4,11,520
Lanturn,LV10,1,5,9,520
Lanturn,LV10,1,6,7,520
Lanturn,LV10,1,7,5,520
Lanturn,LV10,1,8,3,520
Lanturn,LV10,1,9,1,520
Lanturn,LV10,1,9,2,520
Lanturn,LV10,1,10,0,520
Lanturn,LV10,2,0,15,520
Lanturn,LV10,2,1,13,520
Lanturn,LV10,2,2,11,520
Lanturn,LV10,2,3,9,520
Lanturn,LV10,2,4,7,520
Lanturn,LV10,2,5,5,520
Lanturn,LV10,2,6,3,520
Lanturn,LV10,2,7,2,520
Lanturn,LV10,2,8,0,520
Lanturn,LV10,3,0,12,520
Lanturn,LV10,3,1,9,520
Lanturn,LV10,3,1,10,520
Lanturn,LV10,3,2,7,520
Lanturn,LV10,3,2,8,520
Lanturn,LV10,3,3,6,520
Lanturn,LV10,3,4,4,520
Lanturn,LV10,3,5,2,520
Lanturn,LV10,3,6,0,520
Lanturn,LV9.5,3,14,15,520
Lanturn,LV9.5,3,15,13,520
Lanturn,LV10,4,0,8,520
Lanturn,LV10,4,1,6,520
Lanturn,LV10,4,2,4,520
Lanturn,LV10,4,3,2,520
Lanturn,LV10,4,4,0,520
Lanturn,LV9.5,4,12,15,520
Lanturn,LV9.5,4,13,13,520
Lanturn,LV9.5,4,14,11,520
Lanturn,LV9.5,4,15,9,520
Lanturn,LV10,5,0,4,520
Lanturn,LV10,5,1,2,520
Lanturn,LV10,5,2,0,520
Lanturn,LV9.5,5,10,15,520
Lanturn,LV9.5,5,11,13,520
Lanturn,LV9.5,5,12,11,520
Lanturn,LV9.5,5,13,9,520
Lanturn,LV9.5,5,14,7,520
Lanturn,LV9.5,5,15,5,520
Lanturn,LV10,6,0,1,520
Lanturn,LV9.5,6,8,15,520
Lanturn,LV9.5,6,9,13,520
Lanturn,LV9.5,6,10,11,520
Lanturn,LV9.5,6,11,9,520
Lanturn,LV9.5,6,12,7,520
Lanturn,LV9.5,6,13,5,520
Lanturn,LV9.5,6,14,4,520
Lanturn,LV9.5,6,15,2,520
Lanturn,LV9.5,7,6,15,520
Lanturn,LV9.5,7,7,13,520
Lanturn,LV9.5,7,8,11,520
Lanturn,LV9.5,7,9,9,520
Lanturn,LV9.5,7,10,7,520
Lanturn,LV9.5,7,11,6,520
Lanturn,LV9.5,7,12,4,520
Lanturn,LV9.5,7,13,2,520
Lanturn,LV9.5,7,14,0,520
Lanturn,LV9.5,8,4,15,520
Lanturn,LV9.5,8,5,13,520
Lanturn,LV9.5,8,6,11,520
Lanturn,LV9.5,8,7,9,520
Lanturn,LV9.5,8,7,10,520
Lanturn,LV9.5,8,8,8,520
Lanturn,LV9.5,8,9,6,520
Lanturn,LV9.5,8,10,4,520
Lanturn,LV9.5,8,11,2,520
Lanturn,LV9.5,8,12,0,520
Lanturn,LV9.5,9,3,14,520
Lanturn,LV9.5,9,4,12,520
Lanturn,LV9.5,9,5,10,520
Lanturn,LV9.5,9,6,8,520
Lanturn,LV9.5,9,7,6,520
Lanturn,LV9.5,9,8,4,520
Lanturn,LV9.5,9,9,2,520
Lanturn,LV9.5,9,10,0,520
Lanturn,LV9.5,10,1,14,520
Lanturn,LV9.5,10,2,12,520
Lanturn,LV9.5,10,3,10,520
Lanturn,LV9.5,10,4,8,520
Lanturn,LV9.5,10,5,6,520
Lanturn,LV9.5,10,6,4,520
Lanturn,LV9.5,10,7,2,520
Lanturn,LV9.5,10,8,1,520
Lanturn,LV9.5,11,0,13,520
Lanturn,LV9.5,11,1,11,520
Lanturn,LV9.5,11,2,9,520
Lanturn,LV9.5,11,3,7,520
Lanturn,LV9.5,11,4,5,520
Lanturn,LV9.5,11,5,3,520
Lanturn,LV9.5,11,6,1,520
Lanturn,LV9.5,12,0,9,520
Lanturn,LV9.5,12,1,7,520
Lanturn,LV9.5,12,2,5,520
Lanturn,LV9.5,12,3,3,520
Lanturn,LV9.5,12,4,1,520
Lanturn,LV9,12,14,14,520
Lanturn,LV9,12,15,12,520
Lanturn,LV9.5,13,0,6,520
Lanturn,LV9.5,13,1,4,520
Lanturn,LV9.5,13,2,2,520
Lanturn,LV9.5,13,3,0,520
Lanturn,LV9,13,12,14,520
Lanturn,LV9,13,13,12,520
Lanturn,LV9,13,14,10,520
Lanturn,LV9,13,15,9,520
Lanturn,LV9.5,14,0,2,520
Lanturn,LV9.5,14,1,0,520
Lanturn,LV9,14,10,14,520
Lanturn,LV9,14,11,12,520
Lanturn,LV9,14,11,13,520
Lanturn,LV9,14,12,11,520
Lanturn,LV9,14,13,9,520
Lanturn,LV9,14,14,7,520
Lanturn,LV9,14,15,5,520
Lanturn,LV9,15,8,15,520
Lanturn,LV9,15,9,13,520
Lanturn,LV9,15,10,11,520
Lanturn,LV9,15,11,9,520
Lanturn,LV9,15,12,7,520
Lanturn,LV9,15,13,5,520
Lanturn,LV9,15,14,4,520
Lanturn,LV9,15,15,2,520
