Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lapras,LV8,0,0,11,520
Lapras,LV8,0,0,12,520
Lapras,LV8,0,1,10,520
Lapras,LV8,0,2,8,520
Lapras,LV8,0,3,7,520
Lapras,LV8,0,4,5,520
Lapras,LV8,0,5,3,520
Lapras,LV8,0,6,2,520
Lapras,LV8,0,7,0,520
Lapras,LV8,1,0,8,520
Lapras,LV8,1,1,6,520
Lapras,LV8,1,2,5,520
Lapras,LV8,1,3,3,520
Lapras,LV8,1,4,2,520
Lapras,LV8,1,5,0,520
Lapras,LV8,2,0,5,520
Lapras,LV8,2,1,3,520
Lapras,LV8,2,2,1,520
Lapras,LV8,2,3,0,520
Lapras,LV8,3,0,1,520
Lapras,LV8,3,1,0,520
Lapras,LV7.5,4,14,15,520
Lapras,LV7.5,4,15,14,520
Lapras,LV7.5,5,12,15,520
Lapras,LV7.5,5,13,13,520
Lapras,LV7.5,5,13,14,520
Lapras,LV7.5,5,14,12,520
Lapras,LV7.5,5,15,10,520
Lapras,LV7.5,6,10,15,520
Lapras,LV7.5,6,11,13,520
Lapras,LV7.5,6,12,12,520
Lapras,LV7.5,6,13,10,520
Lapras,LV7.5,6,14,8,520
Lapras,LV7.5,6,14,9,520
Lapras,LV7.5,6,15,7,520
Lapras,LV7.5,7,8,14,520
Lapras,LV7.5,7,8,15,520
Lapras,LV7.5,7,9,13,520
Lapras,LV7.5,7,10,11,520
Lapras,LV7.5,7,11,10,520
Lapras,LV7.5,7,12,8,520
Lapras,LV7.5,7,13,7,520
Lapras,LV7.5,7,14,5,520
Lapras,LV7.5,7,15,4,520
Lapras,LV7.5,8,6,14,520
Lapras,LV7.5,8,7,13,520
Lapras,LV7.5,8,8,11,520
Lapras,LV7.5,8,9,10,520
Lapras,LV7.5,8,10,8,520
Lapras,LV7.5,8,11,6,520
Lapras,LV7.5,8,11,7,520
Lapras,LV7.5,8,12,5,520
Lapras,LV7.5,8,13,3,520
Lapras,LV7.5,8,13,4,520
Lapras,LV7.5,8,14,2,520
Lapras,LV7.5,8,15,0,520
Lapras,LV7.5,8,15,1,520
Lapras,LV7.5,9,4,14,520
Lapras,LV7.5,9,5,13,520
Lapras,LV7.5,9,6,11,520
Lapras,LV7.5,9,7,9,520
Lapras,LV7.5,9,8,8,520
Lapras,LV7.5,9,9,6,520
Lapras,LV7.5,9,10,5,520
Lapras,LV7.5,9,11,3,520
Lapras,LV7.5,9,12,2,520
Lapras,LV7.5,9,13,0,520
Lapras,LV7.5,10,2,14,520
Lapras,LV7.5,10,3,13,520
Lapras,LV7.5,10,4,11,520
Lapras,LV7.5,10,5,9,520
Lapras,LV7.5,10,6,8,520
Lapras,LV7.5,10,7,6,520
Lapras,LV7.5,10,8,5,520
Lapras,LV7.5,10,9,3,520
Lapras,LV7.5,10,10,2,520
Lapras,LV7.5,10,11,0,520
Lapras,LV7.5,11,0,14,520
Lapras,LV7.5,11,1,13,520
Lapras,LV7.5,11,2,11,520
Lapras,LV7.5,11,3,9,520
Lapras,LV7.5,11,4,8,520
Lapras,LV7.5,11,5,6,520
Lapras,LV7.5,11,6,4,520
Lapras,LV7.5,11,6,5,520
Lapras,LV7.5,11,7,3,520
Lapras,LV7.5,11,8,1,520
Lapras,LV7.5,11,9,0,520
Lapras,LV7.5,12,0,11,520
Lapras,LV7.5,12,1,9,520
Lapras,LV7.5,12,2,8,520
Lapras,LV7.5,12,3,6,520
Lapras,LV7.5,12,4,4,520
Lapras,LV7.5,12,4,5,520
Lapras,LV7.5,12,5,3,520
Lapras,LV7.5,12,6,1,520
Lapras,LV7.5,12,7,0,520
Lapras,LV7.5,13,0,8,520
Lapras,LV7.5,13,1,6,520
Lapras,LV7.5,13,2,4,520
Lapras,LV7.5,13,2,5,520
Lapras,LV7.5,13,3,3,520
Lapras,LV7.5,13,4,1,520
Lapras,LV7.5,13,5,0,520
Lapras,LV7.5,14,0,5,520
Lapras,LV7.5,14,1,3,520
Lapras,LV7.5,14,2,1,520
Lapras,LV7.5,14,3,0,520
Lapras,LV7.5,15,0,1,520
Lapras,LV7.5,15,1,0,520
