Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Latias Mega Latias,LV4.5,0,0,5,520
Latias Mega Latias,LV4.5,0,2,4,520
Latias Mega Latias,LV4.5,0,3,3,520
Latias Mega Latias,LV4.5,0,5,2,520
Latias Mega Latias,LV4.5,0,6,1,520
Latias Mega Latias,LV4.5,0,8,0,520
Latias Mega Latias,LV4.5,1,0,4,520
Latias Mega Latias,LV4.5,1,1,3,520
Latias Mega Latias,LV4.5,1,3,2,520
Latias Mega Latias,LV4.5,1,4,1,520
Latias Mega Latias,LV4.5,1,6,0,520
Latias Mega Latias,LV4.5,2,1,2,520
Latias Mega Latias,LV4.5,2,2,1,520
Latias Mega Latias,LV4.5,2,4,0,520
Latias Mega Latias,LV4.5,3,0,1,520
Latias Mega Latias,LV4.5,3,2,0,520
Latias Mega Latias,LV4.5,4,0,0,520
