Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Leafeon,LV7,0,0,15,520
Leafeon,LV7,0,2,14,520
Leafeon,LV7,0,3,13,520
Leafeon,LV7,0,4,12,520
Leafeon,LV7,0,5,11,520
Leafeon,LV7,0,7,10,520
Leafeon,LV7,0,8,9,520
Leafeon,LV7,0,9,8,520
Leafeon,LV7,0,11,7,520
Leafeon,LV7,0,12,6,520
Leafeon,LV7,0,13,5,520
Leafeon,LV7,0,15,4,520
Leafeon,LV7,1,1,13,520
Leafeon,LV7,1,2,12,520
Leafeon,LV7,1,3,11,520
Leafeon,LV7,1,5,10,520
Leafeon,LV7,1,6,9,520
Leafeon,LV7,1,7,8,520
Leafeon,LV7,1,9,7,520
Leafeon,LV7,1,10,6,520
Leafeon,LV7,1,11,5,520
Leafeon,LV7,1,13,4,520
Leafeon,LV7,1,14,3,520
Leafeon,LV7,2,0,12,520
Leafeon,LV7,2,1,11,520
Leafeon,LV7,2,3,10,520
Leafeon,LV7,2,4,9,520
Leafeon,LV7,2,5,8,520
Leafeon,LV7,2,8,6,520
Leafeon,LV7,2,9,5,520
Leafeon,LV7,2,12,3,520
Leafeon,LV7,2,13,2,520
Leafeon,LV7,2,15,1,520
Leafeon,LV7,3,2,9,520
Leafeon,LV7,3,3,8,520
Leafeon,LV7,3,6,6,520
Leafeon,LV7,3,7,5,520
Leafeon,LV7,3,10,3,520
Leafeon,LV7,3,11,2,520
Leafeon,LV7,3,13,1,520
Leafeon,LV7,3,14,0,520
Leafeon,LV7,4,0,9,520
Leafeon,LV7,4,1,8,520
Leafeon,LV7,4,2,7,520
Leafeon,LV7,4,4,6,520
Leafeon,LV7,4,5,5,520
Leafeon,LV7,4,6,4,520
Leafeon,LV7,4,8,3,520
Leafeon,LV7,4,9,2,520
Leafeon,LV7,4,12,0,520
Leafeon,LV7,5,0,7,520
Leafeon,LV7,5,2,6,520
Leafeon,LV7,5,3,5,520
Leafeon,LV7,5,4,4,520
Leafeon,LV7,5,6,3,520
Leafeon,LV7,5,7,2,520
Leafeon,LV7,5,8,1,520
Leafeon,LV7,5,10,0,520
Leafeon,LV7,6,0,6,520
Leafeon,LV7,6,1,5,520
Leafeon,LV7,6,2,4,520
Leafeon,LV7,6,4,3,520
Leafeon,LV7,6,5,2,520
Leafeon,LV7,6,6,1,520
Leafeon,LV7,6,8,0,520
Leafeon,LV7,7,0,4,520
Leafeon,LV7,7,2,3,520
Leafeon,LV7,7,3,2,520
Leafeon,LV7,7,4,1,520
Leafeon,LV7,7,6,0,520
Leafeon,LV7,8,0,3,520
Leafeon,LV7,8,1,2,520
Leafeon,LV7,8,2,1,520
Leafeon,LV7,8,4,0,520
Leafeon,LV7,9,0,1,520
Leafeon,LV7,9,2,0,520
Leafeon,LV7,10,0,0,520
Leafeon,LV6.5,11,14,15,520
Leafeon,LV6.5,12,12,15,520
Leafeon,LV6.5,12,15,13,520
Leafeon,LV6.5,13,10,15,520
Leafeon,LV6.5,13,13,13,520
Leafeon,LV6.5,13,14,12,520
Leafeon,LV6.5,14,8,15,520
Leafeon,LV6.5,14,11,13,520
Leafeon,LV6.5,14,12,12,520
Leafeon,LV6.5,14,15,10,520
Leafeon,LV6.5,15,6,15,520
Leafeon,LV6.5,15,9,13,520
Leafeon,LV6.5,15,10,12,520
Leafeon,LV6.5,15,13,10,520
Leafeon,LV6.5,15,14,9,520
