Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lickilicky,LV8.5,0,0,14,520
Lickilicky,LV8.5,0,1,12,520
Lickilicky,LV8.5,0,2,11,520
Lickilicky,LV8.5,0,3,10,520
Lickilicky,LV8.5,0,4,8,520
Lickilicky,LV8.5,0,5,7,520
Lickilicky,LV8.5,0,6,6,520
Lickilicky,LV8.5,0,7,4,520
Lickilicky,LV8.5,0,8,3,520
Lickilicky,LV8.5,0,9,2,520
Lickilicky,LV8.5,1,0,11,520
Lickilicky,LV8.5,1,1,9,520
Lickilicky,LV8.5,1,2,8,520
Lickilicky,LV8.5,1,3,7,520
Lickilicky,LV8.5,1,4,5,520
Lickilicky,LV8.5,1,5,4,520
Lickilicky,LV8.5,1,6,3,520
Lickilicky,LV8.5,1,7,1,520
Lickilicky,LV8.5,1,8,0,520
Lickilicky,LV8.5,2,0,8,520
Lickilicky,LV8.5,2,1,6,520
Lickilicky,LV8.5,2,2,5,520
Lickilicky,LV8.5,2,3,4,520
Lickilicky,LV8.5,2,4,2,520
Lickilicky,LV8.5,2,5,1,520
Lickilicky,LV8.5,2,6,0,520
Lickilicky,LV8.5,3,0,5,520
Lickilicky,LV8.5,3,1,3,520
Lickilicky,LV8.5,3,2,2,520
Lickilicky,LV8.5,3,3,1,520
Lickilicky,LV8.5,4,0,2,520
Lickilicky,LV8.5,4,1,0,520
Lickilicky,LV8,4,14,15,520
Lickilicky,LV8,4,15,14,520
Lickilicky,LV8,5,12,15,520
Lickilicky,LV8,5,13,14,520
Lickilicky,LV8,5,14,12,520
Lickilicky,LV8,5,15,11,520
Lickilicky,LV8,6,10,15,520
Lickilicky,LV8,6,11,13,520
Lickilicky,LV8,6,12,12,520
Lickilicky,LV8,6,13,11,520
Lickilicky,LV8,6,14,9,520
Lickilicky,LV8,6,15,8,520
Lickilicky,LV8,7,8,14,520
Lickilicky,LV8,7,9,13,520
Lickilicky,LV8,7,11,10,520
Lickilicky,LV8,7,12,9,520
Lickilicky,LV8,7,13,8,520
Lickilicky,LV8,7,14,6,520
Lickilicky,LV8,7,15,5,520
Lickilicky,LV8,8,5,15,520
Lickilicky,LV8,8,6,14,520
Lickilicky,LV8,8,8,11,520
Lickilicky,LV8,8,9,10,520
Lickilicky,LV8,8,11,7,520
Lickilicky,LV8,8,12,6,520
Lickilicky,LV8,8,13,5,520
Lickilicky,LV8,8,14,3,520
Lickilicky,LV8,8,15,2,520
Lickilicky,LV8,9,3,15,520
Lickilicky,LV8,9,4,14,520
Lickilicky,LV8,9,5,12,520
Lickilicky,LV8,9,6,11,520
Lickilicky,LV8,9,7,10,520
Lickilicky,LV8,9,8,8,520
Lickilicky,LV8,9,9,7,520
Lickilicky,LV8,9,10,6,520
Lickilicky,LV8,9,11,4,520
Lickilicky,LV8,9,12,3,520
Lickilicky,LV8,9,13,2,520
Lickilicky,LV8,10,1,15,520
Lickilicky,LV8,10,2,13,520
Lickilicky,LV8,10,3,12,520
Lickilicky,LV8,10,4,11,520
Lickilicky,LV8,10,5,9,520
Lickilicky,LV8,10,6,8,520
Lickilicky,LV8,10,7,7,520
Lickilicky,LV8,10,8,5,520
Lickilicky,LV8,10,9,4,520
Lickilicky,LV8,10,10,3,520
Lickilicky,LV8,10,11,1,520
Lickilicky,LV8,10,12,0,520
Lickilicky,LV8,11,0,13,520
Lickilicky,LV8,11,1,12,520
Lickilicky,LV8,11,2,10,520
Lickilicky,LV8,11,3,9,520
Lickilicky,LV8,11,4,8,520
Lickilicky,LV8,11,5,6,520
Lickilicky,LV8,11,6,5,520
Lickilicky,LV8,11,7,4,520
Lickilicky,LV8,11,8,2,520
Lickilicky,LV8,11,9,1,520
Lickilicky,LV8,11,10,0,520
Lickilicky,LV8,12,0,10,520
Lickilicky,LV8,12,1,9,520
Lickilicky,LV8,12,3,6,520
Lickilicky,LV8,12,4,5,520
Lickilicky,LV8,12,6,2,520
Lickilicky,LV8,12,7,1,520
Lickilicky,LV8,12,8,0,520
Lickilicky,LV8,13,0,7,520
Lickilicky,LV8,13,1,6,520
Lickilicky,LV8,13,2,5,520
Lickilicky,LV8,13,3,3,520
Lickilicky,LV8,13,4,2,520
Lickilicky,LV8,13,5,1,520
Lickilicky,LV8,14,0,5,520
Lickilicky,LV8,14,1,3,520
Lickilicky,LV8,14,2,2,520
Lickilicky,LV8,15,0,2,520
Lickilicky,LV8,15,1,0,520
