Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lileep,LV17.5,0,0,3,520
Lileep,LV17,0,0,13,520
Lileep,LV17.5,0,1,2,520
Lileep,LV17,0,1,12,520
Lileep,LV17.5,0,2,1,520
Lileep,LV17.5,0,3,0,520
Lileep,LV17,0,5,7,520
Lileep,LV17,0,6,6,520
Lileep,LV17,0,7,5,520
Lileep,LV17,0,8,4,520
Lileep,LV17,0,9,3,520
Lileep,LV16.5,0,9,13,520
Lileep,LV17,0,10,2,520
Lileep,LV16.5,0,10,12,520
Lileep,LV17,0,11,1,520
Lileep,LV16.5,0,11,11,520
Lileep,LV17,0,12,0,520
Lileep,LV16.5,0,12,10,520
Lileep,LV16.5,0,13,9,520
Lileep,LV16.5,0,14,8,520
Lileep,LV16.5,0,15,7,520
Lileep,LV17.5,1,0,0,520
Lileep,LV17,1,3,6,520
Lileep,LV17,1,4,5,520
Lileep,LV17,1,5,4,520
Lileep,LV17,1,6,3,520
Lileep,LV16.5,1,6,13,520
Lileep,LV17,1,7,2,520
Lileep,LV16.5,1,7,12,520
Lileep,LV17,1,8,1,520
Lileep,LV16.5,1,8,11,520
Lileep,LV17,1,9,0,520
Lileep,LV16.5,1,9,10,520
Lileep,LV16.5,1,10,9,520
Lileep,LV16.5,1,11,8,520
Lileep,LV16,1,14,15,520
Lileep,LV16,1,15,14,520
Lileep,LV17,2,1,5,520
Lileep,LV17,2,2,4,520
Lileep,LV17,2,3,3,520
Lileep,LV17,2,4,2,520
Lileep,LV16.5,2,4,12,520
Lileep,LV17,2,5,1,520
Lileep,LV16.5,2,5,11,520
Lileep,LV17,2,6,0,520
Lileep,LV16.5,2,6,10,520
Lileep,LV16.5,2,7,9,520
Lileep,LV16.5,2,8,8,520
Lileep,LV16,2,11,15,520
Lileep,LV16,2,12,14,520
Lileep,LV16,2,13,13,520
Lileep,LV16,2,14,12,520
Lileep,LV16,2,15,11,520
Lileep,LV17,3,0,3,520
Lileep,LV17,3,1,2,520
Lileep,LV17,3,2,1,520
Lileep,LV16.5,3,2,11,520
Lileep,LV17,3,3,0,520
Lileep,LV16.5,3,3,10,520
Lileep,LV16.5,3,4,9,520
Lileep,LV16.5,3,5,8,520
Lileep,LV16.5,3,6,7,520
Lileep,LV16,3,8,15,520
Lileep,LV16,3,9,14,520
Lileep,LV16,3,10,13,520
Lileep,LV16,3,11,12,520
Lileep,LV16,3,12,11,520
Lileep,LV16,3,13,10,520
Lileep,LV16,3,14,9,520
Lileep,LV17,4,0,0,520
Lileep,LV16.5,4,0,10,520
Lileep,LV16.5,4,1,9,520
Lileep,LV16.5,4,2,8,520
Lileep,LV16.5,4,3,7,520
Lileep,LV16.5,4,4,6,520
Lileep,LV16.5,4,5,5,520
Lileep,LV16,4,6,14,520
Lileep,LV16,4,7,13,520
Lileep,LV16,4,8,12,520
Lileep,LV16,4,9,11,520
Lileep,LV16,4,10,10,520
Lileep,LV16,4,11,9,520
Lileep,LV16.5,5,0,7,520
Lileep,LV16.5,5,1,6,520
Lileep,LV16.5,5,2,5,520
Lileep,LV16.5,5,3,4,520
Lileep,LV16.5,5,4,3,520
Lileep,LV16,5,4,13,520
