Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lillipup,LV26,0,0,0,520
Lillipup,LV25.5,0,0,5,520
Lillipup,LV25,0,0,10,520
Lillipup,LV25.5,0,2,2,520
Lillipup,LV25,0,2,7,520
Lillipup,LV24.5,0,3,11,520
Lillipup,LV25,0,4,4,520
Lillipup,LV24.5,0,5,8,520
Lillipup,LV24,0,5,14,520
Lillipup,LV25,0,6,1,520
Lillipup,LV24,0,6,12,520
Lillipup,LV25,0,7,0,520
Lillipup,LV24.5,0,7,5,520
Lillipup,LV24,0,8,9,520
Lillipup,LV23.5,0,8,15,520
Lillipup,LV24,0,9,8,520
Lillipup,LV24.5,0,10,1,520
Lillipup,LV23.5,0,10,12,520
Lillipup,LV24,0,11,5,520
Lillipup,LV23.5,0,13,8,520
Lillipup,LV23,0,13,14,520
Lillipup,LV24,0,14,1,520
Lillipup,LV23.5,0,15,5,520
Lillipup,LV23,0,15,11,520
Lillipup,LV25.5,1,1,1,520
Lillipup,LV25,1,1,6,520
Lillipup,LV24.5,1,2,10,520
Lillipup,LV25,1,3,3,520
Lillipup,LV24.5,1,4,7,520
Lillipup,LV25,1,5,0,520
Lillipup,LV24,1,5,11,520
Lillipup,LV24.5,1,6,4,520
Lillipup,LV24,1,7,8,520
Lillipup,LV23.5,1,7,14,520
Lillipup,LV24.5,1,9,0,520
Lillipup,LV23.5,1,9,11,520
Lillipup,LV24,1,10,4,520
Lillipup,LV23.5,1,11,8,520
Lillipup,LV23,1,11,14,520
Lillipup,LV24,1,12,1,520
Lillipup,LV23.5,1,12,7,520
Lillipup,LV24,1,13,0,520
Lillipup,LV23.5,1,14,4,520
Lillipup,LV23,1,14,10,520
Lillipup,LV23.5,1,15,3,520
Lillipup,LV25.5,2,0,0,520
Lillipup,LV25,2,0,5,520
Lillipup,LV24.5,2,1,9,520
Lillipup,LV24,2,1,15,520
Lillipup,LV25,2,2,2,520
Lillipup,LV24,2,2,13,520
Lillipup,LV24.5,2,3,6,520
Lillipup,LV24,2,4,10,520
Lillipup,LV24.5,2,5,3,520
Lillipup,LV24,2,6,7,520
Lillipup,LV23.5,2,6,13,520
Lillipup,LV24,2,8,4,520
Lillipup,LV23.5,2,8,10,520
Lillipup,LV24,2,9,3,520
Lillipup,LV23.5,2,10,7,520
Lillipup,LV23,2,10,13,520
Lillipup,LV24,2,11,0,520
Lillipup,LV23,2,12,10,520
Lillipup,LV23.5,2,13,3,520
Lillipup,LV22.5,2,13,15,520
Lillipup,LV23,2,15,6,520
Lillipup,LV22.5,2,15,12,520
Lillipup,LV25,3,0,3,520
Lillipup,LV24.5,3,0,8,520
Lillipup,LV24,3,0,14,520
Lillipup,LV25,3,2,0,520
Lillipup,LV24.5,3,2,5,520
Lillipup,LV24,3,3,9,520
Lillipup,LV23.5,3,3,15,520
Lillipup,LV24.5,3,4,2,520
Lillipup,LV24,3,5,6,520
Lillipup,LV23.5,3,5,12,520
Lillipup,LV24,3,7,3,520
Lillipup,LV23.5,3,7,9,520
Lillipup,LV23,3,7,15,520
Lillipup,LV24,3,8,2,520
Lillipup,LV23.5,3,9,6,520
Lillipup,LV23,3,9,12,520
Lillipup,LV23,3,11,9,520
Lillipup,LV22.5,3,11,15,520
Lillipup,LV23.5,3,12,2,520
Lillipup,LV23,3,13,6,520
Lillipup,LV23,3,14,5,520
Lillipup,LV22.5,3,14,11,520
Lillipup,LV24.5,4,0,6,520
Lillipup,LV24.5,4,1,4,520
Lillipup,LV24,4,1,10,520
Lillipup,LV24,4,2,8,520
Lillipup,LV23.5,4,2,14,520
Lillipup,LV24.5,4,3,1,520
Lillipup,LV24.5,4,4,0,520
Lillipup,LV24,4,4,5,520
Lillipup,LV23.5,4,4,11,520
Lillipup,LV23.5,4,6,8,520
Lillipup,LV23,4,6,14,520
Lillipup,LV24,4,7,1,520
Lillipup,LV23.5,4,8,5,520
Lillipup,LV23,4,8,11,520
Lillipup,LV23.5,4,10,2,520
Lillipup,LV23,4,10,8,520
Lillipup,LV22.5,4,10,14,520
Lillipup,LV23.5,4,11,1,520
Lillipup,LV23,4,12,5,520
Lillipup,LV22.5,4,12,11,520
Lillipup,LV23,4,13,4,520
Lillipup,LV22.5,4,13,10,520
Lillipup,LV23,4,15,1,520
Lillipup,LV22.5,4,15,7,520
Lillipup,LV22,4,15,13,520
Lillipup,LV24,5,0,9,520
Lillipup,LV23.5,5,0,15,520
Lillipup,LV24.5,5,1,2,520
Lillipup,LV23.5,5,1,13,520
Lillipup,LV24,5,2,6,520
Lillipup,LV23.5,5,3,10,520
Lillipup,LV24,5,4,3,520
Lillipup,LV23.5,5,5,7,520
Lillipup,LV23,5,5,13,520
Lillipup,LV24,5,6,0,520
Lillipup,LV23.5,5,7,4,520
Lillipup,LV23,5,7,10,520
Lillipup,LV23,5,9,7,520
Lillipup,LV22.5,5,9,13,520
Lillipup,LV23.5,5,10,0,520
Lillipup,LV23,5,11,4,520
Lillipup,LV22.5,5,11,10,520
Lillipup,LV23,5,12,3,520
Lillipup,LV22,5,12,15,520
Lillipup,LV23,5,14,0,520
Lillipup,LV22.5,5,14,6,520
Lillipup,LV22,5,14,12,520
Lillipup,LV22,5,15,11,520
Lillipup,LV24.5,6,0,1,520
