Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lokix,LV9,0,1,11,520
Lokix,LV9,0,2,10,520
Lokix,LV9,0,5,6,520
Lokix,LV9,0,6,5,520
Lokix,LV9,0,7,4,520
Lokix,LV9,0,10,0,520
Lokix,LV9,1,1,9,520
Lokix,LV9,1,2,8,520
Lokix,LV9,1,3,7,520
Lokix,LV9,1,5,4,520
Lokix,LV9,1,6,3,520
Lokix,LV9,1,7,2,520
Lokix,LV9,1,8,1,520
Lokix,LV9,1,9,0,520
Lokix,LV8.5,1,15,15,520
Lokix,LV9,2,0,9,520
Lokix,LV9,2,2,6,520
Lokix,LV9,2,3,5,520
Lokix,LV9,2,4,4,520
Lokix,LV9,2,7,0,520
Lokix,LV8.5,2,13,15,520
Lokix,LV8.5,2,14,14,520
Lokix,LV8.5,2,15,13,520
Lokix,LV9,3,0,7,520
Lokix,LV9,3,3,3,520
Lokix,LV9,3,4,2,520
Lokix,LV9,3,5,1,520
Lokix,LV8.5,3,14,12,520
Lokix,LV8.5,3,15,11,520
Lokix,LV9,4,0,5,520
Lokix,LV9,4,1,4,520
Lokix,LV9,4,4,0,520
Lokix,LV8.5,4,10,15,520
Lokix,LV8.5,4,11,14,520
Lokix,LV8.5,4,12,13,520
Lokix,LV8.5,4,15,9,520
Lokix,LV9,5,1,2,520
Lokix,LV9,5,2,1,520
Lokix,LV9,5,3,0,520
Lokix,LV8.5,5,10,13,520
Lokix,LV8.5,5,11,12,520
Lokix,LV8.5,5,12,11,520
Lokix,LV8.5,5,13,10,520
Lokix,LV8.5,6,7,15,520
Lokix,LV8.5,6,8,14,520
Lokix,LV8.5,6,9,13,520
Lokix,LV8.5,6,11,10,520
Lokix,LV8.5,6,12,9,520
Lokix,LV8.5,6,13,8,520
Lokix,LV8.5,6,14,7,520
Lokix,LV9,7,0,0,520
Lokix,LV8.5,7,7,13,520
Lokix,LV8.5,7,8,12,520
Lokix,LV8.5,7,9,11,520
Lokix,LV8.5,7,10,10,520
Lokix,LV8.5,7,12,7,520
Lokix,LV8.5,7,13,6,520
Lokix,LV8.5,7,14,5,520
Lokix,LV8.5,7,15,4,520
Lokix,LV8.5,8,4,15,520
Lokix,LV8.5,8,5,14,520
Lokix,LV8.5,8,6,13,520
Lokix,LV8.5,8,8,10,520
Lokix,LV8.5,8,9,9,520
Lokix,LV8.5,8,10,8,520
Lokix,LV8.5,8,11,7,520
Lokix,LV8.5,8,14,3,520
Lokix,LV8.5,8,15,2,520
Lokix,LV8.5,9,3,15,520
Lokix,LV8.5,9,5,12,520
Lokix,LV8.5,9,6,11,520
Lokix,LV8.5,9,7,10,520
Lokix,LV8.5,9,10,6,520
Lokix,LV8.5,9,11,5,520
Lokix,LV8.5,9,12,4,520
Lokix,LV8.5,9,13,3,520
Lokix,LV8.5,10,2,14,520
Lokix,LV8.5,10,3,13,520
Lokix,LV8.5,10,4,12,520
Lokix,LV8.5,10,6,9,520
Lokix,LV8.5,10,7,8,520
Lokix,LV8.5,10,8,7,520
Lokix,LV8.5,10,11,3,520
Lokix,LV8.5,10,12,2,520
Lokix,LV8.5,10,13,1,520
Lokix,LV8.5,10,14,0,520
Lokix,LV8.5,11,0,15,520
Lokix,LV8.5,11,1,14,520
Lokix,LV8.5,11,3,11,520
Lokix,LV8.5,11,4,10,520
Lokix,LV8.5,11,5,9,520
Lokix,LV8.5,11,7,6,520
Lokix,LV8.5,11,8,5,520
Lokix,LV8.5,11,9,4,520
Lokix,LV8.5,11,10,3,520
Lokix,LV8.5,12,0,13,520
Lokix,LV8.5,12,1,12,520
Lokix,LV8.5,12,2,11,520
Lokix,LV8.5,12,4,8,520
Lokix,LV8.5,12,5,7,520
Lokix,LV8.5,12,6,6,520
Lokix,LV8.5,12,9,2,520
Lokix,LV8.5,12,10,1,520
Lokix,LV8.5,12,11,0,520
Lokix,LV8.5,13,1,10,520
Lokix,LV8.5,13,2,9,520
Lokix,LV8.5,13,3,8,520
Lokix,LV8.5,13,5,5,520
Lokix,LV8.5,13,6,4,520
Lokix,LV8.5,13,7,3,520
Lokix,LV8.5,13,8,2,520
Lokix,LV8.5,14,0,10,520
Lokix,LV8.5,14,2,7,520
Lokix,LV8.5,14,3,6,520
Lokix,LV8.5,14,4,5,520
Lokix,LV8.5,14,7,1,520
Lokix,LV8.5,14,8,0,520
Lokix,LV8.5,15,0,8,520
Lokix,LV8.5,15,1,7,520
Lokix,LV8.5,15,3,4,520
Lokix,LV8.5,15,4,3,520
Lokix,LV8.5,15,5,2,520
Lokix,LV8.5,15,6,1,520
Lokix,LV8,15,14,15,520
Lokix,LV8,15,15,14,520
