Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lopunny,LV10,0,2,15,520
Lopunny,LV10,0,6,12,520
Lopunny,LV10,0,7,11,520
Lopunny,LV10,0,8,10,520
Lopunny,LV10,0,9,9,520
Lopunny,LV10,0,10,8,520
Lopunny,LV10,0,13,6,520
Lopunny,LV10,0,14,5,520
Lopunny,LV10,0,15,4,520
Lopunny,LV10,1,0,15,520
Lopunny,LV10,1,1,14,520
Lopunny,LV10,1,2,13,520
Lopunny,LV10,1,3,12,520
Lopunny,LV10,1,4,11,520
Lopunny,LV10,1,8,8,520
Lopunny,LV10,1,9,7,520
Lopunny,LV10,1,10,6,520
Lopunny,LV10,1,11,5,520
Lopunny,LV10,1,14,3,520
Lopunny,LV10,1,15,2,520
Lopunny,LV10,2,2,11,520
Lopunny,LV10,2,3,10,520
Lopunny,LV10,2,4,9,520
Lopunny,LV10,2,5,8,520
Lopunny,LV10,2,6,7,520
Lopunny,LV10,2,9,5,520
Lopunny,LV10,2,10,4,520
Lopunny,LV10,2,11,3,520
Lopunny,LV10,2,14,1,520
Lopunny,LV10,2,15,0,520
Lopunny,LV10,3,3,8,520
Lopunny,LV10,3,4,7,520
Lopunny,LV10,3,5,6,520
Lopunny,LV10,3,6,5,520
Lopunny,LV10,3,7,4,520
Lopunny,LV10,3,10,2,520
Lopunny,LV10,3,11,1,520
Lopunny,LV10,3,12,0,520
Lopunny,LV10,4,0,8,520
Lopunny,LV10,4,1,7,520
Lopunny,LV10,4,4,5,520
Lopunny,LV10,4,5,4,520
Lopunny,LV10,4,6,3,520
Lopunny,LV10,4,7,2,520
Lopunny,LV10,4,10,0,520
Lopunny,LV9.5,4,14,15,520
Lopunny,LV9.5,4,15,14,520
Lopunny,LV10,5,0,6,520
Lopunny,LV10,5,1,5,520
Lopunny,LV10,5,5,2,520
Lopunny,LV10,5,6,1,520
Lopunny,LV10,5,7,0,520
Lopunny,LV9.5,5,11,15,520
Lopunny,LV9.5,5,14,13,520
Lopunny,LV9.5,5,15,12,520
Lopunny,LV10,6,0,4,520
Lopunny,LV10,6,1,3,520
Lopunny,LV10,6,2,2,520
Lopunny,LV10,6,5,0,520
Lopunny,LV9.5,6,9,15,520
Lopunny,LV9.5,6,10,14,520
Lopunny,LV9.5,6,11,13,520
Lopunny,LV9.5,6,12,12,520
Lopunny,LV9.5,6,15,10,520
Lopunny,LV10,7,0,2,520
Lopunny,LV10,7,1,1,520
Lopunny,LV10,7,2,0,520
Lopunny,LV9.5,7,6,15,520
Lopunny,LV9.5,7,9,13,520
Lopunny,LV9.5,7,10,12,520
Lopunny,LV9.5,7,11,11,520
Lopunny,LV9.5,7,12,10,520
Lopunny,LV9.5,7,13,9,520
Lopunny,LV10,8,0,0,520
Lopunny,LV9.5,8,4,15,520
Lopunny,LV9.5,8,5,14,520
Lopunny,LV9.5,8,6,13,520
Lopunny,LV9.5,8,7,12,520
Lopunny,LV9.5,8,10,10,520
Lopunny,LV9.5,8,11,9,520
Lopunny,LV9.5,8,12,8,520
Lopunny,LV9.5,8,13,7,520
Lopunny,LV9.5,9,3,14,520
Lopunny,LV9.5,9,4,13,520
Lopunny,LV9.5,9,5,12,520
Lopunny,LV9.5,9,6,11,520
Lopunny,LV9.5,9,7,10,520
Lopunny,LV9.5,9,8,9,520
Lopunny,LV9.5,9,11,7,520
Lopunny,LV9.5,9,12,6,520
Lopunny,LV9.5,9,13,5,520
Lopunny,LV9.5,10,0,14,520
Lopunny,LV9.5,10,4,11,520
Lopunny,LV9.5,10,5,10,520
Lopunny,LV9.5,10,6,9,520
Lopunny,LV9.5,10,7,8,520
Lopunny,LV9.5,10,8,7,520
Lopunny,LV9.5,10,11,5,520
Lopunny,LV9.5,10,12,4,520
Lopunny,LV9.5,10,13,3,520
Lopunny,LV9.5,11,0,12,520
Lopunny,LV9.5,11,1,11,520
Lopunny,LV9.5,11,5,8,520
Lopunny,LV9.5,11,6,7,520
Lopunny,LV9.5,11,7,6,520
Lopunny,LV9.5,11,8,5,520
Lopunny,LV9.5,11,11,3,520
Lopunny,LV9.5,11,12,2,520
Lopunny,LV9.5,11,13,1,520
Lopunny,LV9.5,12,0,10,520
Lopunny,LV9.5,12,1,9,520
Lopunny,LV9.5,12,2,8,520
Lopunny,LV9.5,12,5,6,520
Lopunny,LV9.5,12,6,5,520
Lopunny,LV9.5,12,7,4,520
Lopunny,LV9.5,12,8,3,520
Lopunny,LV9.5,12,11,1,520
Lopunny,LV9.5,12,12,0,520
Lopunny,LV9.5,13,0,8,520
Lopunny,LV9.5,13,1,7,520
Lopunny,LV9.5,13,2,6,520
Lopunny,LV9.5,13,5,4,520
Lopunny,LV9.5,13,6,3,520
Lopunny,LV9.5,13,7,2,520
Lopunny,LV9.5,13,8,1,520
Lopunny,LV9,13,15,15,520
Lopunny,LV9.5,14,0,6,520
Lopunny,LV9.5,14,1,5,520
Lopunny,LV9.5,14,2,4,520
Lopunny,LV9.5,14,5,2,520
Lopunny,LV9.5,14,6,1,520
Lopunny,LV9.5,14,7,0,520
Lopunny,LV9,14,13,15,520
Lopunny,LV9,14,14,14,520
Lopunny,LV9,14,15,13,520
Lopunny,LV9.5,15,0,4,520
Lopunny,LV9.5,15,1,3,520
Lopunny,LV9.5,15,5,0,520
Lopunny,LV9,15,10,15,520
Lopunny,LV9,15,11,14,520
Lopunny,LV9,15,14,12,520
Lopunny,LV9,15,15,11,520
