Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lunatone,LV9,0,0,12,520
Lunatone,LV9,0,1,11,520
Lunatone,LV9,0,3,8,520
Lunatone,LV9,0,4,7,520
Lunatone,LV9,0,5,5,520
Lunatone,LV9,0,6,4,520
Lunatone,LV9,0,7,3,520
Lunatone,LV9,0,8,1,520
Lunatone,LV9,0,9,0,520
Lunatone,LV9,1,0,10,520
Lunatone,LV9,1,1,8,520
Lunatone,LV9,1,2,7,520
Lunatone,LV9,1,3,6,520
Lunatone,LV9,1,4,4,520
Lunatone,LV9,1,5,3,520
Lunatone,LV9,1,6,2,520
Lunatone,LV9,1,7,0,520
Lunatone,LV9,2,0,7,520
Lunatone,LV9,2,1,6,520
Lunatone,LV9,2,2,5,520
Lunatone,LV9,2,3,3,520
Lunatone,LV9,2,4,2,520
Lunatone,LV9,2,5,1,520
Lunatone,LV8.5,2,14,15,520
Lunatone,LV9,3,0,5,520
Lunatone,LV9,3,1,4,520
Lunatone,LV9,3,2,2,520
Lunatone,LV9,3,3,1,520
Lunatone,LV9,3,4,0,520
Lunatone,LV8.5,3,12,15,520
Lunatone,LV8.5,3,13,14,520
Lunatone,LV8.5,3,14,12,520
Lunatone,LV8.5,3,15,11,520
Lunatone,LV9,4,0,3,520
Lunatone,LV9,4,1,1,520
Lunatone,LV9,4,2,0,520
Lunatone,LV8.5,4,10,15,520
Lunatone,LV8.5,4,11,14,520
Lunatone,LV8.5,4,12,13,520
Lunatone,LV8.5,4,13,11,520
Lunatone,LV8.5,4,14,10,520
Lunatone,LV8.5,4,15,9,520
Lunatone,LV8.5,5,9,14,520
Lunatone,LV8.5,5,10,13,520
Lunatone,LV8.5,5,12,10,520
Lunatone,LV8.5,5,13,9,520
Lunatone,LV8.5,5,14,8,520
Lunatone,LV8.5,5,15,6,520
Lunatone,LV8.5,6,7,15,520
Lunatone,LV8.5,6,8,13,520
Lunatone,LV8.5,6,9,12,520
Lunatone,LV8.5,6,11,9,520
Lunatone,LV8.5,6,12,8,520
Lunatone,LV8.5,6,13,7,520
Lunatone,LV8.5,6,14,5,520
Lunatone,LV8.5,6,15,4,520
Lunatone,LV8.5,7,5,15,520
Lunatone,LV8.5,7,6,14,520
Lunatone,LV8.5,7,7,12,520
Lunatone,LV8.5,7,8,11,520
Lunatone,LV8.5,7,10,8,520
Lunatone,LV8.5,7,11,7,520
Lunatone,LV8.5,7,13,4,520
Lunatone,LV8.5,7,14,3,520
Lunatone,LV8.5,7,15,2,520
Lunatone,LV8.5,8,4,14,520
Lunatone,LV8.5,8,5,13,520
Lunatone,LV8.5,8,6,11,520
Lunatone,LV8.5,8,7,10,520
Lunatone,LV8.5,8,9,7,520
Lunatone,LV8.5,8,10,6,520
Lunatone,LV8.5,8,12,3,520
Lunatone,LV8.5,8,13,2,520
Lunatone,LV8.5,8,14,1,520
Lunatone,LV8.5,9,3,13,520
Lunatone,LV8.5,9,4,12,520
Lunatone,LV8.5,9,5,10,520
Lunatone,LV8.5,9,6,9,520
Lunatone,LV8.5,9,8,6,520
Lunatone,LV8.5,9,9,5,520
Lunatone,LV8.5,9,10,4,520
Lunatone,LV8.5,9,11,2,520
Lunatone,LV8.5,9,12,1,520
Lunatone,LV8.5,9,13,0,520
Lunatone,LV8.5,10,0,15,520
Lunatone,LV8.5,10,2,12,520
Lunatone,LV8.5,10,3,11,520
Lunatone,LV8.5,10,4,9,520
Lunatone,LV8.5,10,5,8,520
Lunatone,LV8.5,10,6,7,520
Lunatone,LV8.5,10,7,5,520
Lunatone,LV8.5,10,8,4,520
Lunatone,LV8.5,10,9,3,520
Lunatone,LV8.5,10,10,1,520
Lunatone,LV8.5,10,11,0,520
Lunatone,LV8.5,11,0,13,520
Lunatone,LV8.5,11,1,11,520
Lunatone,LV8.5,11,2,10,520
Lunatone,LV8.5,11,4,7,520
Lunatone,LV8.5,11,5,6,520
Lunatone,LV8.5,11,6,4,520
Lunatone,LV8.5,11,7,3,520
Lunatone,LV8.5,11,8,2,520
Lunatone,LV8.5,12,0,10,520
Lunatone,LV8.5,12,1,9,520
Lunatone,LV8.5,12,3,6,520
Lunatone,LV8.5,12,4,5,520
Lunatone,LV8.5,12,6,2,520
Lunatone,LV8.5,12,7,1,520
Lunatone,LV8.5,13,0,8,520
Lunatone,LV8.5,13,1,7,520
Lunatone,LV8.5,13,2,5,520
Lunatone,LV8.5,13,3,4,520
Lunatone,LV8.5,13,5,1,520
Lunatone,LV8.5,13,6,0,520
Lunatone,LV8.5,14,0,6,520
Lunatone,LV8.5,14,2,3,520
Lunatone,LV8.5,14,3,2,520
Lunatone,LV8,14,14,15,520
Lunatone,LV8,14,15,14,520
Lunatone,LV8.5,15,0,4,520
Lunatone,LV8.5,15,1,2,520
Lunatone,LV8.5,15,2,1,520
Lunatone,LV8,15,12,15,520
Lunatone,LV8,15,13,14,520
Lunatone,LV8,15,14,13,520
Lunatone,LV8,15,15,11,520
