Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Luxio,LV15,0,1,1,520
Luxio,LV14.5,0,1,12,520
Luxio,LV14.5,0,2,10,520
Luxio,LV14.5,0,3,8,520
Luxio,LV14.5,0,5,5,520
Luxio,LV14,0,6,15,520
Luxio,LV14.5,0,7,2,520
Luxio,LV14,0,7,13,520
Luxio,LV14,0,9,10,520
Luxio,LV14,0,11,7,520
Luxio,LV14,0,13,4,520
Luxio,LV14,0,15,1,520
Luxio,LV13.5,0,15,13,520
Luxio,LV14.5,1,2,8,520
Luxio,LV14.5,1,3,6,520
Luxio,LV14.5,1,5,3,520
Luxio,LV14,1,6,13,520
Luxio,LV14.5,1,7,0,520
Luxio,LV14,1,7,11,520
Luxio,LV14,1,9,8,520
Luxio,LV14,1,11,5,520
Luxio,LV14,1,13,2,520
Luxio,LV13.5,1,13,14,520
Luxio,LV13.5,1,14,12,520
Luxio,LV13.5,1,15,11,520
Luxio,LV14.5,2,0,9,520
Luxio,LV14.5,2,2,6,520
Luxio,LV14.5,2,3,4,520
Luxio,LV14,2,4,14,520
Luxio,LV14.5,2,5,1,520
Luxio,LV14,2,6,11,520
Luxio,LV14,2,7,9,520
Luxio,LV14,2,9,6,520
Luxio,LV14,2,11,3,520
Luxio,LV13.5,2,11,15,520
Luxio,LV13.5,2,12,13,520
Luxio,LV14,2,13,0,520
Luxio,LV13.5,2,13,12,520
Luxio,LV13.5,2,14,10,520
Luxio,LV14.5,3,0,7,520
Luxio,LV14.5,3,2,4,520
Luxio,LV14.5,3,3,2,520
Luxio,LV14,3,3,14,520
Luxio,LV14.5,3,4,1,520
Luxio,LV14,3,4,12,520
Luxio,LV14,3,6,9,520
Luxio,LV14,3,7,7,520
Luxio,LV14,3,9,4,520
Luxio,LV14,3,11,1,520
Luxio,LV13.5,3,11,13,520
Luxio,LV13.5,3,12,11,520
Luxio,LV13.5,3,14,8,520
Luxio,LV14.5,4,0,5,520
Luxio,LV14,4,1,15,520
Luxio,LV14.5,4,2,2,520
Luxio,LV14,4,4,10,520
Luxio,LV14,4,6,7,520
Luxio,LV14,4,7,5,520
Luxio,LV14,4,9,2,520
Luxio,LV13.5,4,9,14,520
Luxio,LV13.5,4,10,12,520
Luxio,LV13.5,4,11,11,520
Luxio,LV13.5,4,12,9,520
Luxio,LV13.5,4,14,6,520
Luxio,LV14,5,0,15,520
Luxio,LV14,5,1,13,520
Luxio,LV14.5,5,2,0,520
Luxio,LV14,5,4,8,520
Luxio,LV14,5,6,5,520
Luxio,LV14,5,7,3,520
Luxio,LV13.5,5,7,15,520
Luxio,LV14,5,9,0,520
Luxio,LV13.5,5,9,12,520
Luxio,LV13.5,5,10,10,520
Luxio,LV13.5,5,11,9,520
Luxio,LV13.5,5,12,7,520
Luxio,LV13.5,5,14,4,520
Luxio,LV13.5,5,15,3,520
Luxio,LV13,5,15,15,520
Luxio,LV14,6,0,13,520
Luxio,LV14.5,6,1,0,520
Luxio,LV14,6,1,11,520
Luxio,LV14,6,4,6,520
Luxio,LV14,6,6,3,520
Luxio,LV13.5,6,6,15,520
Luxio,LV14,6,7,1,520
Luxio,LV13.5,6,7,13,520
Luxio,LV14,6,8,0,520
Luxio,LV13.5,6,9,10,520
Luxio,LV13.5,6,10,8,520
Luxio,LV13.5,6,11,7,520
Luxio,LV13.5,6,12,5,520
Luxio,LV13.5,6,13,4,520
Luxio,LV13.5,6,14,2,520
Luxio,LV13.5,6,15,1,520
Luxio,LV13,6,15,13,520
Luxio,LV14,7,0,11,520
Luxio,LV14,7,1,9,520
Luxio,LV14,7,3,6,520
Luxio,LV14,7,4,4,520
Luxio,LV14,7,6,1,520
Luxio,LV13.5,7,6,13,520
Luxio,LV13.5,7,7,11,520
Luxio,LV13.5,7,9,8,520
Luxio,LV13.5,7,10,6,520
Luxio,LV13.5,7,11,5,520
Luxio,LV13.5,7,12,3,520
Luxio,LV13.5,7,13,2,520
Luxio,LV13,7,13,14,520
Luxio,LV13,7,15,11,520
Luxio,LV14,8,0,9,520
Luxio,LV14,8,1,7,520
Luxio,LV14,8,3,4,520
Luxio,LV14,8,4,2,520
Luxio,LV13.5,8,4,14,520
Luxio,LV13.5,8,7,9,520
Luxio,LV13.5,8,9,6,520
Luxio,LV13.5,8,11,3,520
Luxio,LV13,8,11,15,520
Luxio,LV13.5,8,13,0,520
Luxio,LV13,8,13,12,520
Luxio,LV13,8,15,9,520
Luxio,LV14,9,0,7,520
Luxio,LV14,9,1,5,520
Luxio,LV14,9,3,2,520
Luxio,LV13.5,9,3,14,520
Luxio,LV13.5,9,4,12,520
Luxio,LV13.5,9,6,9,520
Luxio,LV13.5,9,7,7,520
Luxio,LV13.5,9,9,4,520
Luxio,LV13,9,10,15,520
Luxio,LV13.5,9,11,1,520
Luxio,LV13,9,11,13,520
Luxio,LV13,9,13,10,520
Luxio,LV13,9,15,7,520
Luxio,LV14,10,0,5,520
Luxio,LV14,10,1,3,520
Luxio,LV13.5,10,1,15,520
Luxio,LV14,10,3,0,520
Luxio,LV13.5,10,3,12,520
Luxio,LV13.5,10,4,10,520
Luxio,LV13.5,10,6,7,520
Luxio,LV13.5,10,7,5,520
Luxio,LV13.5,10,9,2,520
Luxio,LV13,10,10,13,520
Luxio,LV13,10,11,11,520
Luxio,LV13,10,13,8,520
Luxio,LV13,10,15,5,520
Luxio,LV14,11,0,3,520
Luxio,LV13.5,11,0,15,520
Luxio,LV13.5,11,1,13,520
Luxio,LV14,11,2,0,520
Luxio,LV13.5,11,3,10,520
Luxio,LV13.5,11,4,8,520
Luxio,LV13.5,11,6,5,520
Luxio,LV13.5,11,8,2,520
Luxio,LV13,11,8,14,520
Luxio,LV13.5,11,9,0,520
Luxio,LV13,11,10,11,520
Luxio,LV13,11,11,9,520
Luxio,LV13,11,12,8,520
Luxio,LV13,11,13,6,520
Luxio,LV13,11,14,5,520
Luxio,LV14,12,0,1,520
Luxio,LV13.5,12,0,13,520
Luxio,LV13.5,12,1,11,520
Luxio,LV13.5,12,3,8,520
Luxio,LV13.5,12,4,6,520
Luxio,LV13.5,12,6,3,520
Luxio,LV13,12,7,14,520
Luxio,LV13.5,12,8,0,520
Luxio,LV13,12,8,12,520
Luxio,LV13,12,10,9,520
Luxio,LV13,12,12,6,520
Luxio,LV13,12,14,3,520
Luxio,LV12.5,12,15,14,520
Luxio,LV13.5,13,0,11,520
Luxio,LV13.5,13,3,6,520
Luxio,LV13.5,13,5,3,520
Luxio,LV13,13,5,15,520
Luxio,LV13.5,13,6,1,520
Luxio,LV13,13,7,12,520
Luxio,LV13,13,8,10,520
Luxio,LV13,13,10,7,520
Luxio,LV13,13,12,4,520
Luxio,LV13,13,14,1,520
Luxio,LV12.5,13,14,14,520
Luxio,LV12.5,13,15,12,520
Luxio,LV13.5,14,0,9,520
Luxio,LV13.5,14,2,6,520
Luxio,LV13.5,14,3,4,520
Luxio,LV13,14,4,15,520
Luxio,LV13.5,14,5,1,520
Luxio,LV13,14,5,13,520
Luxio,LV13,14,7,10,520
Luxio,LV13,14,8,8,520
Luxio,LV13,14,10,5,520
Luxio,LV13,14,12,2,520
Luxio,LV12.5,14,12,15,520
Luxio,LV12.5,14,14,12,520
Luxio,LV13.5,15,0,7,520
Luxio,LV13.5,15,2,4,520
Luxio,LV13.5,15,3,2,520
Luxio,LV13.5,15,4,1,520
Luxio,LV13,15,4,13,520
Luxio,LV13,15,5,11,520
Luxio,LV13,15,7,8,520
Luxio,LV13,15,9,5,520
Luxio,LV13,15,11,2,520
Luxio,LV12.5,15,12,13,520
Luxio,LV12.5,15,14,10,520
