Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lycanroc Midday Form,LV8,0,0,2,520
Lycanroc Midday Form,LV7.5,0,10,15,520
Lycanroc Midday Form,LV7.5,0,11,14,520
Lycanroc Midday Form,LV7.5,0,13,11,520
Lycanroc Midday Form,LV7.5,0,14,10,520
Lycanroc Midday Form,LV7.5,0,15,9,520
Lycanroc Midday Form,LV7.5,1,9,15,520
Lycanroc Midday Form,LV7.5,1,11,12,520
Lycanroc Midday Form,LV7.5,1,12,11,520
Lycanroc Midday Form,LV7.5,1,15,7,520
Lycanroc Midday Form,LV7.5,2,8,14,520
Lycanroc Midday Form,LV7.5,2,9,13,520
Lycanroc Midday Form,LV7.5,2,10,12,520
Lycanroc Midday Form,LV7.5,2,12,9,520
Lycanroc Midday Form,LV7.5,2,13,8,520
Lycanroc Midday Form,LV7.5,2,14,7,520
Lycanroc Midday Form,LV7.5,3,6,15,520
Lycanroc Midday Form,LV7.5,3,7,14,520
Lycanroc Midday Form,LV7.5,3,8,13,520
Lycanroc Midday Form,LV7.5,3,10,10,520
Lycanroc Midday Form,LV7.5,3,11,9,520
Lycanroc Midday Form,LV7.5,3,14,5,520
Lycanroc Midday Form,LV7.5,3,15,4,520
Lycanroc Midday Form,LV7.5,4,5,15,520
Lycanroc Midday Form,LV7.5,4,6,14,520
Lycanroc Midday Form,LV7.5,4,7,12,520
Lycanroc Midday Form,LV7.5,4,8,11,520
Lycanroc Midday Form,LV7.5,4,9,10,520
Lycanroc Midday Form,LV7.5,4,11,7,520
Lycanroc Midday Form,LV7.5,4,12,6,520
Lycanroc Midday Form,LV7.5,4,13,5,520
Lycanroc Midday Form,LV7.5,5,4,15,520
Lycanroc Midday Form,LV7.5,5,5,13,520
Lycanroc Midday Form,LV7.5,5,6,12,520
Lycanroc Midday Form,LV7.5,5,7,11,520
Lycanroc Midday Form,LV7.5,5,9,8,520
Lycanroc Midday Form,LV7.5,5,10,7,520
Lycanroc Midday Form,LV7.5,5,11,6,520
Lycanroc Midday Form,LV7.5,5,13,3,520
Lycanroc Midday Form,LV7.5,5,14,2,520
Lycanroc Midday Form,LV7.5,5,15,1,520
Lycanroc Midday Form,LV7.5,6,4,13,520
Lycanroc Midday Form,LV7.5,6,5,12,520
Lycanroc Midday Form,LV7.5,6,7,9,520
Lycanroc Midday Form,LV7.5,6,8,8,520
Lycanroc Midday Form,LV7.5,6,10,5,520
Lycanroc Midday Form,LV7.5,6,11,4,520
Lycanroc Midday Form,LV7.5,6,12,3,520
Lycanroc Midday Form,LV7.5,6,13,2,520
Lycanroc Midday Form,LV7.5,7,2,14,520
Lycanroc Midday Form,LV7.5,7,3,13,520
Lycanroc Midday Form,LV7.5,7,5,10,520
Lycanroc Midday Form,LV7.5,7,6,9,520
Lycanroc Midday Form,LV7.5,7,8,6,520
Lycanroc Midday Form,LV7.5,7,9,5,520
Lycanroc Midday Form,LV7.5,7,10,4,520
Lycanroc Midday Form,LV7.5,7,12,1,520
Lycanroc Midday Form,LV7.5,7,13,0,520
Lycanroc Midday Form,LV7.5,8,0,15,520
Lycanroc Midday Form,LV7.5,8,1,14,520
Lycanroc Midday Form,LV7.5,8,3,11,520
