Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Lycanroc Midnight Form,LV7.5,0,3,15,520
Lycanroc Midnight Form,LV7.5,0,4,14,520
Lycanroc Midnight Form,LV7.5,0,5,12,520
Lycanroc Midnight Form,LV7.5,0,6,11,520
Lycanroc Midnight Form,LV7.5,0,7,10,520
Lycanroc Midnight Form,LV7.5,0,9,7,520
Lycanroc Midnight Form,LV7.5,0,10,6,520
Lycanroc Midnight Form,LV7.5,0,11,5,520
Lycanroc Midnight Form,LV7.5,0,13,2,520
Lycanroc Midnight Form,LV7.5,0,14,1,520
Lycanroc Midnight Form,LV7.5,0,15,0,520
Lycanroc Midnight Form,LV7.5,1,3,13,520
Lycanroc Midnight Form,LV7.5,1,4,12,520
Lycanroc Midnight Form,LV7.5,1,6,9,520
Lycanroc Midnight Form,LV7.5,1,7,8,520
Lycanroc Midnight Form,LV7.5,1,9,5,520
Lycanroc Midnight Form,LV7.5,1,10,4,520
Lycanroc Midnight Form,LV7.5,1,11,3,520
Lycanroc Midnight Form,LV7.5,1,13,0,520
Lycanroc Midnight Form,LV7.5,2,0,15,520
Lycanroc Midnight Form,LV7.5,2,1,14,520
Lycanroc Midnight Form,LV7.5,2,3,11,520
Lycanroc Midnight Form,LV7.5,2,4,10,520
Lycanroc Midnight Form,LV7.5,2,6,7,520
Lycanroc Midnight Form,LV7.5,2,7,6,520
Lycanroc Midnight Form,LV7.5,2,8,5,520
Lycanroc Midnight Form,LV7.5,2,10,2,520
Lycanroc Midnight Form,LV7.5,2,11,1,520
Lycanroc Midnight Form,LV7.5,2,12,0,520
Lycanroc Midnight Form,LV7.5,3,1,12,520
Lycanroc Midnight Form,LV7.5,3,2,11,520
Lycanroc Midnight Form,LV7.5,3,3,9,520
Lycanroc Midnight Form,LV7.5,3,4,8,520
Lycanroc Midnight Form,LV7.5,3,5,7,520
Lycanroc Midnight Form,LV7.5,3,7,4,520
Lycanroc Midnight Form,LV7.5,3,8,3,520
Lycanroc Midnight Form,LV7.5,3,9,2,520
Lycanroc Midnight Form,LV7.5,4,1,10,520
Lycanroc Midnight Form,LV7.5,4,2,9,520
Lycanroc Midnight Form,LV7.5,4,4,6,520
Lycanroc Midnight Form,LV7.5,4,5,5,520
Lycanroc Midnight Form,LV7.5,4,7,2,520
Lycanroc Midnight Form,LV7.5,4,8,1,520
Lycanroc Midnight Form,LV7.5,4,9,0,520
Lycanroc Midnight Form,LV7.5,5,0,10,520
Lycanroc Midnight Form,LV7.5,5,1,8,520
Lycanroc Midnight Form,LV7.5,5,2,7,520
Lycanroc Midnight Form,LV7.5,5,3,6,520
Lycanroc Midnight Form,LV7.5,5,4,4,520
Lycanroc Midnight Form,LV7.5,5,5,3,520
Lycanroc Midnight Form,LV7.5,5,6,2,520
Lycanroc Midnight Form,LV7.5,6,0,8,520
Lycanroc Midnight Form,LV7.5,6,2,5,520
Lycanroc Midnight Form,LV7.5,6,3,4,520
Lycanroc Midnight Form,LV7.5,6,5,1,520
Lycanroc Midnight Form,LV7.5,6,6,0,520
Lycanroc Midnight Form,LV7.5,7,0,6,520
Lycanroc Midnight Form,LV7.5,7,1,5,520
Lycanroc Midnight Form,LV7.5,7,2,3,520
Lycanroc Midnight Form,LV7.5,7,3,2,520
Lycanroc Midnight Form,LV7.5,7,4,1,520
Lycanroc Midnight Form,LV7.5,8,0,4,520
Lycanroc Midnight Form,LV7.5,8,1,3,520
Lycanroc Midnight Form,LV7.5,8,3,0,520
Lycanroc Midnight Form,LV7.5,9,1,1,520
Lycanroc Midnight Form,LV7.5,9,2,0,520
Lycanroc Midnight Form,LV7,9,14,15,520
Lycanroc Midnight Form,LV7,9,15,14,520
Lycanroc Midnight Form,LV7.5,10,0,1,520
Lycanroc Midnight Form,LV7,10,13,14,520
Lycanroc Midnight Form,LV7,10,14,13,520
Lycanroc Midnight Form,LV7,10,15,12,520
Lycanroc Midnight Form,LV7,11,11,15,520
Lycanroc Midnight Form,LV7,11,12,14,520
Lycanroc Midnight Form,LV7,11,14,11,520
Lycanroc Midnight Form,LV7,11,15,10,520
Lycanroc Midnight Form,LV7,12,11,13,520
Lycanroc Midnight Form,LV7,12,12,12,520
Lycanroc Midnight Form,LV7,12,13,11,520
Lycanroc Midnight Form,LV7,12,15,8,520
Lycanroc Midnight Form,LV7,13,8,15,520
Lycanroc Midnight Form,LV7,13,9,14,520
Lycanroc Midnight Form,LV7,13,10,13,520
Lycanroc Midnight Form,LV7,13,12,10,520
Lycanroc Midnight Form,LV7,13,13,9,520
Lycanroc Midnight Form,LV7,13,14,8,520
Lycanroc Midnight Form,LV7,14,7,15,520
Lycanroc Midnight Form,LV7,14,9,12,520
Lycanroc Midnight Form,LV7,14,10,11,520
Lycanroc Midnight Form,LV7,14,11,10,520
Lycanroc Midnight Form,LV7,14,12,8,520
Lycanroc Midnight Form,LV7,14,13,7,520
Lycanroc Midnight Form,LV7,14,14,6,520
Lycanroc Midnight Form,LV7,14,15,5,520
Lycanroc Midnight Form,LV7,15,6,14,520
Lycanroc Midnight Form,LV7,15,7,13,520
Lycanroc Midnight Form,LV7,15,8,12,520
Lycanroc Midnight Form,LV7,15,10,9,520
Lycanroc Midnight Form,LV7,15,11,8,520
Lycanroc Midnight Form,LV7,15,12,7,520
Lycanroc Midnight Form,LV7,15,13,5,520
Lycanroc Midnight Form,LV7,15,14,4,520
Lycanroc Midnight Form,LV7,15,15,3,520
