Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Magby,LV17,0,1,1,520
Magby,LV16.5,0,1,9,520
Magby,LV17,0,2,0,520
Magby,LV16,0,3,15,520
Magby,LV16.5,0,4,5,520
Magby,LV16.5,0,5,4,520
Magby,LV16,0,5,12,520
Magby,LV16,0,6,11,520
Magby,LV16.5,0,8,0,520
Magby,LV16,0,8,8,520
Magby,LV16,0,9,7,520
Magby,LV15.5,0,11,13,520
Magby,LV15.5,0,12,12,520
Magby,LV16,0,13,2,520
Magby,LV16,0,14,1,520
Magby,LV16,0,15,0,520
Magby,LV15.5,0,15,8,520
Magby,LV16.5,1,1,7,520
Magby,LV16.5,1,2,6,520
Magby,LV16,1,3,13,520
Magby,LV16.5,1,5,2,520
Magby,LV16.5,1,6,1,520
Magby,LV16,1,6,9,520
Magby,LV15.5,1,8,15,520
Magby,LV16,1,9,5,520
Magby,LV15.5,1,9,14,520
Magby,LV16,1,10,4,520
Magby,LV16,1,11,3,520
Magby,LV15.5,1,12,10,520
Magby,LV15.5,1,13,9,520
Magby,LV16.5,2,0,7,520
Magby,LV16,2,1,14,520
Magby,LV16.5,2,2,4,520
Magby,LV16.5,2,3,3,520
Magby,LV16,2,3,11,520
Magby,LV16,2,4,10,520
Magby,LV16,2,6,7,520
Magby,LV16,2,7,6,520
Magby,LV15.5,2,9,12,520
Magby,LV16,2,10,2,520
Magby,LV15.5,2,10,11,520
Magby,LV16,2,11,1,520
Magby,LV16,2,12,0,520
Magby,LV15.5,2,13,7,520
Magby,LV15.5,2,14,6,520
Magby,LV15,2,14,15,520
Magby,LV16.5,3,0,5,520
Magby,LV16.5,3,1,4,520
Magby,LV16,3,1,12,520
Magby,LV16.5,3,3,1,520
Magby,LV16.5,3,4,0,520
Magby,LV16,3,4,8,520
Magby,LV15.5,3,6,14,520
Magby,LV16,3,7,4,520
Magby,LV15.5,3,7,13,520
Magby,LV16,3,8,3,520
Magby,LV15.5,3,9,10,520
Magby,LV15.5,3,10,9,520
Magby,LV15.5,3,14,4,520
Magby,LV15,3,14,13,520
Magby,LV15.5,3,15,3,520
Magby,LV15,3,15,12,520
Magby,LV16.5,4,1,2,520
Magby,LV16.5,4,2,1,520
Magby,LV16,4,2,9,520
Magby,LV15.5,4,4,15,520
Magby,LV16,4,5,5,520
Magby,LV15.5,4,7,11,520
Magby,LV16,4,9,0,520
Magby,LV15.5,4,10,7,520
Magby,LV15.5,4,11,6,520
Magby,LV15,4,11,15,520
Magby,LV15.5,4,12,5,520
Magby,LV15,4,12,14,520
Magby,LV15,4,14,11,520
Magby,LV15,4,15,10,520
Magby,LV16,5,0,10,520
Magby,LV16,5,2,7,520
Magby,LV16,5,3,6,520
Magby,LV15.5,5,4,13,520
Magby,LV15.5,5,5,12,520
Magby,LV16,5,6,2,520
Magby,LV16,5,7,1,520
Magby,LV15.5,5,7,9,520
Magby,LV15.5,5,8,8,520
Magby,LV15,5,11,13,520
Magby,LV15.5,5,12,3,520
Magby,LV15,5,12,12,520
Magby,LV15.5,5,13,2,520
Magby,LV15.5,5,14,1,520
Magby,LV16.5,6,0,0,520
Magby,LV16,6,0,8,520
Magby,LV16,6,1,7,520
Magby,LV15.5,6,2,14,520
Magby,LV16,6,3,4,520
Magby,LV15.5,6,3,13,520
Magby,LV16,6,4,3,520
Magby,LV15.5,6,5,10,520
Magby,LV15.5,6,6,9,520
Magby,LV15.5,6,8,6,520
Magby,LV15.5,6,9,5,520
Magby,LV15,6,9,14,520
Magby,LV15.5,6,10,4,520
Magby,LV15,6,12,10,520
Magby,LV15,6,13,9,520
Magby,LV15.5,7,0,15,520
Magby,LV16,7,1,5,520
Magby,LV15.5,7,1,14,520
Magby,LV16,7,2,4,520
Magby,LV15.5,7,3,11,520
Magby,LV16,7,4,1,520
Magby,LV16,7,5,0,520
