Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Magcargo,LV12.5,0,1,10,520
Magcargo,LV12.5,0,2,9,520
Magcargo,LV12.5,0,3,8,520
Magcargo,LV12.5,0,5,7,520
Magcargo,LV12.5,0,6,6,520
Magcargo,LV12.5,0,9,4,520
Magcargo,LV12.5,0,10,3,520
Magcargo,LV12,0,10,15,520
Magcargo,LV12.5,0,12,2,520
Magcargo,LV12.5,0,13,1,520
Magcargo,LV12,0,13,13,520
Magcargo,LV12,0,14,12,520
Magcargo,LV12.5,0,15,0,520
Magcargo,LV12.5,1,2,7,520
Magcargo,LV12.5,1,3,6,520
Magcargo,LV12.5,1,6,4,520
Magcargo,LV12.5,1,7,3,520
Magcargo,LV12,1,7,15,520
Magcargo,LV12.5,1,9,2,520
Magcargo,LV12.5,1,10,1,520
Magcargo,LV12,1,10,13,520
Magcargo,LV12,1,11,12,520
Magcargo,LV12.5,1,12,0,520
Magcargo,LV12,1,14,10,520
Magcargo,LV12,1,15,9,520
Magcargo,LV12.5,2,2,5,520
Magcargo,LV12.5,2,3,4,520
Magcargo,LV12.5,2,6,2,520
Magcargo,LV12,2,6,14,520
Magcargo,LV12,2,7,13,520
Magcargo,LV12,2,8,12,520
Magcargo,LV12.5,2,9,0,520
Magcargo,LV12,2,10,11,520
Magcargo,LV12,2,11,10,520
Magcargo,LV12,2,14,8,520
Magcargo,LV12,2,15,7,520
Magcargo,LV12.5,3,2,3,520
Magcargo,LV12,3,2,15,520
Magcargo,LV12.5,3,3,2,520
Magcargo,LV12,3,3,14,520
Magcargo,LV12,3,4,13,520
Magcargo,LV12.5,3,6,0,520
Magcargo,LV12,3,7,11,520
Magcargo,LV12,3,8,10,520
Magcargo,LV12,3,11,8,520
Magcargo,LV12,3,14,6,520
Magcargo,LV12,3,15,5,520
Magcargo,LV12,4,0,14,520
Magcargo,LV12.5,4,2,1,520
Magcargo,LV12.5,4,3,0,520
Magcargo,LV12,4,3,12,520
Magcargo,LV12,4,4,11,520
Magcargo,LV12,4,7,9,520
Magcargo,LV12,4,8,8,520
Magcargo,LV12,4,11,6,520
Magcargo,LV12,4,12,5,520
Magcargo,LV12,4,14,4,520
Magcargo,LV12,4,15,3,520
Magcargo,LV12,5,0,12,520
Magcargo,LV12,5,3,10,520
Magcargo,LV12,5,4,9,520
Magcargo,LV12,5,7,7,520
Magcargo,LV12,5,8,6,520
Magcargo,LV12,5,11,4,520
Magcargo,LV11.5,5,13,15,520
Magcargo,LV12,5,14,2,520
Magcargo,LV11.5,5,14,14,520
Magcargo,LV12,5,15,1,520
Magcargo,LV12,6,0,10,520
Magcargo,LV12,6,3,8,520
Magcargo,LV12,6,4,7,520
Magcargo,LV12,6,7,5,520
Magcargo,LV12,6,8,4,520
Magcargo,LV12,6,10,3,520
Magcargo,LV11.5,6,10,15,520
Magcargo,LV12,6,11,2,520
Magcargo,LV11.5,6,13,13,520
Magcargo,LV12,6,14,0,520
Magcargo,LV11.5,6,14,12,520
Magcargo,LV12,7,0,8,520
Magcargo,LV12,7,3,6,520
Magcargo,LV12,7,4,5,520
Magcargo,LV12,7,7,3,520
Magcargo,LV12,7,8,2,520
Magcargo,LV11.5,7,9,14,520
Magcargo,LV12,7,10,1,520
Magcargo,LV11.5,7,10,13,520
Magcargo,LV12,7,11,0,520
Magcargo,LV11.5,7,13,11,520
Magcargo,LV11.5,7,14,10,520
Magcargo,LV12,8,0,6,520
Magcargo,LV12,8,3,4,520
Magcargo,LV12,8,4,3,520
Magcargo,LV11.5,8,5,15,520
Magcargo,LV11.5,8,6,14,520
Magcargo,LV12,8,7,1,520
Magcargo,LV11.5,8,7,13,520
Magcargo,LV11.5,8,9,12,520
Magcargo,LV11.5,8,10,11,520
Magcargo,LV11.5,8,13,9,520
Magcargo,LV11.5,8,14,8,520
Magcargo,LV12,9,0,4,520
Magcargo,LV11.5,9,2,15,520
