Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Mareep,LV23.5,0,0,4,520
Mareep,LV23.5,0,1,2,520
Mareep,LV23,0,2,7,520
Mareep,LV23,0,3,5,520
Mareep,LV23,0,4,3,520
Mareep,LV22.5,0,4,10,520
Mareep,LV22.5,0,5,8,520
Mareep,LV22,0,5,15,520
Mareep,LV22.5,0,6,6,520
Mareep,LV22,0,6,13,520
Mareep,LV22,0,7,11,520
Mareep,LV22.5,0,9,1,520
Mareep,LV21.5,0,9,15,520
Mareep,LV22,0,10,6,520
Mareep,LV21.5,0,10,13,520
Mareep,LV22,0,11,4,520
Mareep,LV22,0,13,1,520
Mareep,LV21.5,0,13,8,520
Mareep,LV21.5,0,14,6,520
Mareep,LV21,0,15,12,520
Mareep,LV23,1,0,8,520
Mareep,LV22.5,1,0,15,520
Mareep,LV23,1,1,6,520
Mareep,LV22.5,1,1,13,520
Mareep,LV23,1,2,4,520
Mareep,LV22.5,1,2,11,520
Mareep,LV22.5,1,3,9,520
Mareep,LV22.5,1,4,7,520
Mareep,LV22,1,4,14,520
Mareep,LV22.5,1,5,5,520
Mareep,LV22,1,5,12,520
Mareep,LV22.5,1,7,2,520
Mareep,LV22.5,1,8,0,520
Mareep,LV22,1,8,7,520
Mareep,LV21.5,1,8,14,520
Mareep,LV22,1,9,5,520
Mareep,LV21.5,1,9,12,520
Mareep,LV22,1,12,0,520
Mareep,LV21.5,1,12,7,520
Mareep,LV21,1,12,14,520
Mareep,LV21.5,1,13,5,520
Mareep,LV21,1,14,11,520
Mareep,LV21.5,1,15,2,520
Mareep,LV21,1,15,9,520
Mareep,LV23,2,0,5,520
Mareep,LV22.5,2,0,12,520
Mareep,LV22.5,2,1,10,520
Mareep,LV22.5,2,2,8,520
Mareep,LV22,2,2,15,520
Mareep,LV23,2,3,0,520
Mareep,LV22.5,2,6,1,520
Mareep,LV21.5,2,6,15,520
Mareep,LV22,2,7,6,520
Mareep,LV21.5,2,7,13,520
Mareep,LV22,2,8,4,520
Mareep,LV21.5,2,8,11,520
Mareep,LV22,2,10,1,520
Mareep,LV21,2,10,15,520
Mareep,LV21.5,2,11,6,520
Mareep,LV21,2,11,13,520
Mareep,LV21,2,13,10,520
Mareep,LV21.5,2,14,1,520
Mareep,LV21,2,14,8,520
Mareep,LV20.5,2,15,14,520
Mareep,LV23,3,1,1,520
Mareep,LV22.5,3,3,4,520
Mareep,LV22.5,3,4,2,520
Mareep,LV22,3,4,9,520
Mareep,LV22.5,3,5,0,520
Mareep,LV22,3,5,7,520
Mareep,LV21.5,3,5,14,520
Mareep,LV22,3,6,5,520
Mareep,LV21.5,3,6,12,520
Mareep,LV22,3,9,0,520
Mareep,LV21.5,3,9,7,520
Mareep,LV21,3,9,14,520
Mareep,LV21.5,3,10,5,520
Mareep,LV21.5,3,12,2,520
Mareep,LV21,3,12,9,520
Mareep,LV21.5,3,13,0,520
Mareep,LV21,3,13,7,520
Mareep,LV20.5,3,13,15,520
Mareep,LV20.5,3,14,13,520
Mareep,LV21,3,15,4,520
Mareep,LV23,4,0,0,520
Mareep,LV22.5,4,0,7,520
Mareep,LV22,4,0,14,520
Mareep,LV22.5,4,1,5,520
Mareep,LV22,4,1,12,520
Mareep,LV22.5,4,2,3,520
Mareep,LV22,4,2,10,520
Mareep,LV22.5,4,3,1,520
Mareep,LV22,4,3,8,520
Mareep,LV21.5,4,3,15,520
Mareep,LV22,4,4,6,520
Mareep,LV21.5,4,4,13,520
Mareep,LV22,4,7,1,520
Mareep,LV21,4,7,15,520
Mareep,LV21.5,4,8,6,520
Mareep,LV21,4,8,13,520
Mareep,LV21.5,4,9,4,520
Mareep,LV21.5,4,11,1,520
Mareep,LV21,4,11,8,520
Mareep,LV21,4,12,6,520
Mareep,LV20.5,4,12,14,520
Mareep,LV20.5,4,13,12,520
Mareep,LV21,4,14,3,520
Mareep,LV22.5,5,0,4,520
Mareep,LV22,5,0,11,520
Mareep,LV22,5,1,9,520
Mareep,LV22,5,2,7,520
Mareep,LV22,5,5,2,520
Mareep,LV21.5,5,5,9,520
Mareep,LV22,5,6,0,520
Mareep,LV21.5,5,6,7,520
Mareep,LV21,5,6,14,520
Mareep,LV21.5,5,7,5,520
Mareep,LV21,5,9,9,520
Mareep,LV21.5,5,10,0,520
Mareep,LV21,5,10,7,520
Mareep,LV20.5,5,11,13,520
Mareep,LV20.5,5,12,11,520
Mareep,LV21,5,13,2,520
Mareep,LV20.5,5,14,8,520
Mareep,LV20.5,5,15,6,520
Mareep,LV20,5,15,14,520
Mareep,LV22.5,6,0,2,520
Mareep,LV22.5,6,1,0,520
Mareep,LV21.5,6,1,14,520
Mareep,LV21.5,6,2,12,520
Mareep,LV22,6,3,3,520
Mareep,LV21.5,6,3,10,520
Mareep,LV22,6,4,1,520
Mareep,LV21.5,6,4,8,520
Mareep,LV21.5,6,5,6,520
Mareep,LV21,6,7,10,520
Mareep,LV21.5,6,8,1,520
Mareep,LV21,6,8,8,520
Mareep,LV21,6,9,6,520
Mareep,LV20.5,6,9,14,520
Mareep,LV20.5,6,10,12,520
Mareep,LV21,6,11,3,520
Mareep,LV20.5,6,11,10,520
Mareep,LV21,6,12,1,520
Mareep,LV20.5,6,13,7,520
Mareep,LV20.5,6,14,5,520
Mareep,LV20,6,14,13,520
Mareep,LV20,6,15,11,520
Mareep,LV22,7,0,6,520
Mareep,LV21.5,7,0,13,520
Mareep,LV22,7,1,4,520
Mareep,LV21.5,7,1,11,520
Mareep,LV22,7,2,2,520
Mareep,LV21.5,7,2,9,520
Mareep,LV21,7,3,15,520
Mareep,LV21,7,4,13,520
Mareep,LV21,7,5,11,520
Mareep,LV21.5,7,6,2,520
Mareep,LV21,7,6,9,520
Mareep,LV21.5,7,7,0,520
Mareep,LV21,7,7,7,520
Mareep,LV20.5,7,7,15,520
Mareep,LV20.5,7,8,13,520
Mareep,LV21,7,9,4,520
Mareep,LV20.5,7,9,11,520
Mareep,LV21,7,10,2,520
Mareep,LV20.5,7,12,6,520
Mareep,LV20,7,13,12,520
Mareep,LV20,7,14,10,520
Mareep,LV20.5,7,15,1,520
Mareep,LV22,8,2,0,520
Mareep,LV21,8,2,14,520
Mareep,LV21.5,8,3,5,520
Mareep,LV21,8,3,12,520
Mareep,LV21.5,8,4,3,520
Mareep,LV21,8,4,10,520
Mareep,LV21.5,8,5,1,520
Mareep,LV20.5,8,6,14,520
Mareep,LV21,8,7,5,520
Mareep,LV20.5,8,7,12,520
Mareep,LV21,8,8,3,520
Mareep,LV20.5,8,10,7,520
Mareep,LV20.5,8,11,5,520
Mareep,LV20,8,11,13,520
Mareep,LV20,8,12,11,520
Mareep,LV20.5,8,13,2,520
Mareep,LV20.5,8,14,0,520
Mareep,LV20,8,15,6,520
Mareep,LV19.5,8,15,14,520
Mareep,LV22,9,0,1,520
Mareep,LV21.5,9,0,8,520
Mareep,LV21.5,9,1,6,520
Mareep,LV21.5,9,2,4,520
Mareep,LV20.5,9,4,15,520
Mareep,LV21,9,5,6,520
Mareep,LV21,9,6,4,520
Mareep,LV21,9,7,2,520
Mareep,LV20.5,9,8,8,520
Mareep,LV20.5,9,9,6,520
Mareep,LV20,9,9,14,520
Mareep,LV20,9,10,12,520
Mareep,LV20,9,11,10,520
Mareep,LV20.5,9,12,1,520
Mareep,LV20,9,13,7,520
Mareep,LV19.5,9,13,15,520
Mareep,LV20,9,14,5,520
Mareep,LV19.5,9,14,13,520
Mareep,LV21,10,0,13,520
Mareep,LV21,10,1,11,520
Mareep,LV21.5,10,2,2,520
Mareep,LV21,10,2,9,520
Mareep,LV21.5,10,3,0,520
Mareep,LV21,10,3,7,520
Mareep,LV21,10,4,5,520
Mareep,LV20.5,10,5,11,520
Mareep,LV20.5,10,6,9,520
Mareep,LV21,10,7,0,520
Mareep,LV20.5,10,7,7,520
Mareep,LV20,10,7,15,520
Mareep,LV20,10,8,13,520
Mareep,LV20,10,9,11,520
Mareep,LV20.5,10,10,2,520
Mareep,LV20,10,11,8,520
Mareep,LV20,10,12,6,520
Mareep,LV19.5,10,12,14,520
Mareep,LV19.5,10,13,12,520
Mareep,LV20,10,14,3,520
Mareep,LV20,10,15,1,520
Mareep,LV19.5,10,15,9,520
Mareep,LV21.5,11,0,3,520
Mareep,LV21,11,0,10,520
Mareep,LV21.5,11,1,1,520
Mareep,LV20.5,11,2,14,520
Mareep,LV20.5,11,3,12,520
Mareep,LV21,11,4,3,520
Mareep,LV20.5,11,4,10,520
Mareep,LV21,11,5,1,520
Mareep,LV20.5,11,5,8,520
Mareep,LV20,11,6,14,520
Mareep,LV20,11,7,12,520
Mareep,LV20.5,11,8,3,520
Mareep,LV20.5,11,9,1,520
Mareep,LV20,11,10,7,520
