Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Mawile Mega Mawile,LV9,0,1,1,520
Mawile Mega Mawile,LV8.5,0,8,14,520
Mawile Mega Mawile,LV8.5,0,9,13,520
Mawile Mega Mawile,LV8.5,0,11,12,520
Mawile Mega Mawile,LV8.5,0,14,10,520
Mawile Mega Mawile,LV9,1,0,0,520
Mawile Mega Mawile,LV8.5,1,4,15,520
Mawile Mega Mawile,LV8.5,1,7,13,520
Mawile Mega Mawile,LV8.5,1,10,11,520
Mawile Mega Mawile,LV8.5,1,12,10,520
Mawile Mega Mawile,LV8.5,1,13,9,520
Mawile Mega Mawile,LV8.5,1,15,8,520
Mawile Mega Mawile,LV8.5,2,2,15,520
Mawile Mega Mawile,LV8.5,2,3,14,520
Mawile Mega Mawile,LV8.5,2,5,13,520
Mawile Mega Mawile,LV8.5,2,6,12,520
Mawile Mega Mawile,LV8.5,2,8,11,520
Mawile Mega Mawile,LV8.5,2,9,10,520
Mawile Mega Mawile,LV8.5,2,11,9,520
Mawile Mega Mawile,LV8.5,2,12,8,520
Mawile Mega Mawile,LV8.5,2,14,7,520
Mawile Mega Mawile,LV8.5,3,1,14,520
Mawile Mega Mawile,LV8.5,3,2,13,520
Mawile Mega Mawile,LV8.5,3,4,12,520
Mawile Mega Mawile,LV8.5,3,5,11,520
Mawile Mega Mawile,LV8.5,3,7,10,520
Mawile Mega Mawile,LV8.5,3,8,9,520
Mawile Mega Mawile,LV8.5,3,10,8,520
Mawile Mega Mawile,LV8.5,3,13,6,520
Mawile Mega Mawile,LV8.5,3,15,5,520
Mawile Mega Mawile,LV8.5,4,0,13,520
Mawile Mega Mawile,LV8.5,4,3,11,520
Mawile Mega Mawile,LV8.5,4,6,9,520
Mawile Mega Mawile,LV8.5,4,8,8,520
Mawile Mega Mawile,LV8.5,4,9,7,520
Mawile Mega Mawile,LV8.5,4,11,6,520
Mawile Mega Mawile,LV8.5,4,12,5,520
Mawile Mega Mawile,LV8.5,4,14,4,520
Mawile Mega Mawile,LV8.5,5,1,11,520
Mawile Mega Mawile,LV8.5,5,2,10,520
Mawile Mega Mawile,LV8.5,5,4,9,520
Mawile Mega Mawile,LV8.5,5,5,8,520
Mawile Mega Mawile,LV8.5,5,7,7,520
Mawile Mega Mawile,LV8.5,5,8,6,520
Mawile Mega Mawile,LV8.5,5,10,5,520
Mawile Mega Mawile,LV8.5,5,12,4,520
Mawile Mega Mawile,LV8.5,5,13,3,520
Mawile Mega Mawile,LV8.5,5,15,2,520
Mawile Mega Mawile,LV8.5,6,0,10,520
Mawile Mega Mawile,LV8.5,6,3,8,520
Mawile Mega Mawile,LV8.5,6,6,6,520
Mawile Mega Mawile,LV8.5,6,8,5,520
Mawile Mega Mawile,LV8.5,6,9,4,520
Mawile Mega Mawile,LV8.5,6,11,3,520
Mawile Mega Mawile,LV8.5,6,14,1,520
Mawile Mega Mawile,LV8.5,7,1,8,520
Mawile Mega Mawile,LV8.5,7,2,7,520
Mawile Mega Mawile,LV8.5,7,4,6,520
Mawile Mega Mawile,LV8.5,7,5,5,520
Mawile Mega Mawile,LV8.5,7,7,4,520
Mawile Mega Mawile,LV8.5,7,10,2,520
Mawile Mega Mawile,LV8.5,7,12,1,520
Mawile Mega Mawile,LV8.5,7,13,0,520
Mawile Mega Mawile,LV8.5,8,0,7,520
Mawile Mega Mawile,LV8.5,8,3,5,520
Mawile Mega Mawile,LV8.5,8,5,4,520
Mawile Mega Mawile,LV8.5,8,6,3,520
Mawile Mega Mawile,LV8.5,8,8,2,520
Mawile Mega Mawile,LV8.5,8,11,0,520
Mawile Mega Mawile,LV8.5,9,1,5,520
Mawile Mega Mawile,LV8.5,9,2,4,520
Mawile Mega Mawile,LV8.5,9,4,3,520
Mawile Mega Mawile,LV8.5,9,7,1,520
Mawile Mega Mawile,LV8.5,9,9,0,520
Mawile Mega Mawile,LV8,9,15,15,520
Mawile Mega Mawile,LV8.5,10,0,4,520
Mawile Mega Mawile,LV8.5,10,2,3,520
Mawile Mega Mawile,LV8.5,10,3,2,520
Mawile Mega Mawile,LV8.5,10,5,1,520
Mawile Mega Mawile,LV8,10,12,15,520
Mawile Mega Mawile,LV8,10,14,14,520
Mawile Mega Mawile,LV8,10,15,13,520
Mawile Mega Mawile,LV8.5,11,1,2,520
Mawile Mega Mawile,LV8.5,11,3,1,520
