Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Meditite,LV41,0,0,2,520
Meditite,LV39,0,0,8,520
Meditite,LV38,0,0,11,520
Meditite,LV41,0,1,1,520
Meditite,LV38,0,1,10,520
Meditite,LV36.5,0,1,15,520
Meditite,LV41,0,2,0,520
Meditite,LV38,0,2,9,520
Meditite,LV36.5,0,2,14,520
Meditite,LV39,0,3,5,520
Meditite,LV38,0,3,8,520
Meditite,LV36.5,0,3,13,520
Meditite,LV40,0,4,1,520
Meditite,LV39,0,4,4,520
Meditite,LV38,0,4,7,520
Meditite,LV36.5,0,4,12,520
Meditite,LV40,0,5,0,520
Meditite,LV39,0,5,3,520
Meditite,LV38,0,5,6,520
Meditite,LV36.5,0,5,11,520
Meditite,LV39,0,6,2,520
Meditite,LV38,0,6,5,520
Meditite,LV36.5,0,6,10,520
Meditite,LV35,0,6,15,520
Meditite,LV39,0,7,1,520
Meditite,LV38,0,7,4,520
Meditite,LV36.5,0,7,9,520
Meditite,LV35,0,7,14,520
Meditite,LV39,0,8,0,520
Meditite,LV38,0,8,3,520
Meditite,LV36.5,0,8,8,520
Meditite,LV35,0,8,13,520
Meditite,LV34.5,0,8,15,520
Meditite,LV37.5,0,9,4,520
Meditite,LV36.5,0,9,7,520
Meditite,LV35,0,9,12,520
Meditite,LV34.5,0,9,14,520
Meditite,LV38.5,0,10,0,520
Meditite,LV37.5,0,10,3,520
Meditite,LV36.5,0,10,6,520
Meditite,LV35,0,10,11,520
Meditite,LV34.5,0,10,13,520
Meditite,LV37.5,0,11,2,520
Meditite,LV36.5,0,11,5,520
Meditite,LV36,0,11,7,520
Meditite,LV35,0,11,10,520
Meditite,LV34.5,0,11,12,520
Meditite,LV37.5,0,12,1,520
Meditite,LV36,0,12,6,520
Meditite,LV34.5,0,12,11,520
Meditite,LV37,0,13,2,520
Meditite,LV36,0,13,5,520
Meditite,LV34.5,0,13,10,520
Meditite,LV34,0,13,12,520
Meditite,LV37,0,14,1,520
Meditite,LV36,0,14,4,520
Meditite,LV34.5,0,14,9,520
Meditite,LV34,0,14,11,520
Meditite,LV37,0,15,0,520
Meditite,LV35.5,0,15,5,520
Meditite,LV34.5,0,15,8,520
Meditite,LV34,0,15,10,520
Meditite,LV40,1,0,2,520
Meditite,LV39,1,0,5,520
Meditite,LV38,1,0,8,520
Meditite,LV37.5,1,0,10,520
Meditite,LV36,1,0,15,520
Meditite,LV40,1,1,1,520
Meditite,LV39,1,1,4,520
Meditite,LV38,1,1,7,520
Meditite,LV37.5,1,1,9,520
Meditite,LV36.5,1,1,12,520
Meditite,LV36,1,1,14,520
Meditite,LV40,1,2,0,520
Meditite,LV39,1,2,3,520
Meditite,LV38,1,2,6,520
Meditite,LV37.5,1,2,8,520
Meditite,LV36.5,1,2,11,520
Meditite,LV36,1,2,13,520
Meditite,LV39,1,3,2,520
Meditite,LV38,1,3,5,520
Meditite,LV37.5,1,3,7,520
Meditite,LV36.5,1,3,10,520
Meditite,LV36,1,3,12,520
Meditite,LV39,1,4,1,520
Meditite,LV37.5,1,4,6,520
Meditite,LV36.5,1,4,9,520
Meditite,LV37.5,1,5,5,520
Meditite,LV36.5,1,5,8,520
Meditite,LV34.5,1,5,15,520
Meditite,LV38.5,1,6,1,520
Meditite,LV37.5,1,6,4,520
Meditite,LV36.5,1,6,7,520
Meditite,LV35,1,6,12,520
Meditite,LV34.5,1,6,14,520
Meditite,LV38.5,1,7,0,520
Meditite,LV37.5,1,7,3,520
Meditite,LV36.5,1,7,6,520
Meditite,LV36,1,7,8,520
Meditite,LV35,1,7,11,520
Meditite,LV34.5,1,7,13,520
Meditite,LV37.5,1,8,2,520
Meditite,LV36,1,8,7,520
Meditite,LV34.5,1,8,12,520
Meditite,LV37.5,1,9,1,520
Meditite,LV36,1,9,6,520
Meditite,LV34.5,1,9,11,520
Meditite,LV37,1,10,2,520
Meditite,LV36,1,10,5,520
Meditite,LV34.5,1,10,10,520
Meditite,LV37,1,11,1,520
Meditite,LV36,1,11,4,520
Meditite,LV34.5,1,11,9,520
Meditite,LV34,1,11,11,520
Meditite,LV37,1,12,0,520
Meditite,LV36,1,12,3,520
Meditite,LV35.5,1,12,5,520
Meditite,LV34.5,1,12,8,520
Meditite,LV34,1,12,10,520
Meditite,LV35.5,1,13,4,520
Meditite,LV34,1,13,9,520
Meditite,LV36.5,1,14,0,520
Meditite,LV35.5,1,14,3,520
Meditite,LV34,1,14,8,520
Meditite,LV32,1,14,15,520
Meditite,LV35.5,1,15,2,520
Meditite,LV34,1,15,7,520
Meditite,LV33.5,1,15,9,520
Meditite,LV39.5,2,0,1,520
Meditite,LV38.5,2,0,4,520
Meditite,LV37.5,2,0,7,520
Meditite,LV36,2,0,12,520
Meditite,LV35.5,2,0,14,520
Meditite,LV39.5,2,1,0,520
Meditite,LV38.5,2,1,3,520
Meditite,LV37.5,2,1,6,520
Meditite,LV36,2,1,11,520
Meditite,LV38.5,2,2,2,520
Meditite,LV37.5,2,2,5,520
Meditite,LV36,2,2,10,520
