Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Meganium,LV8.5,0,10,11,520
Meganium,LV8.5,0,11,10,520
Meganium,LV8.5,0,12,9,520
Meganium,LV8.5,0,13,8,520
Meganium,LV8.5,0,14,7,520
Meganium,LV8.5,0,15,6,520
Meganium,LV8.5,1,3,15,520
Meganium,LV8.5,1,4,14,520
Meganium,LV8.5,1,5,13,520
Meganium,LV8.5,1,6,12,520
Meganium,LV8.5,1,7,11,520
Meganium,LV8.5,1,8,10,520
Meganium,LV8.5,1,9,9,520
Meganium,LV8.5,1,10,8,520
Meganium,LV8.5,1,11,7,520
Meganium,LV8.5,1,15,4,520
Meganium,LV8.5,2,1,15,520
Meganium,LV8.5,2,2,14,520
Meganium,LV8.5,2,3,13,520
Meganium,LV8.5,2,4,12,520
Meganium,LV8.5,2,5,11,520
Meganium,LV8.5,2,6,10,520
Meganium,LV8.5,2,7,9,520
Meganium,LV8.5,2,8,8,520
Meganium,LV8.5,2,9,7,520
Meganium,LV8.5,2,10,6,520
Meganium,LV8.5,2,11,5,520
Meganium,LV8.5,2,12,4,520
Meganium,LV8.5,2,13,3,520
Meganium,LV8.5,2,14,2,520
Meganium,LV8.5,3,0,13,520
Meganium,LV8.5,3,1,12,520
Meganium,LV8.5,3,2,11,520
Meganium,LV8.5,3,3,10,520
Meganium,LV8.5,3,4,9,520
Meganium,LV8.5,3,5,8,520
Meganium,LV8.5,3,6,7,520
Meganium,LV8.5,3,10,4,520
Meganium,LV8.5,3,11,3,520
Meganium,LV8.5,3,12,2,520
Meganium,LV8.5,3,13,1,520
Meganium,LV8.5,3,14,0,520
Meganium,LV8.5,4,0,11,520
Meganium,LV8.5,4,1,10,520
Meganium,LV8.5,4,2,9,520
Meganium,LV8.5,4,3,8,520
Meganium,LV8.5,4,4,7,520
Meganium,LV8.5,4,5,6,520
Meganium,LV8.5,4,6,5,520
Meganium,LV8.5,4,7,4,520
Meganium,LV8.5,4,8,3,520
Meganium,LV8.5,4,9,2,520
Meganium,LV8.5,5,3,6,520
Meganium,LV8.5,5,4,5,520
Meganium,LV8.5,5,5,4,520
Meganium,LV8.5,5,6,3,520
Meganium,LV8.5,5,7,2,520
Meganium,LV8.5,5,8,1,520
Meganium,LV8.5,5,9,0,520
Meganium,LV8.5,6,0,6,520
Meganium,LV8.5,6,1,5,520
Meganium,LV8.5,6,2,4,520
Meganium,LV8.5,6,7,0,520
Meganium,LV8.5,7,0,4,520
Meganium,LV8.5,7,1,3,520
Meganium,LV8.5,7,2,2,520
Meganium,LV8.5,7,3,1,520
Meganium,LV8.5,7,4,0,520
Meganium,LV8.5,8,0,2,520
Meganium,LV8.5,8,1,1,520
Meganium,LV8.5,8,2,0,520
Meganium,LV8,8,13,15,520
Meganium,LV8,8,14,14,520
Meganium,LV8,8,15,13,520
Meganium,LV8.5,9,0,0,520
Meganium,LV8,9,11,15,520
Meganium,LV8,9,12,14,520
Meganium,LV8,9,13,13,520
Meganium,LV8,9,14,12,520
Meganium,LV8,9,15,11,520
Meganium,LV8,10,8,15,520
Meganium,LV8,10,14,10,520
Meganium,LV8,10,15,9,520
Meganium,LV8,11,6,15,520
Meganium,LV8,11,7,14,520
Meganium,LV8,11,8,13,520
Meganium,LV8,11,9,12,520
Meganium,LV8,11,10,11,520
Meganium,LV8,11,11,10,520
Meganium,LV8,11,12,9,520
Meganium,LV8,11,13,8,520
Meganium,LV8,12,4,15,520
Meganium,LV8,12,5,14,520
Meganium,LV8,12,6,13,520
Meganium,LV8,12,7,12,520
Meganium,LV8,12,8,11,520
Meganium,LV8,12,9,10,520
Meganium,LV8,12,10,9,520
Meganium,LV8,12,11,8,520
Meganium,LV8,12,12,7,520
Meganium,LV8,12,13,6,520
Meganium,LV8,12,14,5,520
Meganium,LV8,12,15,4,520
Meganium,LV8,13,8,9,520
Meganium,LV8,13,9,8,520
Meganium,LV8,13,10,7,520
Meganium,LV8,13,11,6,520
Meganium,LV8,13,12,5,520
Meganium,LV8,13,13,4,520
Meganium,LV8,13,14,3,520
Meganium,LV8,13,15,2,520
Meganium,LV8,14,0,14,520
Meganium,LV8,14,1,13,520
Meganium,LV8,14,2,12,520
Meganium,LV8,14,3,11,520
Meganium,LV8,14,4,10,520
Meganium,LV8,14,5,9,520
Meganium,LV8,14,6,8,520
Meganium,LV8,14,11,4,520
Meganium,LV8,14,12,3,520
Meganium,LV8,14,13,2,520
Meganium,LV8,14,14,1,520
Meganium,LV8,14,15,0,520
Meganium,LV8,15,0,12,520
Meganium,LV8,15,1,11,520
Meganium,LV8,15,2,10,520
Meganium,LV8,15,3,9,520
Meganium,LV8,15,4,8,520
Meganium,LV8,15,5,7,520
Meganium,LV8,15,6,6,520
Meganium,LV8,15,7,5,520
Meganium,LV8,15,8,4,520
Meganium,LV8,15,12,1,520
Meganium,LV8,15,13,0,520
