Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Melmetal,LV5.5,7,14,15,520
Melmetal,LV5.5,7,15,13,520
Melmetal,LV5.5,8,12,15,520
Melmetal,LV5.5,8,13,14,520
Melmetal,LV5.5,8,14,12,520
Melmetal,LV5.5,8,15,11,520
Melmetal,LV5.5,9,11,14,520
Melmetal,LV5.5,9,12,13,520
Melmetal,LV5.5,9,13,11,520
Melmetal,LV5.5,9,14,10,520
Melmetal,LV5.5,9,15,9,520
Melmetal,LV5.5,10,9,15,520
Melmetal,LV5.5,10,10,13,520
Melmetal,LV5.5,10,11,12,520
Melmetal,LV5.5,10,12,10,520
Melmetal,LV5.5,10,13,9,520
Melmetal,LV5.5,10,14,8,520
Melmetal,LV5.5,10,15,6,520
Melmetal,LV5.5,11,7,15,520
Melmetal,LV5.5,11,8,14,520
Melmetal,LV5.5,11,9,12,520
Melmetal,LV5.5,11,10,11,520
Melmetal,LV5.5,11,11,9,520
Melmetal,LV5.5,11,11,10,520
Melmetal,LV5.5,11,12,8,520
Melmetal,LV5.5,11,13,7,520
Melmetal,LV5.5,11,14,5,520
Melmetal,LV5.5,11,15,4,520
Melmetal,LV5.5,12,6,14,520
Melmetal,LV5.5,12,7,13,520
Melmetal,LV5.5,12,8,11,520
Melmetal,LV5.5,12,9,10,520
Melmetal,LV5.5,12,10,9,520
Melmetal,LV5.5,12,11,7,520
Melmetal,LV5.5,12,12,6,520
Melmetal,LV5.5,12,13,5,520
Melmetal,LV5.5,12,14,3,520
Melmetal,LV5.5,12,15,2,520
Melmetal,LV5.5,13,4,15,520
Melmetal,LV5.5,13,5,13,520
Melmetal,LV5.5,13,6,12,520
Melmetal,LV5.5,13,7,10,520
Melmetal,LV5.5,13,8,9,520
Melmetal,LV5.5,13,9,8,520
Melmetal,LV5.5,13,10,6,520
Melmetal,LV5.5,13,11,5,520
Melmetal,LV5.5,13,12,4,520
Melmetal,LV5.5,13,13,2,520
Melmetal,LV5.5,13,14,1,520
Melmetal,LV5.5,13,15,0,520
Melmetal,LV5.5,14,2,15,520
Melmetal,LV5.5,14,3,14,520
Melmetal,LV5.5,14,4,12,520
Melmetal,LV5.5,14,5,11,520
Melmetal,LV5.5,14,6,9,520
Melmetal,LV5.5,14,6,10,520
Melmetal,LV5.5,14,7,8,520
Melmetal,LV5.5,14,8,7,520
Melmetal,LV5.5,14,9,5,520
Melmetal,LV5.5,14,10,4,520
Melmetal,LV5.5,14,11,3,520
Melmetal,LV5.5,14,12,1,520
Melmetal,LV5.5,14,13,0,520
Melmetal,LV5.5,15,1,14,520
Melmetal,LV5.5,15,2,13,520
Melmetal,LV5.5,15,3,11,520
Melmetal,LV5.5,15,4,10,520
Melmetal,LV5.5,15,5,9,520
Melmetal,LV5.5,15,6,7,520
Melmetal,LV5.5,15,7,6,520
Melmetal,LV5.5,15,8,4,520
Melmetal,LV5.5,15,8,5,520
Melmetal,LV5.5,15,9,3,520
Melmetal,LV5.5,15,10,2,520
Melmetal,LV5.5,15,11,0,520
